快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,欧指,1.57,5.23,5.28,1.034,1.078,1.026,,,,,,2026-04-06 02:55
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,亚盘,,,,,,,-1.5,2.38,1.68,1.219,0.839,2026-04-06 02:55
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,欧指,1.54,5.2,5.08,1.014,1.072,0.987,,,,,,2026-04-06 02:55
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,1.85,2.06,0.947,1.029,2026-04-06 02:55
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Marathon Bet,欧指,1.55,5.15,5.2,1.021,1.062,1.011,,,,,,2026-04-06 02:53
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.2,5.6,1.034,1.072,1.088,,,,,,2026-04-06 02:55
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,William Hill,欧指,1.55,4.75,4.8,1.021,0.979,0.933,,,,,,2026-04-06 02:54
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.2,5.6,1.034,1.072,1.088,,,,,,2026-04-06 02:55
2026-04-06 03:00（初盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betway,欧指,1.53,4.75,5.0,1.008,0.979,0.972,,,,,,2026-04-06 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,欧指,1.57,5.18,5.33,1.028,1.06,1.046,,,,,,2026-04-07 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,亚盘,,,,,,,-1.5,2.4,1.67,1.235,0.83,2026-04-07 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,欧指,1.54,5.2,5.09,1.008,1.064,0.999,,,,,,2026-04-07 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,1.86,2.05,0.957,1.019,2026-04-07 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Marathon Bet,欧指,1.55,5.1,5.25,1.015,1.044,1.03,,,,,,2026-04-07 02:54
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.3,5.6,1.028,1.085,1.099,,,,,,2026-04-07 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,William Hill,欧指,1.53,4.75,4.8,1.002,0.972,0.942,,,,,,2026-04-07 02:54
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.3,5.6,1.028,1.085,1.099,,,,,,2026-04-07 02:55
2026-04-07 03:00（初盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betway,欧指,1.53,5.0,4.75,1.002,1.023,0.932,,,,,,2026-04-07 02:54
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,欧指,1.58,5.13,5.28,1.038,1.05,1.019,,,,,,2026-04-07 14:54
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,亚盘,,,,,,,-1.5,2.4,1.67,1.23,0.835,2026-04-07 14:54
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,欧指,1.55,5.08,5.11,1.018,1.039,0.986,,,,,,2026-04-07 14:55
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,1.88,2.03,0.963,1.015,2026-04-07 14:55
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Marathon Bet,欧指,1.56,5.05,5.2,1.024,1.033,1.003,,,,,,2026-04-07 14:54
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.2,5.7,1.031,1.064,1.1,,,,,,2026-04-07 14:55
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,William Hill,欧指,1.53,4.75,4.8,1.005,0.972,0.926,,,,,,2026-04-07 14:55
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.2,5.7,1.031,1.064,1.1,,,,,,2026-04-07 14:55
2026-04-07 15:00（中盘①）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betway,欧指,1.53,4.75,5.0,1.005,0.972,0.965,,,,,,2026-04-07 14:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,欧指,1.58,5.2,5.25,1.036,1.067,1.014,,,,,,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,亚盘,,,,,,,-1.5,2.39,1.67,1.218,0.839,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,欧指,1.55,5.0,5.17,1.016,1.026,0.998,,,,,,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,1.88,2.03,0.958,1.019,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Marathon Bet,欧指,1.55,5.1,5.15,1.016,1.046,0.995,,,,,,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.59,5.2,5.4,1.042,1.067,1.043,,,,,,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,William Hill,欧指,1.53,4.75,4.8,1.003,0.974,0.927,,,,,,2026-04-08 02:54
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.59,5.2,5.4,1.042,1.067,1.043,,,,,,2026-04-08 02:55
2026-04-08 03:00（中盘②）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betway,欧指,1.53,4.75,5.0,1.003,0.974,0.966,,,,,,2026-04-08 02:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,欧指,1.56,5.14,5.55,1.031,1.043,1.036,,,,,,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,1xBet,亚盘,,,,,,,-1.5,2.33,1.71,1.195,0.854,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,欧指,1.53,5.13,5.34,1.011,1.041,0.997,,,,,,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.25,2.06,1.85,1.056,0.924,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Marathon Bet,欧指,1.53,5.05,5.45,1.011,1.024,1.018,,,,,,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.1,5.8,1.037,1.035,1.083,,,,,,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,William Hill,欧指,1.53,4.6,5.0,1.011,0.933,0.934,,,,,,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betfair,欧指,1.57,5.1,5.8,1.037,1.035,1.083,,,,,,2026-04-08 14:55
2026-04-08 15:00（中盘③）,欧冠 Champions League,2026-04-09 03:00,Barcelona,Atlético Madrid,Betway,欧指,1.53,4.75,5.0,1.011,0.964,0.934,,,,,,2026-04-08 14:54
