快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-06 03:02（初盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,欧指,1.72,4.27,4.51,1.008,1.035,1.037,,,,,,2026-04-06 03:00
2026-04-06 03:02（初盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,亚盘,,,,,,,-0.75,1.92,1.99,1.0,0.898,2026-04-06 03:00
2026-04-06 03:02（初盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,William Hill,欧指,1.73,4.0,4.2,1.014,0.97,0.966,,,,,,2026-04-06 02:59
2026-04-06 03:02（初盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Betfair,欧指,1.77,4.3,4.7,1.038,1.042,1.081,,,,,,2026-04-06 03:00
2026-04-07 03:02（初盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,欧指,1.76,4.18,4.41,1.022,1.014,1.017,,,,,,2026-04-07 03:00
2026-04-07 03:02（初盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,亚盘,,,,,,,-0.75,1.96,1.94,1.003,0.897,2026-04-07 03:00
2026-04-07 03:02（初盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,William Hill,欧指,1.75,4.0,4.0,1.017,0.97,0.923,,,,,,2026-04-07 03:00
2026-04-07 03:02（初盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Betfair,欧指,1.79,4.3,4.7,1.04,1.043,1.084,,,,,,2026-04-07 03:00
2026-04-07 15:02（中盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,欧指,1.75,4.2,4.43,1.022,1.012,1.01,,,,,,2026-04-07 15:00
2026-04-07 15:02（中盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,亚盘,,,,,,,-0.75,1.94,1.96,1.002,0.9,2026-04-07 15:00
2026-04-07 15:02（中盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,William Hill,欧指,1.73,4.0,4.2,1.01,0.964,0.957,,,,,,2026-04-07 14:59
2026-04-07 15:02（中盘①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Betfair,欧指,1.78,4.3,4.6,1.039,1.036,1.048,,,,,,2026-04-07 15:00
2026-04-08 03:02（中盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,欧指,1.73,4.25,4.49,1.007,1.022,1.028,,,,,,2026-04-08 03:01
2026-04-08 03:02（中盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.98,0.999,0.906,2026-04-08 03:01
2026-04-08 03:02（中盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,William Hill,欧指,1.73,4.0,4.2,1.007,0.962,0.962,,,,,,2026-04-08 03:01
2026-04-08 03:02（中盘②）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Betfair,欧指,1.79,4.4,4.5,1.042,1.058,1.03,,,,,,2026-04-08 03:01
2026-04-08 15:02（中盘③）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,欧指,1.77,4.2,4.28,1.005,1.028,1.02,,,,,,2026-04-08 15:00
2026-04-08 15:02（中盘③）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,亚盘,,,,,,,-0.75,1.99,1.92,1.01,0.893,2026-04-08 15:00
2026-04-08 15:02（中盘③）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,William Hill,欧指,1.75,4.0,4.0,0.994,0.979,0.953,,,,,,2026-04-08 14:59
2026-04-08 15:02（中盘③）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Betfair,欧指,1.81,4.3,4.5,1.028,1.053,1.072,,,,,,2026-04-08 15:00
2026-04-08 21:02（临场①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,欧指,1.83,4.29,4.07,1.015,1.051,1.017,,,,,,2026-04-08 21:00
2026-04-08 21:02（临场①）,欧冠 Champions League,2026-04-09 03:00,Paris Saint Germain,Liverpool,Pinnacle,亚盘,,,,,,,-0.75,2.06,1.87,1.147,0.811,2026-04-08 21:00
