快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-07 00:45（初盘①）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Marathon Bet,欧指,2.0,3.22,3.82,1.009,0.976,0.996,,,,,,2026-04-07 00:40
2026-04-07 00:45（初盘①）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,William Hill,欧指,1.95,3.2,3.75,0.984,0.97,0.978,,,,,,2026-04-07 00:39
2026-04-07 00:45（初盘①）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Betclic (FR),欧指,1.89,3.37,3.78,0.953,1.022,0.986,,,,,,2026-04-07 00:40
2026-04-07 00:45（初盘①）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Pinnacle,欧指,2.0,3.25,4.08,1.009,0.986,1.064,,,,,,2026-04-07 00:40
2026-04-07 00:45（初盘①）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Pinnacle,亚盘,,,,,,,-0.5,2.01,1.85,0.957,0.964,2026-04-07 00:40
2026-04-07 00:45（初盘①）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Ladbrokes,欧指,2.0,3.3,3.9,1.009,1.001,1.017,,,,,,2026-04-07 00:40
2026-04-08 00:45（初盘②）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Marathon Bet,欧指,2.0,3.2,3.84,1.009,0.975,0.985,,,,,,2026-04-08 00:39
2026-04-08 00:45（初盘②）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,William Hill,欧指,1.95,3.2,3.7,0.984,0.975,0.949,,,,,,2026-04-08 00:40
2026-04-08 00:45（初盘②）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Betclic (FR),欧指,1.91,3.4,3.8,0.964,1.036,0.974,,,,,,2026-04-08 00:40
2026-04-08 00:45（初盘②）,欧协联 Conference League,2026-04-10 00:45,Rayo Vallecano,AEK Athens,Pinnacle,欧指,2.01,3.24,4.08,1.014,0.987,1.046,,,,,,2026-04-08 00:40
