快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,1xBet,欧指,3.4,3.88,2.15,1.057,1.043,1.039,,,,,,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,1xBet,亚盘,,,,,,,0.0,2.43,1.56,1.244,0.766,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Sky Bet,欧指,3.1,3.8,2.05,0.964,1.021,0.991,,,,,,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Paddy Power,欧指,3.0,3.8,2.05,0.933,1.021,0.991,,,,,,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Pinnacle,欧指,3.35,3.78,2.12,1.041,1.016,1.025,,,,,,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Pinnacle,亚盘,,,,,,,0.25,2.05,1.86,1.049,0.913,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Ladbrokes,欧指,3.2,3.75,2.05,0.995,1.008,0.991,,,,,,2026-04-08 02:25
2026-04-08 02:30（初盘①）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Betfair,欧指,3.35,3.95,2.14,1.041,1.062,1.034,,,,,,2026-04-08 02:25
2026-04-09 02:30（初盘②）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,1xBet,欧指,3.5,3.86,2.12,1.067,1.037,1.034,,,,,,2026-04-09 02:24
2026-04-09 02:30（初盘②）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,1xBet,亚盘,,,,,,,0.0,2.5,1.53,1.289,0.741,2026-04-09 02:24
2026-04-09 02:30（初盘②）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Sky Bet,欧指,3.1,3.8,2.05,0.945,1.021,1.0,,,,,,2026-04-09 02:24
2026-04-09 02:30（初盘②）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Paddy Power,欧指,3.1,3.8,2.0,0.945,1.021,0.976,,,,,,2026-04-09 02:23
2026-04-09 02:30（初盘②）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Pinnacle,欧指,3.47,3.75,2.09,1.058,1.007,1.02,,,,,,2026-04-09 02:25
2026-04-09 02:30（初盘②）,德甲 Bundesliga,2026-04-11 02:30,Augsburg,TSG Hoffenheim,Pinnacle,亚盘,,,,,,,0.25,2.09,1.83,1.077,0.886,2026-04-09 02:25
