快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-08 01:00（初盘①）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,欧指,3.74,3.9,1.96,1.03,1.051,1.011,,,,,,2026-04-08 00:55
2026-04-08 01:00（初盘①）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,亚盘,,,,,,,0.5,1.93,1.97,0.976,0.978,2026-04-08 00:55
2026-04-08 01:00（初盘①）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Betfair,欧指,4.0,3.8,1.99,1.102,1.024,1.027,,,,,,2026-04-08 00:55
2026-04-09 01:00（初盘②）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,欧指,3.73,3.89,1.96,1.028,1.046,1.014,,,,,,2026-04-09 00:55
2026-04-09 01:00（初盘②）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,亚盘,,,,,,,0.5,1.93,1.97,0.977,0.974,2026-04-09 00:55
2026-04-09 01:00（初盘②）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Betfair,欧指,3.9,3.85,1.97,1.075,1.035,1.019,,,,,,2026-04-09 00:55
2026-04-09 13:00（中盘①）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,欧指,3.73,3.9,1.96,1.024,1.047,1.012,,,,,,2026-04-09 12:55
2026-04-09 13:00（中盘①）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,亚盘,,,,,,,0.5,1.93,1.97,0.977,0.973,2026-04-09 12:55
2026-04-09 13:00（中盘①）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Betfair,欧指,3.9,3.95,1.98,1.071,1.061,1.023,,,,,,2026-04-09 12:55
2026-04-10 01:00（中盘②）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,欧指,3.74,3.9,1.96,1.016,1.043,1.018,,,,,,2026-04-10 00:55
2026-04-10 01:00（中盘②）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,亚盘,,,,,,,0.5,1.93,1.97,0.975,0.981,2026-04-10 00:55
2026-04-10 01:00（中盘②）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Betfair,欧指,3.95,4.0,1.99,1.073,1.07,1.033,,,,,,2026-04-10 00:55
2026-04-10 13:00（中盘③）,法甲 Ligue 1,2026-04-11 01:00,Paris FC,AS Monaco,Pinnacle,欧指,3.69,3.87,1.98,1.012,1.049,1.015,,,,,,2026-04-10 12:55
