快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,欧指,3.19,3.98,2.22,1.042,1.048,1.04,,,,,,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,亚盘,,,,,,,0.0,2.31,1.61,1.272,0.748,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,William Hill,欧指,3.0,3.6,2.15,0.98,0.948,1.007,,,,,,2026-04-09 23:24
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Sky Bet,欧指,3.1,3.75,2.05,1.013,0.988,0.96,,,,,,2026-04-09 23:24
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Marathon Bet,欧指,3.14,3.92,2.18,1.026,1.033,1.021,,,,,,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,欧指,3.12,4.0,2.16,1.019,1.054,1.012,,,,,,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,亚盘,,,,,,,0.25,2.0,1.91,1.101,0.887,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair,欧指,3.3,4.0,2.18,1.078,1.054,1.021,,,,,,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Ladbrokes,欧指,3.0,3.8,2.15,0.98,1.001,1.007,,,,,,2026-04-09 23:25
2026-04-09 23:30（初盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair Sportsbook,欧指,2.88,3.2,1.91,0.941,0.843,0.895,,,,,,2026-04-09 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,欧指,3.19,3.96,2.23,1.017,1.039,1.051,,,,,,2026-04-10 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,亚盘,,,,,,,0.0,2.31,1.61,1.272,0.751,2026-04-10 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,William Hill,欧指,3.0,3.7,2.15,0.956,0.971,1.013,,,,,,2026-04-10 23:24
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Sky Bet,欧指,3.1,3.75,2.1,0.988,0.984,0.99,,,,,,2026-04-10 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Marathon Bet,欧指,3.14,3.9,2.19,1.001,1.023,1.032,,,,,,2026-04-10 23:24
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,欧指,3.09,3.97,2.18,0.985,1.042,1.028,,,,,,2026-04-10 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,亚盘,,,,,,,0.25,1.98,1.93,1.09,0.9,2026-04-10 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair,欧指,3.3,4.0,2.2,1.052,1.05,1.037,,,,,,2026-04-10 23:25
2026-04-10 23:30（初盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Ladbrokes,欧指,3.0,3.8,2.15,0.956,0.997,1.013,,,,,,2026-04-10 23:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,欧指,3.19,3.96,2.23,1.022,1.04,1.049,,,,,,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,亚盘,,,,,,,0.0,2.31,1.61,1.253,0.755,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,William Hill,欧指,3.0,3.7,2.15,0.961,0.972,1.011,,,,,,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Sky Bet,欧指,3.1,3.75,2.1,0.993,0.985,0.988,,,,,,2026-04-11 11:24
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Marathon Bet,欧指,3.14,3.9,2.19,1.006,1.025,1.03,,,,,,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,欧指,3.06,3.97,2.2,0.98,1.043,1.035,,,,,,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,亚盘,,,,,,,0.25,1.96,1.94,1.064,0.91,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair,欧指,3.25,4.0,2.2,1.041,1.051,1.035,,,,,,2026-04-11 11:25
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Ladbrokes,欧指,3.0,3.8,2.15,0.961,0.998,1.011,,,,,,2026-04-11 11:24
2026-04-11 11:30（中盘①）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair Sportsbook,欧指,2.88,3.2,2.0,0.922,0.841,0.941,,,,,,2026-04-11 11:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,欧指,3.35,3.98,2.15,1.029,1.035,1.039,,,,,,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,亚盘,,,,,,,0.0,2.43,1.58,1.323,0.742,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,William Hill,欧指,3.1,3.75,2.05,0.952,0.975,0.991,,,,,,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Sky Bet,欧指,3.25,3.75,2.0,0.998,0.975,0.967,,,,,,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Marathon Bet,欧指,3.32,3.95,2.13,1.02,1.027,1.03,,,,,,2026-04-11 23:24
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,欧指,3.31,4.01,2.07,1.017,1.043,1.001,,,,,,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,亚盘,,,,,,,0.5,1.84,2.08,1.002,0.977,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair,欧指,3.55,4.0,2.08,1.091,1.04,1.006,,,,,,2026-04-11 23:25
2026-04-11 23:30（中盘②）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Ladbrokes,欧指,3.0,3.8,2.15,0.922,0.988,1.039,,,,,,2026-04-11 23:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,欧指,3.57,4.01,2.06,1.04,1.041,1.032,,,,,,2026-04-12 11:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,1xBet,亚盘,,,,,,,0.0,2.59,1.52,1.349,0.748,2026-04-12 11:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,William Hill,欧指,3.3,3.7,2.0,0.961,0.96,1.002,,,,,,2026-04-12 11:24
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Sky Bet,欧指,3.4,3.8,1.95,0.99,0.986,0.977,,,,,,2026-04-12 11:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Marathon Bet,欧指,3.54,3.98,2.04,1.031,1.033,1.022,,,,,,2026-04-12 11:24
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,欧指,3.51,3.98,2.01,1.022,1.033,1.007,,,,,,2026-04-12 11:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Pinnacle,亚盘,,,,,,,0.5,1.89,2.02,0.984,0.994,2026-04-12 11:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Betfair,欧指,3.65,4.1,2.04,1.063,1.064,1.022,,,,,,2026-04-12 11:25
2026-04-12 11:30（中盘③）,英超 EPL,2026-04-12 23:30,Chelsea,Manchester City,Ladbrokes,欧指,3.3,3.8,2.0,0.961,0.986,1.002,,,,,,2026-04-12 11:24
