快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-09 00:30（初盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.57,4.33,5.0,1.0,0.981,0.964,,,,,,2026-04-09 00:24
2026-04-09 00:30（初盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.62,4.67,5.38,1.032,1.058,1.037,,,,,,2026-04-09 00:24
2026-04-09 00:30（初盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.51,1.53,1.298,0.776,2026-04-09 00:24
2026-04-09 00:30（初盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.59,4.52,5.34,1.013,1.024,1.029,,,,,,2026-04-09 00:25
2026-04-09 00:30（初盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-1.0,1.98,1.92,1.024,0.974,2026-04-09 00:25
2026-04-09 00:30（初盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.64,4.6,5.6,1.045,1.042,1.079,,,,,,2026-04-09 00:25
2026-04-10 00:30（初盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.62,4.2,4.6,1.0,0.982,0.945,,,,,,2026-04-10 00:24
2026-04-10 00:30（初盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.69,4.47,5.03,1.044,1.045,1.033,,,,,,2026-04-10 00:25
2026-04-10 00:30（初盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.62,1.49,1.346,0.754,2026-04-10 00:25
2026-04-10 00:30（初盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.65,4.29,5.07,1.019,1.003,1.041,,,,,,2026-04-10 00:25
2026-04-10 00:30（初盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.1,0.94,1.063,2026-04-10 00:25
2026-04-10 00:30（初盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.69,4.5,5.3,1.044,1.052,1.088,,,,,,2026-04-10 00:25
2026-04-10 12:30（中盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.62,4.0,4.6,1.0,0.936,0.943,,,,,,2026-04-10 12:24
2026-04-10 12:30（中盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.69,4.47,5.03,1.043,1.045,1.031,,,,,,2026-04-10 12:25
2026-04-10 12:30（中盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.62,1.49,1.347,0.755,2026-04-10 12:25
2026-04-10 12:30（中盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.65,4.31,5.07,1.019,1.008,1.04,,,,,,2026-04-10 12:25
2026-04-10 12:30（中盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.82,2.1,0.935,1.064,2026-04-10 12:25
2026-04-10 12:30（中盘①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.69,4.5,5.2,1.043,1.052,1.066,,,,,,2026-04-10 12:25
2026-04-11 00:30（中盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.65,4.0,4.6,1.005,0.947,0.951,,,,,,2026-04-11 00:25
2026-04-11 00:30（中盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.7,4.38,5.04,1.035,1.037,1.042,,,,,,2026-04-11 00:25
2026-04-11 00:30（中盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.69,1.48,1.352,0.76,2026-04-11 00:25
2026-04-11 00:30（中盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.67,4.22,4.98,1.017,0.999,1.029,,,,,,2026-04-11 00:25
2026-04-11 00:30（中盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.85,2.06,0.93,1.057,2026-04-11 00:25
2026-04-11 00:30（中盘②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.73,4.3,5.1,1.054,1.018,1.054,,,,,,2026-04-11 00:25
2026-04-11 12:30（中盘③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.65,4.0,4.6,1.003,0.945,0.957,,,,,,2026-04-11 12:25
2026-04-11 12:30（中盘③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.7,4.38,5.0,1.033,1.034,1.04,,,,,,2026-04-11 12:25
2026-04-11 12:30（中盘③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.69,1.48,1.346,0.762,2026-04-11 12:25
2026-04-11 12:30（中盘③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.67,4.25,4.96,1.015,1.004,1.031,,,,,,2026-04-11 12:25
2026-04-11 12:30（中盘③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.85,2.07,0.926,1.065,2026-04-11 12:25
2026-04-11 12:30（中盘③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.72,4.4,5.1,1.045,1.039,1.061,,,,,,2026-04-11 12:25
2026-04-11 18:30（临场①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.65,4.0,4.6,1.002,0.933,0.968,,,,,,2026-04-11 18:24
2026-04-11 18:30（临场①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.69,4.42,5.04,1.026,1.031,1.061,,,,,,2026-04-11 18:25
2026-04-11 18:30（临场①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.66,1.49,1.343,0.764,2026-04-11 18:25
2026-04-11 18:30（临场①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.67,4.34,4.89,1.014,1.012,1.029,,,,,,2026-04-11 18:25
2026-04-11 18:30（临场①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.85,2.09,0.934,1.072,2026-04-11 18:25
2026-04-11 18:30（临场①）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.71,4.5,5.1,1.039,1.05,1.074,,,,,,2026-04-11 18:25
2026-04-11 21:30（临场②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.67,4.0,4.5,1.006,0.942,0.961,,,,,,2026-04-11 21:24
2026-04-11 21:30（临场②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.71,4.41,4.93,1.03,1.038,1.053,,,,,,2026-04-11 21:25
2026-04-11 21:30（临场②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.65,1.48,1.332,0.765,2026-04-11 21:25
2026-04-11 21:30（临场②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.69,4.3,4.78,1.018,1.013,1.021,,,,,,2026-04-11 21:25
2026-04-11 21:30（临场②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.88,2.05,0.945,1.059,2026-04-11 21:25
2026-04-11 21:30（临场②）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Betfair,欧指,1.71,4.5,5.0,1.03,1.06,1.068,,,,,,2026-04-11 21:25
2026-04-11 23:00（临场③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,William Hill,欧指,1.67,4.0,4.6,1.003,0.947,0.977,,,,,,2026-04-11 22:54
2026-04-11 23:00（临场③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,欧指,1.74,4.31,4.82,1.045,1.02,1.024,,,,,,2026-04-11 22:55
2026-04-11 23:00（临场③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,1xBet,亚盘,,,,,,,-1.5,2.7,1.43,1.339,0.746,2026-04-11 22:55
2026-04-11 23:00（临场③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,欧指,1.7,4.26,4.73,1.021,1.008,1.005,,,,,,2026-04-11 22:55
2026-04-11 23:00（临场③）,英超 EPL,2026-04-12 00:30,Liverpool,Fulham,Pinnacle,亚盘,,,,,,,-0.75,1.9,2.03,0.942,1.059,2026-04-11 22:55
