快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-11 03:00（初盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.62,4.0,5.0,1.006,0.964,0.964,,,,,,2026-04-11 02:55
2026-04-11 03:00（初盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.62,4.26,5.4,1.006,1.027,1.041,,,,,,2026-04-11 02:55
2026-04-11 03:00（初盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-0.75,1.81,2.11,0.927,1.077,2026-04-11 02:55
2026-04-11 03:00（初盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.65,4.4,5.7,1.024,1.06,1.099,,,,,,2026-04-11 02:55
2026-04-12 03:00（初盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.62,4.0,5.0,1.006,0.97,0.956,,,,,,2026-04-12 02:54
2026-04-12 03:00（初盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.61,4.29,5.42,1.0,1.04,1.036,,,,,,2026-04-12 02:55
2026-04-12 03:00（初盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-0.75,1.81,2.13,0.933,1.068,2026-04-12 02:55
2026-04-12 03:00（初盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.66,4.3,5.7,1.031,1.043,1.09,,,,,,2026-04-12 02:55
2026-04-12 15:00（中盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.62,4.0,5.0,1.011,0.967,0.945,,,,,,2026-04-12 14:54
2026-04-12 15:00（中盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.61,4.3,5.42,1.005,1.039,1.024,,,,,,2026-04-12 14:55
2026-04-12 15:00（中盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-0.75,1.8,2.13,0.912,1.089,2026-04-12 14:55
2026-04-12 15:00（中盘①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.63,4.4,5.9,1.017,1.064,1.115,,,,,,2026-04-12 14:55
2026-04-13 03:00（中盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.6,4.0,5.0,1.009,0.95,0.917,,,,,,2026-04-13 02:54
2026-04-13 03:00（中盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.56,4.47,5.76,0.984,1.061,1.057,,,,,,2026-04-13 02:55
2026-04-13 03:00（中盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-1.0,2.01,1.9,1.03,0.968,2026-04-13 02:55
2026-04-13 03:00（中盘②）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.62,4.5,6.2,1.021,1.069,1.138,,,,,,2026-04-13 02:55
2026-04-13 15:00（中盘③）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.57,4.0,5.5,1.01,0.933,0.954,,,,,,2026-04-13 14:54
2026-04-13 15:00（中盘③）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.56,4.38,6.0,1.004,1.022,1.041,,,,,,2026-04-13 14:55
2026-04-13 15:00（中盘③）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-1.0,1.93,1.97,0.959,1.034,2026-04-13 14:55
2026-04-13 15:00（中盘③）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.59,4.5,6.4,1.023,1.05,1.11,,,,,,2026-04-13 14:55
2026-04-13 21:00（临场①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.55,4.0,5.0,1.001,0.929,0.861,,,,,,2026-04-13 20:55
2026-04-13 21:00（临场①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.57,4.36,5.91,1.014,1.013,1.017,,,,,,2026-04-13 20:55
2026-04-13 21:00（临场①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-1.0,1.98,1.94,0.98,1.02,2026-04-13 20:55
2026-04-13 21:00（临场①）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.59,4.5,6.4,1.027,1.046,1.102,,,,,,2026-04-13 20:55
2026-04-13 22:59（即时）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,William Hill,欧指,1.55,4.0,5.0,0.996,0.931,0.872,,,,,,2026-04-13 22:59
2026-04-13 22:59（即时）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,欧指,1.56,4.45,5.91,1.002,1.036,1.031,,,,,,2026-04-13 22:59
2026-04-13 22:59（即时）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Pinnacle,亚盘,,,,,,,-1.0,1.95,1.97,0.97,1.032,2026-04-13 22:59
2026-04-13 22:59（即时）,英超 EPL,2026-04-14 03:00,Manchester United,Leeds United,Betfair,欧指,1.59,4.5,6.4,1.021,1.048,1.117,,,,,,2026-04-13 22:59
