快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-12 03:00（初盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.5,4.0,1.85,0.965,0.954,1.01,,,,,,2026-04-12 02:54
2026-04-12 03:00（初盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,欧指,3.63,4.23,1.85,1.001,1.008,1.01,,,,,,2026-04-12 02:55
2026-04-12 03:00（初盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,亚盘,,,,,,,0.5,2.0,1.85,1.014,0.908,2026-04-12 02:55
2026-04-12 03:00（初盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,3.7,4.4,1.9,1.02,1.049,1.038,,,,,,2026-04-12 02:54
2026-04-13 03:00（初盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.6,4.0,1.8,0.964,0.928,0.999,,,,,,2026-04-13 02:54
2026-04-13 03:00（初盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,欧指,3.76,4.48,1.83,1.006,1.04,1.016,,,,,,2026-04-13 02:55
2026-04-13 03:00（初盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,亚盘,,,,,,,0.75,1.85,2.06,0.93,1.024,2026-04-13 02:55
2026-04-13 03:00（初盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,3.95,4.6,1.87,1.057,1.068,1.038,,,,,,2026-04-13 02:55
2026-04-13 15:00（中盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.6,4.0,1.8,0.958,0.924,1.003,,,,,,2026-04-13 14:55
2026-04-13 15:00（中盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,欧指,3.82,4.5,1.81,1.016,1.039,1.009,,,,,,2026-04-13 14:55
2026-04-13 15:00（中盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,亚盘,,,,,,,0.75,1.87,2.04,1.049,0.937,2026-04-13 14:55
2026-04-13 15:00（中盘①）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,4.0,4.6,1.84,1.064,1.062,1.026,,,,,,2026-04-13 14:55
2026-04-14 03:00（中盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.5,4.0,1.83,0.929,0.919,1.022,,,,,,2026-04-14 02:54
2026-04-14 03:00（中盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,欧指,3.89,4.45,1.81,1.032,1.022,1.011,,,,,,2026-04-14 02:55
2026-04-14 03:00（中盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,亚盘,,,,,,,0.75,1.9,2.01,0.947,1.02,2026-04-14 02:55
2026-04-14 03:00（中盘②）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,4.0,4.6,1.87,1.061,1.057,1.044,,,,,,2026-04-14 02:55
2026-04-14 15:00（中盘③）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.6,4.0,1.83,0.948,0.916,1.029,,,,,,2026-04-14 14:54
2026-04-14 15:00（中盘③）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,4.0,4.7,1.85,1.054,1.077,1.041,,,,,,2026-04-14 14:55
2026-04-15 01:30（临场③）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.6,4.2,1.8,0.955,0.941,1.01,,,,,,2026-04-15 01:25
2026-04-15 01:30（临场③）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,欧指,3.8,4.66,1.8,1.008,1.044,1.01,,,,,,2026-04-15 01:25
2026-04-15 01:30（临场③）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,亚盘,,,,,,,0.75,1.91,2.01,0.939,1.024,2026-04-15 01:25
2026-04-15 01:30（临场③）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,3.9,4.8,1.85,1.035,1.075,1.038,,,,,,2026-04-15 01:25
2026-04-15 02:30（临场④）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,William Hill,欧指,3.6,4.2,1.8,0.952,0.936,1.007,,,,,,2026-04-15 02:24
2026-04-15 02:30（临场④）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,欧指,3.8,4.7,1.82,1.005,1.048,1.018,,,,,,2026-04-15 02:25
2026-04-15 02:30（临场④）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Pinnacle,亚盘,,,,,,,0.75,1.88,2.04,0.926,1.037,2026-04-15 02:25
2026-04-15 02:30（临场④）,欧冠 Champions League,2026-04-15 03:00,Atlético Madrid,Barcelona,Betfair,欧指,3.9,4.8,1.85,1.032,1.07,1.035,,,,,,2026-04-15 02:25
