快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-12 03:03（初盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,欧指,2.4,4.44,2.45,1.001,1.04,0.994,,,,,,2026-04-12 03:00
2026-04-12 03:03（初盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,亚盘,,,,,,,0.0,1.91,1.94,0.864,1.047,2026-04-12 03:00
2026-04-12 03:03（初盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,William Hill,欧指,2.4,4.2,2.45,1.001,0.984,0.994,,,,,,2026-04-12 02:59
2026-04-12 03:03（初盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Betfair,欧指,2.52,4.6,2.54,1.051,1.078,1.031,,,,,,2026-04-12 03:00
2026-04-13 03:03（初盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,欧指,2.44,4.49,2.49,1.013,1.06,1.008,,,,,,2026-04-13 03:00
2026-04-13 03:03（初盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,亚盘,,,,,,,0.0,1.93,1.97,0.881,1.063,2026-04-13 03:00
2026-04-13 03:03（初盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,William Hill,欧指,2.4,4.2,2.45,0.996,0.992,0.992,,,,,,2026-04-13 03:00
2026-04-13 03:03（初盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Betfair,欧指,2.56,4.4,2.56,1.062,1.039,1.037,,,,,,2026-04-13 03:00
2026-04-13 15:03（中盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,欧指,2.45,4.46,2.49,1.018,1.049,1.004,,,,,,2026-04-13 15:00
2026-04-13 15:03（中盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,亚盘,,,,,,,0.0,1.93,1.97,0.879,1.065,2026-04-13 15:00
2026-04-13 15:03（中盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,William Hill,欧指,2.4,4.2,2.45,0.997,0.988,0.988,,,,,,2026-04-13 14:59
2026-04-13 15:03（中盘①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Betfair,欧指,2.52,4.5,2.58,1.047,1.058,1.04,,,,,,2026-04-13 15:00
2026-04-14 03:03（中盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,欧指,2.41,4.25,2.61,1.012,1.017,1.028,,,,,,2026-04-14 03:00
2026-04-14 03:03（中盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,亚盘,,,,,,,0.0,1.88,2.04,0.862,1.079,2026-04-14 03:00
2026-04-14 03:03（中盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,William Hill,欧指,2.4,4.0,2.5,1.008,0.957,0.984,,,,,,2026-04-14 03:00
2026-04-14 03:03（中盘②）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Betfair,欧指,2.48,4.4,2.64,1.041,1.053,1.039,,,,,,2026-04-14 03:00
2026-04-14 15:03（中盘③）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,William Hill,欧指,2.3,3.9,2.5,0.992,0.949,0.951,,,,,,2026-04-14 15:00
2026-04-14 15:03（中盘③）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Betfair,欧指,2.44,4.3,2.72,1.052,1.046,1.035,,,,,,2026-04-14 15:00
2026-04-14 21:03（临场①）,欧冠 Champions League,2026-04-15 03:00,Liverpool,Paris Saint Germain,Pinnacle,欧指,2.38,4.2,2.69,1.004,1.024,1.034,,,,,,2026-04-14 21:00
