快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Ladbrokes,欧指,1.48,4.6,6.0,1.017,1.032,0.861,,,,,,2026-04-13 02:55
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Marathon Bet,欧指,1.48,4.6,7.2,1.017,1.032,1.034,,,,,,2026-04-13 02:54
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,FanDuel,欧指,1.4,4.4,7.0,0.962,0.987,1.005,,,,,,2026-04-13 02:55
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Betfair,欧指,1.5,4.7,7.8,1.031,1.055,1.12,,,,,,2026-04-13 02:55
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Pinnacle,欧指,1.49,4.57,6.77,1.024,1.025,0.972,,,,,,2026-04-13 02:55
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Pinnacle,亚盘,,,,,,,-1.25,2.1,1.82,1.141,0.848,2026-04-13 02:55
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,1xBet,欧指,1.5,4.67,7.31,1.031,1.048,1.049,,,,,,2026-04-13 02:55
2026-04-13 03:00（初盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,1xBet,亚盘,,,,,,,-1.5,2.39,1.67,1.299,0.778,2026-04-13 02:55
2026-04-14 15:00（中盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Ladbrokes,欧指,1.5,4.5,6.0,1.026,1.011,0.871,,,,,,2026-04-14 14:54
2026-04-14 15:00（中盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Marathon Bet,欧指,1.48,4.55,7.3,1.013,1.023,1.059,,,,,,2026-04-14 14:55
2026-04-14 15:00（中盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,FanDuel,欧指,1.45,4.5,7.0,0.992,1.011,1.016,,,,,,2026-04-14 14:55
2026-04-14 15:00（中盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Betfair,欧指,1.51,4.7,7.6,1.033,1.056,1.103,,,,,,2026-04-14 14:55
2026-04-14 15:00（中盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,1xBet,欧指,1.5,4.62,7.42,1.026,1.038,1.077,,,,,,2026-04-14 14:54
2026-04-14 15:00（中盘①）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,1xBet,亚盘,,,,,,,-1.5,2.39,1.67,1.257,0.838,2026-04-14 14:54
2026-04-15 03:00（中盘②）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Ladbrokes,欧指,1.5,4.33,6.0,1.011,1.002,0.881,,,,,,2026-04-15 02:55
2026-04-15 03:00（中盘②）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Marathon Bet,欧指,1.51,4.4,7.0,1.017,1.019,1.028,,,,,,2026-04-15 02:55
2026-04-15 03:00（中盘②）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,FanDuel,欧指,1.48,4.4,6.5,0.997,1.019,0.955,,,,,,2026-04-15 02:55
2026-04-15 03:00（中盘②）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Betfair,欧指,1.54,4.5,7.4,1.038,1.042,1.087,,,,,,2026-04-15 02:55
2026-04-15 03:00（中盘②）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Pinnacle,欧指,1.51,4.42,6.66,1.017,1.023,0.978,,,,,,2026-04-15 02:55
2026-04-15 03:00（中盘②）,欧冠 Champions League,2026-04-16 03:00,Arsenal,Sporting Lisbon,Pinnacle,亚盘,,,,,,,-1.0,1.86,2.05,1.003,0.982,2026-04-15 02:55
