快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Marathon Bet,欧指,1.5,5.55,5.65,0.989,1.034,1.166,,,,,,2026-04-15 14:53
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Ladbrokes,欧指,1.53,5.25,4.6,1.009,0.978,0.949,,,,,,2026-04-15 14:54
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,欧指,1.53,5.57,4.93,1.009,1.037,1.017,,,,,,2026-04-15 14:55
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,亚盘,,,,,,,-1.25,2.02,1.89,1.036,0.968,2026-04-15 14:55
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Betfair,欧指,1.57,5.7,5.2,1.035,1.062,1.073,,,,,,2026-04-15 14:55
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,DraftKings,欧指,1.53,5.5,4.8,1.009,1.024,0.99,,,,,,2026-04-15 14:54
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,欧指,1.55,5.77,5.06,1.022,1.075,1.044,,,,,,2026-04-15 14:54
2026-04-15 15:00（中盘③）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,亚盘,,,,,,,-1.5,2.25,1.75,1.154,0.896,2026-04-15 14:54
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Marathon Bet,欧指,1.52,5.85,5.15,1.015,1.064,1.036,,,,,,2026-04-15 20:55
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Ladbrokes,欧指,1.53,5.25,4.6,1.021,0.955,0.926,,,,,,2026-04-15 20:55
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,欧指,1.5,5.69,5.14,1.001,1.035,1.034,,,,,,2026-04-15 20:55
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,亚盘,,,,,,,-1.25,1.96,1.96,0.969,1.045,2026-04-15 20:55
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Betfair,欧指,1.54,6.0,5.3,1.028,1.092,1.067,,,,,,2026-04-15 20:55
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,DraftKings,欧指,1.51,5.5,4.9,1.008,1.001,0.986,,,,,,2026-04-15 20:54
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,欧指,1.55,5.88,4.97,1.035,1.07,1.0,,,,,,2026-04-15 20:55
2026-04-15 21:00（临场①）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,亚盘,,,,,,,-1.5,2.22,1.77,1.098,0.943,2026-04-15 20:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Marathon Bet,欧指,1.53,5.8,5.05,1.012,1.052,1.045,,,,,,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Ladbrokes,欧指,1.53,5.25,4.6,1.012,0.953,0.952,,,,,,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,欧指,1.51,5.76,4.98,0.999,1.045,1.03,,,,,,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,亚盘,,,,,,,-1.25,1.98,1.94,0.991,1.021,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Betfair,欧指,1.55,6.0,5.1,1.025,1.089,1.055,,,,,,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,DraftKings,欧指,1.53,5.5,4.8,1.012,0.998,0.993,,,,,,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,欧指,1.57,5.88,4.77,1.039,1.067,0.987,,,,,,2026-04-15 23:55
2026-04-16 00:00（临场②）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,亚盘,,,,,,,-1.5,2.23,1.76,1.117,0.926,2026-04-15 23:55
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Marathon Bet,欧指,1.54,5.8,4.95,1.019,1.05,1.03,,,,,,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Ladbrokes,欧指,1.53,5.25,4.6,1.012,0.951,0.957,,,,,,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,欧指,1.51,5.82,4.96,0.999,1.054,1.032,,,,,,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Pinnacle,亚盘,,,,,,,-1.25,1.98,1.94,0.992,1.021,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,Betfair,欧指,1.54,6.2,5.1,1.019,1.123,1.061,,,,,,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,DraftKings,欧指,1.53,5.5,4.8,1.012,0.996,0.999,,,,,,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,欧指,1.57,5.88,4.77,1.039,1.065,0.992,,,,,,2026-04-16 00:42
2026-04-16 00:42（即时）,欧冠 Champions League,2026-04-16 03:00,Bayern Munich,Real Madrid,1xBet,亚盘,,,,,,,-1.5,2.23,1.76,1.117,0.926,2026-04-16 00:42
