快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-14 00:45（初盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.02,3.7,3.7,1.033,1.007,1.06,,,,,,2026-04-14 00:40
2026-04-14 00:45（初盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,1.95,3.5,3.4,0.997,0.953,0.974,,,,,,2026-04-14 00:39
2026-04-14 00:45（初盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,1.98,3.78,3.56,1.012,1.029,1.019,,,,,,2026-04-14 00:39
2026-04-14 00:45（初盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.5,1.99,1.87,0.96,0.964,2026-04-14 00:39
2026-04-15 00:45（初盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.02,3.8,3.8,1.03,1.044,1.074,,,,,,2026-04-15 00:40
2026-04-15 00:45（初盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,1.95,3.5,3.4,0.994,0.961,0.961,,,,,,2026-04-15 00:40
2026-04-15 00:45（初盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,1.99,3.76,3.54,1.015,1.033,1.001,,,,,,2026-04-15 00:40
2026-04-15 00:45（初盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.5,2.0,1.86,0.972,0.962,2026-04-15 00:40
2026-04-15 12:45（中盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.06,3.8,3.75,1.047,1.045,1.06,,,,,,2026-04-15 12:40
2026-04-15 12:45（中盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,1.95,3.5,3.4,0.991,0.963,0.961,,,,,,2026-04-15 12:40
2026-04-15 12:45（中盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,1.98,3.76,3.56,1.006,1.034,1.006,,,,,,2026-04-15 12:40
2026-04-15 12:45（中盘①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.5,1.99,1.86,0.978,0.96,2026-04-15 12:40
2026-04-16 00:45（中盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.08,3.8,3.85,1.058,1.036,1.084,,,,,,2026-04-16 00:40
2026-04-16 00:45（中盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,1.95,3.5,3.4,0.992,0.954,0.957,,,,,,2026-04-16 00:39
2026-04-16 00:45（中盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,1.98,3.76,3.57,1.007,1.025,1.005,,,,,,2026-04-16 00:40
2026-04-16 00:45（中盘②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.5,2.0,1.88,0.982,0.968,2026-04-16 00:40
2026-04-16 12:45（中盘③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.1,3.75,3.75,1.049,1.037,1.06,,,,,,2026-04-16 12:40
2026-04-16 12:45（中盘③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,2.0,3.4,3.4,0.999,0.94,0.961,,,,,,2026-04-16 12:40
2026-04-16 12:45（中盘③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,2.03,3.61,3.68,1.014,0.998,1.041,,,,,,2026-04-16 12:40
2026-04-16 12:45（中盘③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.5,2.04,1.85,0.99,0.956,2026-04-16 12:40
2026-04-16 18:45（临场①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.1,3.85,3.75,1.041,1.064,1.068,,,,,,2026-04-16 18:40
2026-04-16 18:45（临场①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,2.0,3.4,3.4,0.992,0.939,0.968,,,,,,2026-04-16 18:40
2026-04-16 18:45（临场①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,2.05,3.69,3.64,1.017,1.019,1.037,,,,,,2026-04-16 18:40
2026-04-16 18:45（临场①）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.5,2.06,1.85,0.972,0.957,2026-04-16 18:40
2026-04-16 21:45（临场②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.26,3.75,3.35,1.042,1.06,1.055,,,,,,2026-04-16 21:40
2026-04-16 21:45（临场②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,2.15,3.3,3.0,0.991,0.933,0.945,,,,,,2026-04-16 21:40
2026-04-16 21:45（临场②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,2.25,3.62,3.21,1.037,1.023,1.011,,,,,,2026-04-16 21:40
2026-04-16 21:45（临场②）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.25,1.96,1.94,0.878,1.044,2026-04-16 21:40
2026-04-16 23:15（临场③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.24,3.75,3.35,1.042,1.055,1.04,,,,,,2026-04-16 23:10
2026-04-16 23:15（临场③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,2.1,3.3,3.25,0.977,0.929,1.009,,,,,,2026-04-16 23:10
2026-04-16 23:15（临场③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,2.2,3.68,3.26,1.024,1.035,1.012,,,,,,2026-04-16 23:10
2026-04-16 23:15（临场③）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,-0.25,1.92,1.99,0.877,1.053,2026-04-16 23:10
2026-04-17 00:15（临场④）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.66,3.6,2.84,1.057,1.043,1.052,,,,,,2026-04-17 00:10
2026-04-17 00:15（临场④）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,2.45,3.3,2.6,0.974,0.956,0.963,,,,,,2026-04-17 00:09
2026-04-17 00:15（临场④）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,2.61,3.45,2.78,1.037,1.0,1.03,,,,,,2026-04-17 00:10
2026-04-17 00:15（临场④）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,0.0,1.89,2.02,0.755,1.122,2026-04-17 00:10
2026-04-17 00:26（即时）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Betfair,欧指,2.78,3.6,2.72,1.071,1.043,1.048,,,,,,2026-04-17 00:26
2026-04-17 00:26（即时）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,William Hill,欧指,2.5,3.3,2.5,0.963,0.956,0.963,,,,,,2026-04-17 00:26
2026-04-17 00:26（即时）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,欧指,2.63,3.49,2.73,1.013,1.011,1.051,,,,,,2026-04-17 00:26
2026-04-17 00:26（即时）,欧协联 Conference League,2026-04-17 00:45,AZ Alkmaar,Shakhtar Donetsk,Pinnacle,亚盘,,,,,,,0.0,1.92,1.99,0.758,1.124,2026-04-17 00:26
