快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-14 00:45（初盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.95,3.4,3.75,1.0,0.963,1.0,,,,,,2026-04-14 00:39
2026-04-14 00:45（初盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,2.0,3.7,4.0,1.026,1.048,1.066,,,,,,2026-04-14 00:40
2026-04-14 00:45（初盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.98,3.59,3.97,1.016,1.017,1.058,,,,,,2026-04-14 00:40
2026-04-14 00:45（初盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.99,1.92,0.968,0.88,2026-04-14 00:40
2026-04-15 00:45（初盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.95,3.4,3.75,1.012,0.953,0.977,,,,,,2026-04-15 00:39
2026-04-15 00:45（初盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.97,3.8,4.1,1.022,1.065,1.068,,,,,,2026-04-15 00:40
2026-04-15 00:45（初盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.93,3.69,4.06,1.001,1.034,1.058,,,,,,2026-04-15 00:40
2026-04-15 00:45（初盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.96,0.981,0.887,2026-04-15 00:40
2026-04-15 12:45（中盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.95,3.4,3.75,1.02,0.946,0.962,,,,,,2026-04-15 12:39
2026-04-15 12:45（中盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.98,3.8,4.2,1.036,1.058,1.077,,,,,,2026-04-15 12:40
2026-04-15 12:45（中盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.93,3.69,4.06,1.01,1.027,1.041,,,,,,2026-04-15 12:40
2026-04-15 12:45（中盘①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.96,0.951,0.878,2026-04-15 12:40
2026-04-16 00:45（中盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.95,3.4,3.75,1.029,0.939,0.949,,,,,,2026-04-16 00:39
2026-04-16 00:45（中盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.96,3.85,4.3,1.034,1.063,1.088,,,,,,2026-04-16 00:40
2026-04-16 00:45（中盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.9,3.73,4.14,1.002,1.03,1.047,,,,,,2026-04-16 00:40
2026-04-16 00:45（中盘②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.91,1.99,0.955,0.879,2026-04-16 00:40
2026-04-16 12:45（中盘③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.85,3.4,3.9,0.986,0.932,0.965,,,,,,2026-04-16 12:40
2026-04-16 12:45（中盘③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.96,3.85,4.3,1.045,1.055,1.064,,,,,,2026-04-16 12:40
2026-04-16 12:45（中盘③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.88,3.74,4.26,1.002,1.025,1.055,,,,,,2026-04-16 12:40
2026-04-16 12:45（中盘③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.88,2.03,0.948,0.888,2026-04-16 12:40
2026-04-16 18:45（临场①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.91,3.4,3.8,1.019,0.921,0.943,,,,,,2026-04-16 18:40
2026-04-16 18:45（临场①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.96,3.85,4.3,1.046,1.043,1.067,,,,,,2026-04-16 18:40
2026-04-16 18:45（临场①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.89,3.76,4.13,1.009,1.018,1.025,,,,,,2026-04-16 18:40
2026-04-16 18:45（临场①）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.91,2.0,0.97,0.871,2026-04-16 18:40
2026-04-16 21:45（临场②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.91,3.4,3.8,1.02,0.928,0.935,,,,,,2026-04-16 21:39
2026-04-16 21:45（临场②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.94,3.85,4.4,1.036,1.051,1.082,,,,,,2026-04-16 21:40
2026-04-16 21:45（临场②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.89,3.76,4.14,1.01,1.026,1.018,,,,,,2026-04-16 21:40
2026-04-16 21:45（临场②）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.9,2.0,0.976,0.864,2026-04-16 21:40
2026-04-16 23:15（临场③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.91,3.4,3.8,1.019,0.924,0.942,,,,,,2026-04-16 23:10
2026-04-16 23:15（临场③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.95,3.85,4.3,1.04,1.047,1.066,,,,,,2026-04-16 23:10
2026-04-16 23:15（临场③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.9,3.76,4.11,1.014,1.022,1.018,,,,,,2026-04-16 23:10
2026-04-16 23:15（临场③）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.91,2.0,0.979,0.869,2026-04-16 23:10
2026-04-17 00:15（临场④）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,William Hill,欧指,1.91,3.4,3.8,1.031,0.902,0.939,,,,,,2026-04-17 00:10
2026-04-17 00:15（临场④）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Betfair,欧指,1.93,4.0,4.3,1.042,1.061,1.063,,,,,,2026-04-17 00:10
2026-04-17 00:15（临场④）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,欧指,1.88,3.82,4.16,1.015,1.014,1.028,,,,,,2026-04-17 00:10
2026-04-17 00:15（临场④）,欧联 Europa League,2026-04-17 00:45,Celta Vigo,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.5,1.88,2.03,0.974,0.876,2026-04-17 00:10
