快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Pinnacle,欧指,1.45,5.11,6.61,1.017,1.05,1.016,,,,,,2026-04-15 21:25
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Pinnacle,亚盘,,,,,,,-1.25,1.93,1.98,0.948,1.067,2026-04-15 21:25
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,1xBet,欧指,1.47,5.18,6.96,1.031,1.064,1.07,,,,,,2026-04-15 21:24
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,1xBet,亚盘,,,,,,,-1.5,2.19,1.79,1.076,0.965,2026-04-15 21:24
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Betfair,欧指,1.46,5.2,7.4,1.024,1.068,1.137,,,,,,2026-04-15 21:25
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,William Hill,欧指,1.4,4.6,6.0,0.982,0.945,0.922,,,,,,2026-04-15 21:24
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Marathon Bet,欧指,1.45,5.1,6.85,1.017,1.048,1.053,,,,,,2026-04-15 21:24
2026-04-15 21:30（初盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Ladbrokes,欧指,1.44,5.0,6.0,1.01,1.027,0.922,,,,,,2026-04-15 21:24
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Pinnacle,欧指,1.42,5.24,6.97,1.011,1.047,1.033,,,,,,2026-04-17 09:25
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Pinnacle,亚盘,,,,,,,-1.25,1.87,2.04,0.939,1.076,2026-04-17 09:25
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,1xBet,欧指,1.45,5.28,7.22,1.032,1.055,1.07,,,,,,2026-04-17 09:24
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,1xBet,亚盘,,,,,,,-1.5,2.13,1.83,1.069,0.965,2026-04-17 09:24
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Betfair,欧指,1.44,5.4,7.6,1.025,1.079,1.127,,,,,,2026-04-17 09:25
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,William Hill,欧指,1.4,4.6,6.0,0.996,0.919,0.889,,,,,,2026-04-17 09:25
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Marathon Bet,欧指,1.43,5.2,7.1,1.018,1.039,1.052,,,,,,2026-04-17 09:25
2026-04-17 09:30（中盘①）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Ladbrokes,欧指,1.44,4.8,6.5,1.025,0.959,0.964,,,,,,2026-04-17 09:25
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Pinnacle,欧指,1.41,5.29,7.15,1.013,1.031,1.024,,,,,,2026-04-18 09:25
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Pinnacle,亚盘,,,,,,,-1.5,2.07,1.85,1.021,0.996,2026-04-18 09:25
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,1xBet,欧指,1.44,5.33,7.41,1.034,1.038,1.061,,,,,,2026-04-18 09:25
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,1xBet,亚盘,,,,,,,-1.5,2.11,1.85,1.041,0.996,2026-04-18 09:25
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Betfair,欧指,1.43,5.6,7.8,1.027,1.091,1.117,,,,,,2026-04-18 09:25
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,William Hill,欧指,1.4,4.8,6.5,1.006,0.935,0.931,,,,,,2026-04-18 09:24
2026-04-18 09:30（中盘③）,德甲 Bundesliga,2026-04-18 21:30,Bayer Leverkusen,Augsburg,Marathon Bet,欧指,1.42,5.25,7.3,1.02,1.023,1.045,,,,,,2026-04-18 09:25
