快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.18,3.8,3.42,1.041,1.046,1.039,,,,,,2026-04-15 19:25
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.57,2.41,0.751,1.28,2026-04-15 19:25
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.1,3.5,3.1,1.003,0.964,0.942,,,,,,2026-04-15 19:24
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.14,3.74,3.36,1.022,1.03,1.021,,,,,,2026-04-15 19:25
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.16,3.8,3.5,1.032,1.046,1.063,,,,,,2026-04-15 19:25
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.12,3.83,3.33,1.013,1.054,1.012,,,,,,2026-04-15 19:25
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.86,2.06,0.89,1.094,2026-04-15 19:25
2026-04-15 19:30（初盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.6,3.25,1.003,0.991,0.987,,,,,,2026-04-15 19:25
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.19,3.8,3.4,1.047,1.038,1.032,,,,,,2026-04-16 19:24
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.57,2.41,0.753,1.277,2026-04-16 19:24
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.1,3.5,3.1,1.004,0.956,0.941,,,,,,2026-04-16 19:25
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.15,3.74,3.34,1.028,1.022,1.014,,,,,,2026-04-16 19:25
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.16,3.85,3.5,1.033,1.052,1.063,,,,,,2026-04-16 19:25
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.12,3.82,3.32,1.014,1.044,1.008,,,,,,2026-04-16 19:25
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.86,2.05,0.892,1.086,2026-04-16 19:25
2026-04-16 19:30（初盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.6,3.2,1.004,0.984,0.972,,,,,,2026-04-16 19:25
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.19,3.8,3.37,1.046,1.044,1.023,,,,,,2026-04-17 07:24
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.58,2.38,0.754,1.27,2026-04-17 07:24
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.1,3.5,3.1,1.003,0.962,0.941,,,,,,2026-04-17 07:24
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.16,3.74,3.32,1.031,1.028,1.008,,,,,,2026-04-17 07:24
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.18,3.8,3.5,1.041,1.044,1.063,,,,,,2026-04-17 07:25
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.16,3.73,3.3,1.031,1.025,1.002,,,,,,2026-04-17 07:25
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.89,2.02,0.902,1.078,2026-04-17 07:25
2026-04-17 07:30（中盘①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.5,3.25,1.003,0.962,0.987,,,,,,2026-04-17 07:24
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.18,3.8,3.42,1.045,1.043,1.034,,,,,,2026-04-17 19:24
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.56,2.43,0.749,1.287,2026-04-17 19:24
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.1,3.5,3.1,1.006,0.96,0.937,,,,,,2026-04-17 19:25
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.14,3.74,3.36,1.026,1.026,1.016,,,,,,2026-04-17 19:25
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.16,3.85,3.5,1.035,1.056,1.058,,,,,,2026-04-17 19:25
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.11,3.78,3.37,1.011,1.037,1.019,,,,,,2026-04-17 19:25
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.06,0.888,1.091,2026-04-17 19:25
2026-04-17 19:30（中盘②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.5,3.25,1.006,0.96,0.983,,,,,,2026-04-17 19:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.15,3.8,3.48,1.035,1.046,1.039,,,,,,2026-04-18 07:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.55,2.46,0.743,1.3,2026-04-18 07:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.05,3.5,3.25,0.987,0.963,0.97,,,,,,2026-04-18 07:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.12,3.74,3.42,1.021,1.029,1.021,,,,,,2026-04-18 07:24
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.18,3.8,3.55,1.05,1.046,1.06,,,,,,2026-04-18 07:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.12,3.7,3.42,1.021,1.018,1.021,,,,,,2026-04-18 07:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.06,0.887,1.088,2026-04-18 07:25
2026-04-18 07:30（中盘③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.5,3.3,1.011,0.963,0.985,,,,,,2026-04-18 07:25
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.16,3.73,3.5,1.038,1.028,1.043,,,,,,2026-04-18 13:25
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.55,2.46,0.747,1.295,2026-04-18 13:25
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.05,3.5,3.25,0.985,0.965,0.969,,,,,,2026-04-18 13:24
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.13,3.68,3.45,1.023,1.014,1.028,,,,,,2026-04-18 13:24
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.16,3.85,3.5,1.038,1.061,1.043,,,,,,2026-04-18 13:25
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.12,3.65,3.47,1.018,1.006,1.034,,,,,,2026-04-18 13:25
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.07,0.891,1.089,2026-04-18 13:25
2026-04-18 13:30（临场①）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.5,3.3,1.009,0.965,0.984,,,,,,2026-04-18 13:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.16,3.73,3.5,1.034,1.026,1.052,,,,,,2026-04-18 16:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.55,2.46,0.747,1.293,2026-04-18 16:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.05,3.5,3.25,0.981,0.963,0.977,,,,,,2026-04-18 16:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.13,3.68,3.44,1.019,1.012,1.034,,,,,,2026-04-18 16:24
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.16,3.8,3.55,1.034,1.045,1.067,,,,,,2026-04-18 16:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.13,3.68,3.49,1.019,1.012,1.049,,,,,,2026-04-18 16:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.08,0.891,1.093,2026-04-18 16:25
2026-04-18 16:30（临场②）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.5,3.3,1.005,0.963,0.992,,,,,,2026-04-18 16:25
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.11,3.78,3.6,1.032,1.028,1.054,,,,,,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.52,2.53,0.72,1.35,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.05,3.5,3.3,1.003,0.951,0.966,,,,,,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Marathon Bet,欧指,2.08,3.72,3.55,1.017,1.011,1.039,,,,,,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Betfair,欧指,2.12,3.85,3.65,1.037,1.047,1.068,,,,,,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,欧指,2.07,3.8,3.55,1.012,1.033,1.039,,,,,,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Pinnacle,亚盘,,,,,,,-0.5,2.08,1.86,0.985,0.992,2026-04-18 17:55
2026-04-18 18:00（临场③）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,Ladbrokes,欧指,2.1,3.5,3.3,1.027,0.951,0.966,,,,,,2026-04-18 17:55
2026-04-18 19:00（临场④）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,欧指,2.04,3.84,3.76,1.031,1.034,1.054,,,,,,2026-04-18 18:55
2026-04-18 19:00（临场④）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,1xBet,亚盘,,,,,,,0.0,1.48,2.65,0.723,1.377,2026-04-18 18:55
2026-04-18 19:00（临场④）,英超 EPL,2026-04-18 19:30,Brentford,Fulham,William Hill,欧指,2.0,3.5,3.4,1.011,0.943,0.953,,,,,,2026-04-18 18:55
