快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,1xBet,欧指,1.69,4.11,5.58,1.055,1.033,1.019,,,,,,2026-04-15 21:55
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,1xBet,亚盘,,,,,,,-1.5,2.69,1.41,1.349,0.731,2026-04-15 21:55
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,William Hill,欧指,1.57,3.8,5.0,0.98,0.955,0.913,,,,,,2026-04-15 21:54
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Marathon Bet,欧指,1.66,4.05,5.5,1.036,1.018,1.005,,,,,,2026-04-15 21:55
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Pinnacle,欧指,1.64,4.07,5.52,1.024,1.023,1.008,,,,,,2026-04-15 21:55
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.08,0.918,1.079,2026-04-15 21:55
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Betfair,欧指,1.65,4.2,6.2,1.03,1.056,1.133,,,,,,2026-04-15 21:55
2026-04-15 22:00（初盘①）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Ladbrokes,欧指,1.61,3.9,5.25,1.005,0.98,0.959,,,,,,2026-04-15 21:55
2026-04-16 22:00（初盘②）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,1xBet,欧指,1.69,4.17,5.48,1.057,1.052,0.985,,,,,,2026-04-16 21:54
2026-04-16 22:00（初盘②）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,1xBet,亚盘,,,,,,,-1.5,2.69,1.41,1.33,0.74,2026-04-16 21:54
2026-04-16 22:00（初盘②）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,William Hill,欧指,1.57,3.8,5.0,0.982,0.958,0.899,,,,,,2026-04-16 21:55
2026-04-16 22:00（初盘②）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Marathon Bet,欧指,1.66,4.1,5.4,1.039,1.034,0.971,,,,,,2026-04-16 21:55
2026-04-16 22:00（初盘②）,英超 EPL,2026-04-18 22:00,Leeds United,Wolverhampton Wanderers,Pinnacle,欧指,1.6,4.22,5.69,1.001,1.064,1.023,,,,,,2026-04-16 21:55
