快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-15 00:30（初盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,4.78,4.27,1.68,0.975,1.067,1.017,,,,,,2026-04-15 00:25
2026-04-15 00:30（初盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,0.75,2.04,1.88,1.062,0.939,2026-04-15 00:25
2026-04-15 00:30（初盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,William Hill,欧指,4.75,3.9,1.62,0.969,0.974,0.98,,,,,,2026-04-15 00:25
2026-04-15 00:30（初盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Betfair,欧指,5.3,4.3,1.7,1.081,1.074,1.029,,,,,,2026-04-15 00:25
2026-04-16 00:30（初盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,4.78,4.23,1.69,0.975,1.057,1.023,,,,,,2026-04-16 00:25
2026-04-16 00:30（初盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,0.75,2.03,1.88,1.057,0.933,2026-04-16 00:25
2026-04-16 00:30（初盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,William Hill,欧指,4.75,3.9,1.62,0.968,0.974,0.98,,,,,,2026-04-16 00:24
2026-04-16 00:30（初盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Betfair,欧指,5.3,4.3,1.7,1.081,1.074,1.029,,,,,,2026-04-16 00:25
2026-04-16 12:30（中盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,4.79,4.23,1.69,0.975,1.056,1.022,,,,,,2026-04-16 12:25
2026-04-16 12:30（中盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,0.75,2.03,1.88,1.058,0.932,2026-04-16 12:25
2026-04-16 12:30（中盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,William Hill,欧指,4.75,3.9,1.62,0.967,0.973,0.979,,,,,,2026-04-16 12:25
2026-04-16 12:30（中盘①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Betfair,欧指,5.3,4.3,1.71,1.079,1.073,1.034,,,,,,2026-04-16 12:25
2026-04-17 00:30（中盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,4.77,4.22,1.69,0.985,1.054,1.017,,,,,,2026-04-17 00:25
2026-04-17 00:30（中盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,0.75,2.02,1.88,1.052,0.937,2026-04-17 00:25
2026-04-17 00:30（中盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,William Hill,欧指,4.75,3.9,1.62,0.981,0.974,0.975,,,,,,2026-04-17 00:25
2026-04-17 00:30（中盘②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Betfair,欧指,5.3,4.3,1.7,1.094,1.074,1.023,,,,,,2026-04-17 00:24
2026-04-17 12:30（中盘③）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,5.25,4.27,1.63,1.03,1.059,0.998,,,,,,2026-04-17 12:25
2026-04-17 12:30（中盘③）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,1.0,1.83,2.08,0.955,1.034,2026-04-17 12:25
2026-04-17 12:30（中盘③）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,William Hill,欧指,4.8,3.9,1.62,0.942,0.967,0.992,,,,,,2026-04-17 12:24
2026-04-17 12:30（中盘③）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Betfair,欧指,5.7,4.2,1.68,1.119,1.042,1.029,,,,,,2026-04-17 12:25
2026-04-17 18:30（临场①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,6.31,4.43,1.54,1.07,1.04,1.002,,,,,,2026-04-17 18:25
2026-04-17 18:30（临场①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,1.0,2.03,1.89,1.089,0.915,2026-04-17 18:25
2026-04-17 18:30（临场①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,William Hill,欧指,5.5,4.0,1.53,0.933,0.939,0.996,,,,,,2026-04-17 18:24
2026-04-17 18:30（临场①）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Betfair,欧指,6.6,4.6,1.58,1.12,1.08,1.028,,,,,,2026-04-17 18:25
2026-04-17 21:30（临场②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,欧指,6.3,4.41,1.54,1.064,1.038,1.002,,,,,,2026-04-17 21:25
2026-04-17 21:30（临场②）,意甲 Serie A,2026-04-18 00:30,Sassuolo,Como,Pinnacle,亚盘,,,,,,,1.0,2.03,1.9,1.091,0.919,2026-04-17 21:25
