快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,欧指,1.7,3.79,5.4,1.024,0.998,1.027,,,,,,2026-04-17 20:55
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,亚盘,,,,,,,-0.75,1.9,2.0,0.937,1.053,2026-04-17 20:55
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,William Hill,欧指,1.65,3.7,5.0,0.994,0.975,0.951,,,,,,2026-04-17 20:54
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,欧指,1.72,3.94,5.58,1.036,1.038,1.061,,,,,,2026-04-17 20:54
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,亚盘,,,,,,,-1.5,2.77,1.39,1.365,0.732,2026-04-17 20:54
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Betfair,欧指,1.74,4.0,5.5,1.048,1.054,1.046,,,,,,2026-04-17 20:55
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Marathon Bet,欧指,1.69,3.88,5.5,1.018,1.022,1.046,,,,,,2026-04-17 20:55
2026-04-17 21:00（初盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Ladbrokes,欧指,1.65,3.8,5.0,0.994,1.001,0.951,,,,,,2026-04-17 20:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,欧指,1.75,3.66,5.19,1.029,0.987,1.021,,,,,,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,亚盘,,,,,,,-0.75,1.97,1.93,0.939,1.046,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,William Hill,欧指,1.67,3.7,4.8,0.982,0.998,0.944,,,,,,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,欧指,1.77,3.81,5.33,1.04,1.027,1.048,,,,,,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,亚盘,,,,,,,-1.5,2.89,1.36,1.377,0.737,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Betfair,欧指,1.77,3.85,5.5,1.04,1.038,1.082,,,,,,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Marathon Bet,欧指,1.74,3.75,5.25,1.023,1.011,1.032,,,,,,2026-04-18 08:55
2026-04-18 09:00（中盘①）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Ladbrokes,欧指,1.7,3.8,4.8,0.999,1.025,0.944,,,,,,2026-04-18 08:54
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,欧指,1.76,3.65,5.18,1.026,0.982,1.026,,,,,,2026-04-18 20:55
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.93,0.936,1.052,2026-04-18 20:55
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,William Hill,欧指,1.67,3.7,4.8,0.974,0.995,0.951,,,,,,2026-04-18 20:55
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,欧指,1.77,3.81,5.33,1.032,1.025,1.056,,,,,,2026-04-18 20:54
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,亚盘,,,,,,,-1.5,2.89,1.36,1.367,0.741,2026-04-18 20:54
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Betfair,欧指,1.78,3.85,5.6,1.038,1.036,1.11,,,,,,2026-04-18 20:55
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Marathon Bet,欧指,1.74,3.74,5.3,1.015,1.006,1.05,,,,,,2026-04-18 20:55
2026-04-18 21:00（中盘②）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Ladbrokes,欧指,1.7,3.8,4.8,0.991,1.022,0.951,,,,,,2026-04-18 20:54
2026-04-19 09:00（中盘③）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,欧指,1.75,3.65,5.19,1.019,0.987,1.038,,,,,,2026-04-19 08:55
2026-04-19 09:00（中盘③）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.93,0.964,1.023,2026-04-19 08:55
2026-04-19 09:00（中盘③）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,William Hill,欧指,1.67,3.7,4.8,0.972,1.001,0.96,,,,,,2026-04-19 08:54
2026-04-19 09:00（中盘③）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,欧指,1.78,3.76,5.33,1.036,1.017,1.066,,,,,,2026-04-19 08:54
2026-04-19 09:00（中盘③）,英超 EPL,2026-04-19 21:00,Aston Villa,Sunderland,1xBet,亚盘,,,,,,,-1.5,2.89,1.36,1.407,0.721,2026-04-19 08:54
