快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.33,3.6,3.25,1.052,1.011,1.056,,,,,,2026-04-16 02:55
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.64,2.26,0.741,1.26,2026-04-16 02:55
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.2,3.4,3.0,0.993,0.955,0.975,,,,,,2026-04-16 02:55
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.29,3.54,3.2,1.034,0.994,1.04,,,,,,2026-04-16 02:54
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.28,3.8,3.3,1.03,1.067,1.072,,,,,,2026-04-16 02:55
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.25,3.64,3.19,1.016,1.022,1.037,,,,,,2026-04-16 02:55
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,亚盘,,,,,,,-0.25,1.96,1.94,0.886,1.081,2026-04-16 02:55
2026-04-16 03:00（初盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Ladbrokes,欧指,2.2,3.6,3.0,0.993,1.011,0.975,,,,,,2026-04-16 02:54
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.31,3.67,3.23,1.046,1.032,1.039,,,,,,2026-04-17 02:55
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.63,2.28,0.741,1.266,2026-04-17 02:55
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.2,3.4,3.0,0.997,0.956,0.965,,,,,,2026-04-17 02:54
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.27,3.62,3.18,1.028,1.018,1.023,,,,,,2026-04-17 02:55
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.28,3.8,3.3,1.033,1.069,1.062,,,,,,2026-04-17 02:55
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.25,3.64,3.19,1.019,1.024,1.026,,,,,,2026-04-17 02:55
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,亚盘,,,,,,,-0.25,1.96,1.94,0.891,1.077,2026-04-17 02:55
2026-04-17 03:00（初盘②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Ladbrokes,欧指,2.15,3.6,3.0,0.974,1.012,0.965,,,,,,2026-04-17 02:54
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.31,3.67,3.23,1.044,1.028,1.042,,,,,,2026-04-17 14:55
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.64,2.26,0.748,1.257,2026-04-17 14:55
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.2,3.4,3.0,0.994,0.953,0.968,,,,,,2026-04-17 14:55
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.27,3.62,3.18,1.026,1.014,1.026,,,,,,2026-04-17 14:54
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.28,3.85,3.25,1.03,1.079,1.049,,,,,,2026-04-17 14:55
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.25,3.64,3.19,1.017,1.02,1.029,,,,,,2026-04-17 14:55
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,亚盘,,,,,,,-0.25,1.96,1.94,0.894,1.079,2026-04-17 14:55
2026-04-17 15:00（中盘①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Ladbrokes,欧指,2.15,3.6,3.0,0.972,1.009,0.968,,,,,,2026-04-17 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.17,3.73,3.5,1.027,1.023,1.065,,,,,,2026-04-18 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.56,2.48,0.744,1.314,2026-04-18 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.15,3.4,3.1,1.018,0.933,0.943,,,,,,2026-04-18 14:54
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.15,3.7,3.48,1.018,1.015,1.059,,,,,,2026-04-18 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.2,3.85,3.45,1.042,1.056,1.05,,,,,,2026-04-18 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.14,3.72,3.35,1.013,1.02,1.019,,,,,,2026-04-18 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,亚盘,,,,,,,-0.25,1.88,2.04,0.897,1.081,2026-04-18 14:55
2026-04-18 15:00（中盘③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Ladbrokes,欧指,2.1,3.7,3.1,0.994,1.015,0.943,,,,,,2026-04-18 14:55
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.13,3.77,3.57,1.007,1.025,1.078,,,,,,2026-04-18 20:54
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.53,2.55,0.731,1.341,2026-04-18 20:54
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.15,3.4,3.1,1.017,0.925,0.936,,,,,,2026-04-18 20:55
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.11,3.74,3.54,0.998,1.017,1.069,,,,,,2026-04-18 20:55
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.16,3.85,3.55,1.022,1.047,1.072,,,,,,2026-04-18 20:55
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.16,3.74,3.37,1.022,1.017,1.018,,,,,,2026-04-18 20:55
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,亚盘,,,,,,,-0.25,1.88,2.04,0.898,1.073,2026-04-18 20:55
2026-04-18 21:00（临场①）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Ladbrokes,欧指,2.1,3.7,3.1,0.993,1.006,0.936,,,,,,2026-04-18 20:54
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.15,3.78,3.5,1.015,1.032,1.063,,,,,,2026-04-18 23:54
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.55,2.5,0.738,1.323,2026-04-18 23:54
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.05,3.5,3.25,0.968,0.955,0.987,,,,,,2026-04-18 23:54
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.14,3.75,3.45,1.011,1.023,1.048,,,,,,2026-04-18 23:55
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.2,3.85,3.45,1.039,1.051,1.048,,,,,,2026-04-18 23:55
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.16,3.74,3.37,1.02,1.021,1.024,,,,,,2026-04-18 23:55
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,亚盘,,,,,,,-0.25,1.88,2.04,0.895,1.079,2026-04-18 23:55
2026-04-19 00:00（临场②）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Ladbrokes,欧指,2.05,3.75,3.2,0.968,1.023,0.972,,,,,,2026-04-18 23:55
2026-04-19 01:30（临场③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,欧指,2.12,3.79,3.58,1.013,1.028,1.074,,,,,,2026-04-19 01:24
2026-04-19 01:30（临场③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,1xBet,亚盘,,,,,,,0.0,1.53,2.56,0.732,1.348,2026-04-19 01:24
2026-04-19 01:30（临场③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,William Hill,欧指,2.05,3.5,3.25,0.979,0.95,0.975,,,,,,2026-04-19 01:25
2026-04-19 01:30（临场③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Marathon Bet,欧指,2.1,3.76,3.55,1.003,1.02,1.065,,,,,,2026-04-19 01:25
2026-04-19 01:30（临场③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Betfair,欧指,2.14,3.85,3.55,1.022,1.045,1.065,,,,,,2026-04-19 01:25
2026-04-19 01:30（临场③）,英超 EPL,2026-04-19 03:00,Chelsea,Manchester United,Pinnacle,欧指,2.1,3.8,3.47,1.003,1.031,1.041,,,,,,2026-04-19 01:25
