快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,欧指,1.84,3.74,4.44,1.026,1.017,1.01,,,,,,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,亚盘,,,,,,,-0.5,1.85,2.07,0.862,1.133,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,William Hill,欧指,1.8,3.5,4.2,1.004,0.952,0.956,,,,,,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,欧指,1.87,3.79,4.62,1.043,1.031,1.051,,,,,,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,亚盘,,,,,,,-1.5,3.1,1.32,1.445,0.723,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Marathon Bet,欧指,1.84,3.74,4.55,1.026,1.017,1.035,,,,,,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Betfair,欧指,1.86,3.9,4.6,1.037,1.06,1.047,,,,,,2026-04-16 23:25
2026-04-16 23:30（初盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Ladbrokes,欧指,1.83,3.6,4.33,1.02,0.979,0.985,,,,,,2026-04-16 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,欧指,1.88,3.66,4.34,1.033,1.012,0.992,,,,,,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,亚盘,,,,,,,-0.5,1.89,2.02,1.008,0.967,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,William Hill,欧指,1.83,3.5,4.0,1.006,0.968,0.914,,,,,,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,欧指,1.9,3.76,4.47,1.044,1.04,1.022,,,,,,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,亚盘,,,,,,,0.0,1.33,2.98,0.709,1.427,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Marathon Bet,欧指,1.87,3.7,4.4,1.028,1.023,1.006,,,,,,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Betfair,欧指,1.92,3.85,4.5,1.055,1.065,1.029,,,,,,2026-04-17 23:25
2026-04-17 23:30（初盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Ladbrokes,欧指,1.8,3.6,4.2,0.989,0.996,0.96,,,,,,2026-04-17 23:25
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,欧指,1.88,3.66,4.37,1.022,1.021,1.016,,,,,,2026-04-18 11:25
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,亚盘,,,,,,,-0.5,1.88,2.03,0.999,0.976,2026-04-18 11:25
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,William Hill,欧指,1.83,3.5,4.0,0.995,0.976,0.93,,,,,,2026-04-18 11:23
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,欧指,1.9,3.76,4.47,1.033,1.049,1.039,,,,,,2026-04-18 11:23
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,亚盘,,,,,,,0.0,1.33,2.98,0.707,1.433,2026-04-18 11:23
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Marathon Bet,欧指,1.87,3.7,4.4,1.017,1.032,1.023,,,,,,2026-04-18 11:24
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Betfair,欧指,1.91,3.8,4.5,1.038,1.06,1.046,,,,,,2026-04-18 11:25
2026-04-18 11:30（中盘①）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Ladbrokes,欧指,1.8,3.6,4.2,0.979,1.004,0.977,,,,,,2026-04-18 11:24
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,欧指,1.88,3.65,4.37,1.019,1.011,1.015,,,,,,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Pinnacle,亚盘,,,,,,,-0.5,1.88,2.02,0.997,0.968,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,William Hill,欧指,1.83,3.5,4.0,0.992,0.97,0.929,,,,,,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,欧指,1.9,3.77,4.49,1.03,1.044,1.043,,,,,,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,1xBet,亚盘,,,,,,,0.0,1.33,3.04,0.705,1.457,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Marathon Bet,欧指,1.88,3.74,4.45,1.019,1.036,1.034,,,,,,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Betfair,欧指,1.92,3.8,4.5,1.04,1.053,1.046,,,,,,2026-04-18 23:25
2026-04-18 23:30（中盘②）,英超 EPL,2026-04-19 23:30,Manchester City,Arsenal,Ladbrokes,欧指,1.8,3.6,4.2,0.975,0.997,0.976,,,,,,2026-04-18 23:24
