快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-16 21:30（初盘①）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,欧指,1.68,4.29,4.79,1.021,1.044,0.997,,,,,,2026-04-16 21:25
2026-04-16 21:30（初盘①）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,亚盘,,,,,,,-0.75,1.86,2.05,0.915,1.087,2026-04-16 21:25
2026-04-16 21:30（初盘①）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Betfair,欧指,1.74,4.3,4.9,1.058,1.047,1.019,,,,,,2026-04-16 21:25
2026-04-16 21:30（初盘①）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Ladbrokes,欧指,1.65,4.2,4.6,1.003,1.023,0.957,,,,,,2026-04-16 21:24
2026-04-17 21:30（初盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,欧指,1.69,4.26,4.72,1.017,1.041,1.012,,,,,,2026-04-17 21:25
2026-04-17 21:30（初盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,亚盘,,,,,,,-0.75,1.88,2.03,0.915,1.082,2026-04-17 21:25
2026-04-17 21:30（初盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Betfair,欧指,1.74,4.3,4.9,1.047,1.051,1.05,,,,,,2026-04-17 21:25
2026-04-17 21:30（初盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Ladbrokes,欧指,1.65,4.2,4.6,0.993,1.027,0.986,,,,,,2026-04-17 21:24
2026-04-18 21:30（中盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,欧指,1.69,4.26,4.73,1.016,1.043,1.004,,,,,,2026-04-18 21:25
2026-04-18 21:30（中盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,亚盘,,,,,,,-0.75,1.88,2.03,0.918,1.076,2026-04-18 21:25
2026-04-18 21:30（中盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Betfair,欧指,1.75,4.3,5.1,1.052,1.052,1.083,,,,,,2026-04-18 21:25
2026-04-18 21:30（中盘②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Ladbrokes,欧指,1.65,4.0,4.6,0.992,0.979,0.976,,,,,,2026-04-18 21:25
2026-04-19 18:30（临场②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,欧指,1.72,4.17,4.69,1.025,1.018,1.006,,,,,,2026-04-19 18:25
2026-04-19 18:30（临场②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,亚盘,,,,,,,-0.75,1.93,2.0,0.938,1.064,2026-04-19 18:25
2026-04-19 18:30（临场②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Betfair,欧指,1.74,4.3,5.0,1.037,1.049,1.073,,,,,,2026-04-19 18:25
2026-04-19 18:30（临场②）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Ladbrokes,欧指,1.67,4.2,4.5,0.995,1.025,0.966,,,,,,2026-04-19 18:24
2026-04-19 21:00（临场④）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,欧指,1.65,4.32,5.07,1.007,1.032,1.042,,,,,,2026-04-19 20:55
2026-04-19 21:00（临场④）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,亚盘,,,,,,,-1.0,2.11,1.83,1.023,0.977,2026-04-19 20:55
2026-04-19 21:00（临场④）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Betfair,欧指,1.68,4.5,5.3,1.026,1.075,1.089,,,,,,2026-04-19 20:55
2026-04-19 21:00（临场④）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Ladbrokes,欧指,1.65,4.2,4.8,1.007,1.003,0.987,,,,,,2026-04-19 20:54
2026-04-19 23:34（即时）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,欧指,3.6,1.61,6.24,3.187,0.086,0.019,,,,,,2026-04-19 23:26
2026-04-19 23:34（即时）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Pinnacle,亚盘,,,,,,,-0.25,2.6,1.55,1.425,0.172,2026-04-19 23:26
2026-04-19 23:34（即时）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Betfair,欧指,1.02,34.0,1000.0,0.903,1.815,3.078,,,,,,2026-04-19 23:25
2026-04-19 23:34（即时）,德甲 Bundesliga,2026-04-19 21:30,SC Freiburg,1. FC Heidenheim,Ladbrokes,欧指,1.01,17.0,126.0,0.894,0.908,0.388,,,,,,2026-04-19 23:24
