快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,1xBet,欧指,2.83,3.88,2.47,1.035,1.066,1.029,,,,,,2026-04-16 00:25
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,1xBet,亚盘,,,,,,,0.0,2.11,1.84,1.152,0.813,2026-04-16 00:25
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,William Hill,欧指,2.62,3.5,2.4,0.958,0.962,1.0,,,,,,2026-04-16 00:24
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Marathon Bet,欧指,2.79,3.82,2.43,1.02,1.05,1.013,,,,,,2026-04-16 00:25
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Betfair,欧指,2.9,3.85,2.52,1.061,1.058,1.05,,,,,,2026-04-16 00:25
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Pinnacle,欧指,2.81,3.76,2.43,1.028,1.033,1.013,,,,,,2026-04-16 00:24
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Pinnacle,亚盘,,,,,,,0.0,2.1,1.82,1.147,0.804,2026-04-16 00:24
2026-04-16 00:30（初盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Ladbrokes,欧指,2.7,3.6,2.37,0.988,0.989,0.988,,,,,,2026-04-16 00:24
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,1xBet,欧指,2.83,3.88,2.47,1.037,1.061,1.028,,,,,,2026-04-17 00:24
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,1xBet,亚盘,,,,,,,0.0,2.11,1.84,1.15,0.817,2026-04-17 00:24
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,William Hill,欧指,2.62,3.5,2.4,0.96,0.957,0.999,,,,,,2026-04-17 00:25
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Marathon Bet,欧指,2.79,3.82,2.43,1.022,1.045,1.012,,,,,,2026-04-17 00:24
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Betfair,欧指,2.88,3.9,2.48,1.055,1.066,1.032,,,,,,2026-04-17 00:25
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Pinnacle,欧指,2.8,3.75,2.44,1.026,1.025,1.016,,,,,,2026-04-17 00:25
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Pinnacle,亚盘,,,,,,,0.0,2.1,1.83,1.145,0.812,2026-04-17 00:25
2026-04-17 00:30（初盘②）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Ladbrokes,欧指,2.7,3.6,2.4,0.989,0.984,0.999,,,,,,2026-04-17 00:25
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,1xBet,欧指,2.83,3.88,2.47,1.035,1.059,1.028,,,,,,2026-04-17 12:25
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,1xBet,亚盘,,,,,,,0.0,2.11,1.84,1.151,0.817,2026-04-17 12:25
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,William Hill,欧指,2.62,3.5,2.4,0.958,0.955,0.999,,,,,,2026-04-17 12:24
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Marathon Bet,欧指,2.79,3.82,2.43,1.02,1.042,1.011,,,,,,2026-04-17 12:25
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Betfair,欧指,2.86,3.9,2.5,1.046,1.064,1.04,,,,,,2026-04-17 12:25
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Pinnacle,欧指,2.8,3.75,2.44,1.024,1.023,1.015,,,,,,2026-04-17 12:25
2026-04-17 12:30（中盘①）,英超 EPL,2026-04-19 00:30,Tottenham Hotspur,Brighton and Hove Albion,Pinnacle,亚盘,,,,,,,0.0,2.1,1.83,1.146,0.812,2026-04-17 12:25
