快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,1xBet,欧指,2.48,3.3,3.23,1.054,1.012,1.052,,,,,,2026-04-18 02:55
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,1xBet,亚盘,,,,,,,0.0,1.75,2.25,0.749,1.257,2026-04-18 02:55
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Betfair,欧指,2.48,3.5,3.15,1.054,1.074,1.026,,,,,,2026-04-18 02:55
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Marathon Bet,欧指,2.44,3.25,3.18,1.037,0.997,1.035,,,,,,2026-04-18 02:55
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Pinnacle,欧指,2.43,3.28,3.16,1.032,1.006,1.029,,,,,,2026-04-18 02:55
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Pinnacle,亚盘,,,,,,,-0.25,2.08,1.84,0.89,1.028,2026-04-18 02:55
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,William Hill,欧指,2.3,3.25,3.0,0.977,0.997,0.977,,,,,,2026-04-18 02:54
2026-04-18 03:00（初盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Ladbrokes,欧指,2.3,3.3,3.0,0.977,1.012,0.977,,,,,,2026-04-18 02:54
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,1xBet,欧指,2.49,3.31,3.21,1.052,1.015,1.051,,,,,,2026-04-19 02:55
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,1xBet,亚盘,,,,,,,0.0,1.76,2.24,0.76,1.244,2026-04-19 02:55
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Betfair,欧指,2.48,3.5,3.15,1.048,1.073,1.031,,,,,,2026-04-19 02:55
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Marathon Bet,欧指,2.45,3.25,3.16,1.035,0.997,1.034,,,,,,2026-04-19 02:55
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Pinnacle,欧指,2.44,3.28,3.15,1.031,1.006,1.031,,,,,,2026-04-19 02:55
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Pinnacle,亚盘,,,,,,,-0.25,2.09,1.83,0.903,1.017,2026-04-19 02:55
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,William Hill,欧指,2.38,3.25,2.8,1.006,0.997,0.916,,,,,,2026-04-19 02:54
2026-04-19 03:00（初盘②）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,Ladbrokes,欧指,2.3,3.3,3.0,0.972,1.012,0.982,,,,,,2026-04-19 02:55
2026-04-19 15:00（中盘①）,英超 EPL,2026-04-21 03:00,Crystal Palace,West Ham United,1xBet,欧指,2.5,3.3,3.2,1.052,1.011,1.049,,,,,,2026-04-19 14:54
