快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,欧指,1.59,4.46,4.77,1.019,1.077,0.995,,,,,,2026-04-18 19:55
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,亚盘,,,,,,,-1.0,2.0,1.84,1.024,0.968,2026-04-18 19:55
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,William Hill,欧指,1.57,4.0,4.8,1.006,0.966,1.002,,,,,,2026-04-18 19:55
2026-04-20 08:00（中盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,欧指,1.61,3.99,4.16,0.981,1.009,0.951,,,,,,2026-04-20 07:55
2026-04-20 08:00（中盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,亚盘,,,,,,,-0.75,1.79,1.91,0.886,1.061,2026-04-20 07:55
2026-04-20 08:00（中盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,William Hill,欧指,1.67,3.8,4.4,1.018,0.961,1.006,,,,,,2026-04-20 07:55
2026-04-20 08:00（中盘①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Betfair,欧指,1.63,3.95,4.5,0.994,0.999,1.029,,,,,,2026-04-20 07:55
2026-04-20 20:00（中盘②）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,欧指,1.77,4.04,4.05,1.039,1.047,0.98,,,,,,2026-04-20 19:54
2026-04-20 20:00（中盘②）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,亚盘,,,,,,,-0.75,2.01,1.85,0.951,1.032,2026-04-20 19:54
2026-04-20 20:00（中盘②）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,William Hill,欧指,1.73,3.8,4.0,1.016,0.985,0.967,,,,,,2026-04-20 19:54
2026-04-20 20:00（中盘②）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Betfair,欧指,1.84,4.0,4.3,1.081,1.037,1.04,,,,,,2026-04-20 19:55
2026-04-21 08:00（中盘③）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,欧指,1.92,3.92,3.71,1.034,1.055,1.027,,,,,,2026-04-21 07:55
2026-04-21 08:00（中盘③）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.94,1.003,0.977,2026-04-21 07:55
2026-04-21 08:00（中盘③）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,William Hill,欧指,1.85,3.6,3.6,0.996,0.969,0.996,,,,,,2026-04-21 07:55
2026-04-21 08:00（中盘③）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Betfair,欧指,1.96,3.95,3.95,1.056,1.063,1.093,,,,,,2026-04-21 07:54
2026-04-21 14:00（临场①）,中超 CSL,2026-04-21 20:00,Shanghai SIPG FC,Chongqing Tonglianglong FC,Pinnacle,欧指,1.99,3.69,3.76,1.039,1.051,1.043,,,,,,2026-04-21 13:55
