快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Marathon Bet,欧指,4.45,3.88,1.68,1.042,1.025,1.0,,,,,,2026-04-18 19:55
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Pinnacle,欧指,4.51,3.94,1.71,1.056,1.041,1.018,,,,,,2026-04-18 19:55
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,0.75,1.91,1.92,1.066,0.919,2026-04-18 19:55
2026-04-18 20:00（初盘①）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,William Hill,欧指,4.33,3.75,1.7,1.014,0.99,1.012,,,,,,2026-04-18 19:55
2026-04-19 20:00（初盘②）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Marathon Bet,欧指,4.4,3.84,1.69,1.021,1.026,1.001,,,,,,2026-04-19 19:54
2026-04-19 20:00（初盘②）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Pinnacle,欧指,4.51,3.89,1.72,1.047,1.04,1.018,,,,,,2026-04-19 19:55
2026-04-19 20:00（初盘②）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,0.75,1.9,1.93,1.067,0.914,2026-04-19 19:55
2026-04-19 20:00（初盘②）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,William Hill,欧指,4.33,3.75,1.7,1.005,1.002,1.006,,,,,,2026-04-19 19:55
2026-04-19 20:00（初盘②）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Betfair,欧指,4.5,3.9,1.71,1.044,1.042,1.012,,,,,,2026-04-19 19:55
2026-04-20 08:00（中盘①）,中超 CSL,2026-04-21 20:00,Tianjin Jinmen Tiger FC,Shandong Luneng Taishan FC,Marathon Bet,欧指,3.98,3.72,1.79,1.016,1.015,1.002,,,,,,2026-04-20 07:55
