快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-19 01:00（初盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,欧指,1.79,3.56,4.67,1.0,1.004,1.035,,,,,,2026-04-19 00:55
2026-04-19 01:00（初盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,亚盘,,,,,,,-0.5,1.8,2.07,0.964,0.951,2026-04-19 00:55
2026-04-19 01:00（初盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Marathon Bet,欧指,1.86,3.62,4.6,1.039,1.021,1.019,,,,,,2026-04-19 00:55
2026-04-19 01:00（初盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Betfair,欧指,1.86,3.7,4.6,1.039,1.043,1.019,,,,,,2026-04-19 00:55
2026-04-19 01:00（初盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Ladbrokes,欧指,1.8,3.5,4.5,1.006,0.987,0.997,,,,,,2026-04-19 00:55
2026-04-20 01:00（初盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,欧指,1.93,3.42,4.43,1.03,0.994,1.04,,,,,,2026-04-20 00:55
2026-04-20 01:00（初盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,亚盘,,,,,,,-0.5,1.94,1.96,0.963,0.963,2026-04-20 00:55
2026-04-20 01:00（初盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Marathon Bet,欧指,1.97,3.48,4.25,1.052,1.011,0.998,,,,,,2026-04-20 00:55
2026-04-20 01:00（初盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Betfair,欧指,1.94,3.65,4.6,1.036,1.061,1.08,,,,,,2026-04-20 00:55
2026-04-20 01:00（初盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Ladbrokes,欧指,1.85,3.4,4.2,0.988,0.988,0.986,,,,,,2026-04-20 00:54
2026-04-20 13:00（中盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,欧指,1.96,3.15,4.83,1.025,0.965,1.109,,,,,,2026-04-20 12:54
2026-04-20 13:00（中盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,亚盘,,,,,,,-0.5,1.97,1.93,0.976,0.948,2026-04-20 12:54
2026-04-20 13:00（中盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Marathon Bet,欧指,2.02,3.2,4.45,1.057,0.98,1.022,,,,,,2026-04-20 12:54
2026-04-20 13:00（中盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Betfair,欧指,1.98,3.35,4.9,1.036,1.026,1.126,,,,,,2026-04-20 12:54
2026-04-20 13:00（中盘①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Ladbrokes,欧指,1.85,3.4,4.2,0.968,1.042,0.965,,,,,,2026-04-20 12:55
2026-04-21 01:00（中盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,欧指,1.91,3.42,4.58,1.001,1.032,1.062,,,,,,2026-04-21 00:55
2026-04-21 01:00（中盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,亚盘,,,,,,,-0.5,1.92,1.99,1.071,0.899,2026-04-21 00:55
2026-04-21 01:00（中盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Marathon Bet,欧指,1.95,3.38,4.5,1.022,1.02,1.043,,,,,,2026-04-21 00:55
2026-04-21 01:00（中盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Betfair,欧指,1.96,3.45,4.8,1.027,1.041,1.113,,,,,,2026-04-21 00:55
2026-04-21 01:00（中盘②）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Ladbrokes,欧指,1.91,3.3,4.0,1.001,0.995,0.927,,,,,,2026-04-21 00:55
2026-04-21 13:00（中盘③）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,欧指,1.85,3.56,4.71,1.01,1.035,1.029,,,,,,2026-04-21 12:55
2026-04-21 13:00（中盘③）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,亚盘,,,,,,,-0.5,1.85,2.06,0.976,0.957,2026-04-21 12:55
2026-04-21 13:00（中盘③）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Marathon Bet,欧指,1.88,3.52,4.65,1.026,1.023,1.016,,,,,,2026-04-21 12:55
2026-04-21 13:00（中盘③）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Betfair,欧指,1.9,3.6,5.0,1.037,1.046,1.093,,,,,,2026-04-21 12:54
2026-04-21 13:00（中盘③）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Ladbrokes,欧指,1.85,3.4,4.33,1.01,0.988,0.946,,,,,,2026-04-21 12:54
2026-04-21 19:00（临场①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,欧指,1.86,3.6,4.68,1.017,1.023,1.042,,,,,,2026-04-21 18:55
2026-04-21 19:00（临场①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Pinnacle,亚盘,,,,,,,-0.5,1.87,2.06,0.825,1.144,2026-04-21 18:55
2026-04-21 19:00（临场①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Marathon Bet,欧指,1.86,3.6,4.65,1.017,1.023,1.035,,,,,,2026-04-21 18:54
2026-04-21 19:00（临场①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Betfair,欧指,1.9,3.65,4.9,1.039,1.037,1.09,,,,,,2026-04-21 18:55
2026-04-21 19:00（临场①）,西甲 La Liga,2026-04-22 01:00,Athletic Bilbao,CA Osasuna,Ladbrokes,欧指,1.85,3.5,4.33,1.012,0.995,0.964,,,,,,2026-04-21 18:54
