快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Pinnacle,欧指,2.25,3.39,3.15,1.028,1.016,1.046,,,,,,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,-0.25,1.95,1.88,1.064,0.943,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Marathon Bet,欧指,2.2,3.34,3.08,1.005,1.001,1.023,,,,,,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,William Hill,欧指,2.15,3.25,3.1,0.982,0.974,1.029,,,,,,2026-04-20 19:29
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Betfair,欧指,2.3,3.4,3.15,1.05,1.019,1.046,,,,,,2026-04-20 19:30
2026-04-21 19:35（中盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Pinnacle,欧指,2.25,3.4,3.16,1.026,1.022,1.045,,,,,,2026-04-21 19:30
2026-04-21 19:35（中盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,-0.25,1.95,1.89,1.061,0.969,2026-04-21 19:30
2026-04-21 19:35（中盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Marathon Bet,欧指,2.2,3.34,3.08,1.003,1.004,1.019,,,,,,2026-04-21 19:30
2026-04-21 19:35（中盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,William Hill,欧指,2.15,3.25,3.1,0.98,0.977,1.026,,,,,,2026-04-21 19:30
2026-04-21 19:35（中盘②）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Betfair,欧指,2.3,3.45,3.25,1.048,1.037,1.075,,,,,,2026-04-21 19:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Pinnacle,欧指,2.43,3.47,2.95,1.067,1.04,1.01,,,,,,2026-04-22 13:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,-0.25,2.11,1.81,1.109,0.906,2026-04-22 13:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Liaoning Tieren FC,Dalian Yingbo,Marathon Bet,欧指,2.33,3.34,2.86,1.023,1.001,0.979,,,,,,2026-04-22 13:30
