快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,欧指,2.69,3.28,2.65,1.061,1.001,1.039,,,,,,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,亚盘,,,,,,,0.0,1.93,1.9,1.058,0.916,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Marathon Bet,欧指,2.64,3.2,2.58,1.041,0.976,1.011,,,,,,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Betfair,欧指,2.6,3.4,2.8,1.026,1.037,1.098,,,,,,2026-04-20 19:30
2026-04-20 19:35（初盘②）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,William Hill,欧指,2.6,3.1,2.62,1.026,0.946,1.027,,,,,,2026-04-20 19:29
2026-04-22 07:35（中盘③）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,欧指,2.69,3.34,2.68,1.06,1.015,1.038,,,,,,2026-04-22 07:30
2026-04-22 07:35（中盘③）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,亚盘,,,,,,,0.0,1.93,1.93,0.796,1.121,2026-04-22 07:30
2026-04-22 07:35（中盘③）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Marathon Bet,欧指,2.62,3.2,2.6,1.032,0.973,1.007,,,,,,2026-04-22 07:30
2026-04-22 07:35（中盘③）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Betfair,欧指,2.82,3.35,2.7,1.111,1.018,1.046,,,,,,2026-04-22 07:30
2026-04-22 07:35（中盘③）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,William Hill,欧指,2.6,3.1,2.6,1.024,0.942,1.007,,,,,,2026-04-22 07:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,欧指,2.64,3.14,2.93,1.046,0.994,1.082,,,,,,2026-04-22 13:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,亚盘,,,,,,,0.0,1.85,2.05,0.783,1.143,2026-04-22 13:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Marathon Bet,欧指,2.56,3.02,2.8,1.014,0.956,1.034,,,,,,2026-04-22 13:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Betfair,欧指,2.68,3.25,2.96,1.062,1.028,1.093,,,,,,2026-04-22 13:30
2026-04-22 13:35（临场①）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,William Hill,欧指,2.5,2.9,2.8,0.99,0.918,1.034,,,,,,2026-04-22 13:30
2026-04-22 16:35（临场②）,中超 CSL,2026-04-22 19:35,Qingdao West Coast FC,Henan FC,Pinnacle,欧指,2.54,3.19,3.02,1.036,1.002,1.081,,,,,,2026-04-22 16:30
