快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,欧指,1.33,5.53,7.72,1.023,1.067,0.999,,,,,,2026-04-20 19:54
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.5,1.92,1.92,0.972,1.034,2026-04-20 19:54
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.3,5.4,8.0,0.999,1.042,1.035,,,,,,2026-04-20 19:54
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,欧指,1.33,5.67,8.4,1.023,1.094,1.087,,,,,,2026-04-20 19:55
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,亚盘,,,,,,,-1.5,1.91,1.91,0.967,1.028,2026-04-20 19:55
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,William Hill,欧指,1.33,5.0,7.5,1.023,0.965,0.97,,,,,,2026-04-20 19:54
2026-04-20 20:00（初盘②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Betfair,欧指,1.34,5.5,8.6,1.03,1.061,1.113,,,,,,2026-04-20 19:55
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,欧指,1.35,5.59,7.65,1.029,1.082,1.003,,,,,,2026-04-22 07:54
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.5,1.96,1.91,1.03,0.986,2026-04-22 07:54
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.31,5.3,7.9,0.998,1.025,1.036,,,,,,2026-04-22 07:54
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,欧指,1.34,5.54,8.25,1.021,1.072,1.082,,,,,,2026-04-22 07:55
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,亚盘,,,,,,,-1.5,1.94,1.89,1.019,0.976,2026-04-22 07:55
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,William Hill,欧指,1.33,5.0,7.5,1.013,0.967,0.983,,,,,,2026-04-22 07:55
2026-04-22 08:00（中盘③）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Betfair,欧指,1.36,5.8,8.6,1.036,1.122,1.127,,,,,,2026-04-22 07:55
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,欧指,1.31,6.01,8.69,1.019,1.107,1.05,,,,,,2026-04-22 13:55
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.5,1.85,2.04,0.984,1.037,2026-04-22 13:55
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.27,5.65,8.7,0.988,1.041,1.051,,,,,,2026-04-22 13:55
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,欧指,1.3,5.97,9.15,1.011,1.1,1.105,,,,,,2026-04-22 13:55
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,亚盘,,,,,,,-1.5,1.85,1.98,0.984,1.007,2026-04-22 13:55
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,William Hill,欧指,1.3,5.0,8.0,1.011,0.921,0.966,,,,,,2026-04-22 13:54
2026-04-22 14:00（临场①）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Betfair,欧指,1.33,6.0,10.0,1.034,1.106,1.208,,,,,,2026-04-22 13:55
2026-04-22 17:00（临场②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,欧指,1.26,6.45,9.84,1.005,1.118,1.067,,,,,,2026-04-22 16:55
2026-04-22 17:00（临场②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.75,1.93,1.94,1.072,0.947,2026-04-22 16:55
2026-04-22 17:00（临场②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.23,6.05,9.9,0.981,1.049,1.074,,,,,,2026-04-22 16:55
2026-04-22 17:00（临场②）,中超 CSL,2026-04-22 20:00,Shanghai Shenhua FC,Qingdao Hainiu FC,1xBet,欧指,1.25,6.46,10.5,0.997,1.12,1.139,,,,,,2026-04-22 16:55
