快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,欧指,2.65,3.67,2.61,1.021,1.019,1.038,,,,,,2026-04-21 00:55
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,亚盘,,,,,,,0.0,1.96,1.93,0.989,1.003,2026-04-21 00:55
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,欧指,2.77,3.69,2.6,1.067,1.024,1.034,,,,,,2026-04-21 00:55
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,亚盘,,,,,,,0.0,2.02,1.92,1.019,0.997,2026-04-21 00:55
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,William Hill,欧指,2.7,3.4,2.45,1.04,0.944,0.974,,,,,,2026-04-21 00:54
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Marathon Bet,欧指,2.73,3.64,2.56,1.052,1.011,1.018,,,,,,2026-04-21 00:55
2026-04-21 01:00（初盘②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Betfair,欧指,2.68,3.9,2.64,1.033,1.083,1.05,,,,,,2026-04-21 00:55
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,欧指,2.46,3.6,2.87,1.024,0.999,1.031,,,,,,2026-04-22 12:55
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,亚盘,,,,,,,0.0,1.81,2.12,0.824,1.07,2026-04-22 12:55
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,欧指,2.35,3.74,3.1,0.979,1.037,1.114,,,,,,2026-04-22 12:55
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,亚盘,,,,,,,0.0,1.74,2.27,0.792,1.145,2026-04-22 12:55
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,William Hill,欧指,2.3,3.4,2.9,0.958,0.943,1.042,,,,,,2026-04-22 12:55
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Marathon Bet,欧指,2.31,3.68,3.05,0.962,1.021,1.096,,,,,,2026-04-22 12:54
2026-04-22 13:00（中盘③）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Betfair,欧指,2.5,3.85,2.9,1.041,1.068,1.042,,,,,,2026-04-22 12:55
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,欧指,2.36,3.76,2.95,1.018,1.041,1.023,,,,,,2026-04-22 18:54
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.25,2.07,1.86,0.915,0.973,2026-04-22 18:54
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,欧指,2.29,3.69,3.25,0.988,1.022,1.127,,,,,,2026-04-22 18:54
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,亚盘,,,,,,,0.0,1.69,2.36,0.747,1.234,2026-04-22 18:54
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,William Hill,欧指,2.25,3.4,2.9,0.971,0.941,1.006,,,,,,2026-04-22 18:54
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Marathon Bet,欧指,2.24,3.7,3.18,0.967,1.025,1.103,,,,,,2026-04-22 18:54
2026-04-22 19:00（临场①）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Betfair,欧指,2.42,3.8,3.0,1.044,1.052,1.041,,,,,,2026-04-22 18:55
2026-04-22 22:00（临场②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,欧指,2.4,3.75,2.89,1.013,1.034,1.025,,,,,,2026-04-22 21:55
2026-04-22 22:00（临场②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.25,2.1,1.83,0.911,0.974,2026-04-22 21:55
2026-04-22 22:00（临场②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,欧指,2.33,3.69,3.17,0.984,1.018,1.124,,,,,,2026-04-22 21:55
2026-04-22 22:00（临场②）,西甲 La Liga,2026-04-23 01:00,Elche CF,Atlético Madrid,1xBet,亚盘,,,,,,,0.0,1.72,2.3,0.746,1.225,2026-04-22 21:55
