快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-22 01:00（初盘②）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Pinnacle,欧指,2.56,3.21,3.03,1.035,1.002,1.037,,,,,,2026-04-22 00:55
2026-04-22 01:00（初盘②）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Pinnacle,亚盘,,,,,,,0.0,1.79,2.14,0.753,1.133,2026-04-22 00:55
2026-04-22 01:00（初盘②）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,William Hill,欧指,2.45,3.2,2.8,0.99,0.999,0.958,,,,,,2026-04-22 00:54
2026-04-22 01:00（初盘②）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Marathon Bet,欧指,2.57,3.22,3.02,1.039,1.005,1.033,,,,,,2026-04-22 00:54
2026-04-22 01:00（初盘②）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Betfair,欧指,2.58,3.3,3.15,1.043,1.03,1.078,,,,,,2026-04-22 00:55
2026-04-23 13:00（中盘③）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Pinnacle,欧指,2.48,3.24,3.12,1.014,1.017,1.041,,,,,,2026-04-23 12:54
2026-04-23 13:00（中盘③）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Pinnacle,亚盘,,,,,,,-0.25,2.12,1.81,0.885,0.975,2026-04-23 12:54
2026-04-23 13:00（中盘③）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,William Hill,欧指,2.4,3.2,2.9,0.981,1.004,0.967,,,,,,2026-04-23 12:55
2026-04-23 13:00（中盘③）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Marathon Bet,欧指,2.5,3.2,3.12,1.022,1.004,1.041,,,,,,2026-04-23 12:54
2026-04-23 13:00（中盘③）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Betfair,欧指,2.56,3.3,3.2,1.046,1.036,1.068,,,,,,2026-04-23 12:55
2026-04-23 19:00（临场①）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Pinnacle,欧指,2.48,3.26,3.14,1.026,1.023,1.028,,,,,,2026-04-23 18:55
2026-04-23 19:00（临场①）,西甲 La Liga,2026-04-24 01:00,Levante,Sevilla,Pinnacle,亚盘,,,,,,,-0.25,2.13,1.82,0.892,0.97,2026-04-23 18:55
