快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Marathon Bet,欧指,2.43,3.38,3.08,1.021,1.014,1.056,,,,,,2026-04-23 21:24
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,William Hill,欧指,2.38,3.1,2.88,1.0,0.93,0.988,,,,,,2026-04-23 21:25
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Betfair,欧指,2.48,3.5,3.1,1.042,1.05,1.063,,,,,,2026-04-23 21:24
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Pinnacle,欧指,2.38,3.45,3.08,1.0,1.035,1.056,,,,,,2026-04-23 21:25
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Pinnacle,亚盘,,,,,,,-0.25,2.06,1.85,0.868,1.047,2026-04-23 21:25
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Marathon Bet,欧指,2.4,3.44,3.08,1.032,1.022,1.027,,,,,,2026-04-25 09:24
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,William Hill,欧指,2.3,3.1,2.9,0.989,0.921,0.967,,,,,,2026-04-25 09:24
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Betfair,欧指,2.42,3.55,3.2,1.041,1.055,1.067,,,,,,2026-04-25 09:25
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Pinnacle,欧指,2.37,3.5,3.07,1.019,1.04,1.023,,,,,,2026-04-25 09:25
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Pinnacle,亚盘,,,,,,,-0.25,2.05,1.86,0.869,1.045,2026-04-25 09:25
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Marathon Bet,欧指,2.38,3.44,3.12,1.023,1.02,1.03,,,,,,2026-04-25 15:24
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,William Hill,欧指,2.3,3.1,2.9,0.989,0.92,0.957,,,,,,2026-04-25 15:25
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,1. FC Heidenheim,FC St. Pauli,Betfair,欧指,2.42,3.55,3.25,1.04,1.053,1.073,,,,,,2026-04-25 15:25
