快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-23 20:00（初盘②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,William Hill,欧指,2.15,3.0,3.6,1.004,0.974,0.97,,,,,,2026-04-23 19:54
2026-04-23 20:00（初盘②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,欧指,2.15,3.12,3.77,1.004,1.012,1.016,,,,,,2026-04-23 19:55
2026-04-23 20:00（初盘②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.03,0.845,1.025,2026-04-23 19:55
2026-04-23 20:00（初盘②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Marathon Bet,欧指,2.19,3.16,3.86,1.022,1.025,1.04,,,,,,2026-04-23 19:54
2026-04-23 20:00（初盘②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Betfair,欧指,2.22,3.2,4.1,1.036,1.038,1.105,,,,,,2026-04-23 19:55
2026-04-25 08:00（中盘③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,William Hill,欧指,2.1,3.1,3.6,0.988,0.978,0.965,,,,,,2026-04-25 07:53
2026-04-25 08:00（中盘③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,欧指,2.16,3.2,3.87,1.017,1.009,1.038,,,,,,2026-04-25 07:55
2026-04-25 08:00（中盘③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,亚盘,,,,,,,-0.25,1.84,2.08,0.857,1.037,2026-04-25 07:55
2026-04-25 08:00（中盘③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Marathon Bet,欧指,2.16,3.24,3.84,1.017,1.022,1.03,,,,,,2026-04-25 07:54
2026-04-25 08:00（中盘③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Betfair,欧指,2.2,3.3,4.0,1.035,1.041,1.072,,,,,,2026-04-25 07:55
2026-04-25 14:00（临场①）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,William Hill,欧指,2.1,3.1,3.6,1.004,0.948,0.969,,,,,,2026-04-25 13:54
2026-04-25 14:00（临场①）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,欧指,2.12,3.36,3.78,1.014,1.028,1.017,,,,,,2026-04-25 13:55
2026-04-25 14:00（临场①）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,亚盘,,,,,,,-0.25,1.82,2.1,0.863,1.038,2026-04-25 13:55
2026-04-25 14:00（临场①）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Marathon Bet,欧指,2.14,3.3,3.82,1.024,1.01,1.028,,,,,,2026-04-25 13:54
2026-04-25 14:00（临场①）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Betfair,欧指,2.18,3.4,4.0,1.043,1.04,1.076,,,,,,2026-04-25 13:55
2026-04-25 17:00（临场②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,William Hill,欧指,2.05,3.1,3.6,0.986,0.943,0.966,,,,,,2026-04-25 16:55
2026-04-25 17:00（临场②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,欧指,2.13,3.36,3.83,1.024,1.022,1.028,,,,,,2026-04-25 16:55
2026-04-25 17:00（临场②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.11,0.871,1.039,2026-04-25 16:55
2026-04-25 17:00（临场②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Marathon Bet,欧指,2.13,3.34,3.8,1.024,1.016,1.02,,,,,,2026-04-25 16:54
2026-04-25 17:00（临场②）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Betfair,欧指,2.18,3.4,4.0,1.048,1.034,1.073,,,,,,2026-04-25 16:55
2026-04-25 18:30（临场③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,William Hill,欧指,2.05,3.1,3.6,1.004,0.936,0.945,,,,,,2026-04-25 18:24
2026-04-25 18:30（临场③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,欧指,2.05,3.44,4.01,1.004,1.039,1.053,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,亚盘,,,,,,,-0.5,2.06,1.88,0.953,0.958,2026-04-25 18:25
2026-04-25 18:30（临场③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Marathon Bet,欧指,2.06,3.4,3.96,1.009,1.026,1.04,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场③）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Betfair,欧指,2.12,3.45,4.1,1.038,1.042,1.076,,,,,,2026-04-25 18:25
2026-04-25 19:34（即时）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,William Hill,欧指,2.05,3.3,3.4,0.994,1.0,0.909,,,,,,2026-04-25 19:32
2026-04-25 19:34（即时）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,欧指,2.12,3.35,3.87,1.028,1.015,1.035,,,,,,2026-04-25 19:34
2026-04-25 19:34（即时）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Pinnacle,亚盘,,,,,,,-0.25,1.82,2.12,0.853,1.069,2026-04-25 19:34
2026-04-25 19:34（即时）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Marathon Bet,欧指,2.11,3.34,3.86,1.023,1.012,1.032,,,,,,2026-04-25 19:33
2026-04-25 19:34（即时）,西甲 La Liga,2026-04-25 20:00,Alavés,Mallorca,Betfair,欧指,2.14,3.45,4.0,1.038,1.046,1.07,,,,,,2026-04-25 19:33
