快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Marathon Bet,欧指,2.56,3.78,2.66,1.026,1.021,1.039,,,,,,2026-04-23 21:24
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,William Hill,欧指,2.45,3.5,2.5,0.981,0.945,0.976,,,,,,2026-04-23 21:25
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Betfair,欧指,2.74,3.85,2.62,1.098,1.04,1.023,,,,,,2026-04-23 21:24
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,欧指,2.59,3.8,2.6,1.038,1.026,1.015,,,,,,2026-04-23 21:25
2026-04-23 21:30（初盘②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,亚盘,,,,,,,0.0,1.95,1.95,0.888,1.014,2026-04-23 21:25
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Marathon Bet,欧指,2.68,3.78,2.54,1.036,1.02,1.024,,,,,,2026-04-25 09:24
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,William Hill,欧指,2.5,3.5,2.45,0.966,0.944,0.987,,,,,,2026-04-25 09:24
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Betfair,欧指,2.74,3.9,2.6,1.059,1.052,1.048,,,,,,2026-04-25 09:25
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,欧指,2.68,3.86,2.49,1.036,1.041,1.003,,,,,,2026-04-25 09:25
2026-04-25 09:30（中盘③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,亚盘,,,,,,,0.0,2.02,1.88,1.117,0.807,2026-04-25 09:25
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Marathon Bet,欧指,2.68,3.78,2.54,1.026,1.021,1.026,,,,,,2026-04-25 15:24
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,William Hill,欧指,2.5,3.5,2.45,0.957,0.946,0.99,,,,,,2026-04-25 15:25
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Betfair,欧指,2.76,3.9,2.6,1.056,1.054,1.05,,,,,,2026-04-25 15:25
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,欧指,2.7,3.77,2.51,1.033,1.019,1.014,,,,,,2026-04-25 15:25
2026-04-25 15:30（临场①）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,亚盘,,,,,,,0.0,2.03,1.88,1.121,0.81,2026-04-25 15:25
2026-04-25 18:30（临场②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Marathon Bet,欧指,2.7,3.8,2.51,1.036,1.027,1.011,,,,,,2026-04-25 18:24
2026-04-25 18:30（临场②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,William Hill,欧指,2.5,3.5,2.45,0.959,0.946,0.987,,,,,,2026-04-25 18:24
2026-04-25 18:30（临场②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Betfair,欧指,2.74,3.9,2.6,1.051,1.054,1.047,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,欧指,2.68,3.8,2.55,1.028,1.027,1.027,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场②）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,亚盘,,,,,,,0.0,2.01,1.92,1.108,0.826,2026-04-25 18:25
2026-04-25 20:00（临场③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Marathon Bet,欧指,2.7,3.8,2.51,1.044,1.027,1.005,,,,,,2026-04-25 19:54
2026-04-25 20:00（临场③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,William Hill,欧指,2.5,3.5,2.45,0.967,0.946,0.981,,,,,,2026-04-25 19:54
2026-04-25 20:00（临场③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Betfair,欧指,2.7,3.85,2.64,1.044,1.041,1.058,,,,,,2026-04-25 19:55
2026-04-25 20:00（临场③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,欧指,2.65,3.8,2.58,1.025,1.027,1.034,,,,,,2026-04-25 19:55
2026-04-25 20:00（临场③）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,亚盘,,,,,,,0.0,1.99,1.93,1.109,0.826,2026-04-25 19:55
2026-04-25 21:10（即时）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Marathon Bet,欧指,2.48,3.84,2.72,1.013,1.041,1.028,,,,,,2026-04-25 21:10
2026-04-25 21:10（即时）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,William Hill,欧指,2.4,3.5,2.62,0.98,0.948,0.99,,,,,,2026-04-25 21:09
2026-04-25 21:10（即时）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Betfair,欧指,2.56,3.8,2.84,1.046,1.03,1.073,,,,,,2026-04-25 21:10
2026-04-25 21:10（即时）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,欧指,2.48,3.84,2.75,1.013,1.041,1.039,,,,,,2026-04-25 21:10
2026-04-25 21:10（即时）,德甲 Bundesliga,2026-04-25 21:30,Augsburg,Eintracht Frankfurt,Pinnacle,亚盘,,,,,,,0.0,1.86,2.07,0.811,1.129,2026-04-25 21:10
