快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-25 13:00（临场①）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Betsson,欧指,1.4,4.85,6.3,1.004,1.021,0.928,,,,,,2026-04-25 12:55
2026-04-25 13:00（临场①）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,欧指,1.43,4.83,7.18,1.026,1.016,1.058,,,,,,2026-04-25 12:55
2026-04-25 13:00（临场①）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,亚盘,,,,,,,-1.25,1.92,1.97,0.938,1.079,2026-04-25 12:55
2026-04-25 16:00（临场②）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Betsson,欧指,1.39,4.95,6.1,0.997,1.008,0.956,,,,,,2026-04-25 15:55
2026-04-25 16:00（临场②）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,欧指,1.43,5.21,6.46,1.026,1.061,1.013,,,,,,2026-04-25 15:55
2026-04-25 16:00（临场②）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,亚盘,,,,,,,-1.25,1.9,1.99,0.969,1.069,2026-04-25 15:55
2026-04-25 17:30（临场③）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Betsson,欧指,1.41,4.95,5.9,1.005,1.004,0.947,,,,,,2026-04-25 17:25
2026-04-25 17:30（临场③）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,欧指,1.42,5.27,6.55,1.012,1.069,1.051,,,,,,2026-04-25 17:25
2026-04-25 17:30（临场③）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,亚盘,,,,,,,-1.25,1.88,2.01,0.965,1.058,2026-04-25 17:25
2026-04-25 18:30（临场④）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Betsson,欧指,1.37,5.15,6.3,1.005,1.001,0.929,,,,,,2026-04-25 18:24
2026-04-25 18:30（临场④）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,欧指,1.39,5.45,7.06,1.02,1.06,1.041,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场④）,中超 CSL,2026-04-25 19:00,Chengdu Rongcheng FC,Zhejiang,Pinnacle,亚盘,,,,,,,-1.5,2.02,1.87,1.043,0.966,2026-04-25 18:25
