快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-23 22:00（初盘②）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Betfair,欧指,1.49,5.2,6.8,1.03,1.079,1.075,,,,,,2026-04-23 21:55
2026-04-23 22:00（初盘②）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,William Hill,欧指,1.44,4.6,6.0,0.995,0.955,0.949,,,,,,2026-04-23 21:54
2026-04-23 22:00（初盘②）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Marathon Bet,欧指,1.47,5.0,6.6,1.016,1.038,1.043,,,,,,2026-04-23 21:55
2026-04-23 22:00（初盘②）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Ladbrokes,欧指,1.5,4.6,5.75,1.037,0.955,0.909,,,,,,2026-04-23 21:55
2026-04-23 22:00（初盘②）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Pinnacle,欧指,1.45,5.05,6.6,1.002,1.048,1.043,,,,,,2026-04-23 21:55
2026-04-23 22:00（初盘②）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Pinnacle,亚盘,,,,,,,-1.25,2.07,1.85,1.006,1.0,2026-04-23 21:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Betfair,欧指,1.56,4.7,6.4,1.027,1.041,1.104,,,,,,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,William Hill,欧指,1.5,4.4,5.5,0.988,0.974,0.949,,,,,,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Marathon Bet,欧指,1.55,4.65,5.85,1.021,1.029,1.009,,,,,,2026-04-25 09:54
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Ladbrokes,欧指,1.53,4.5,5.5,1.008,0.996,0.949,,,,,,2026-04-25 09:54
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Pinnacle,欧指,1.53,4.58,6.08,1.008,1.014,1.049,,,,,,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Pinnacle,亚盘,,,,,,,-1.0,1.93,1.98,0.961,1.022,2026-04-25 09:55
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Betfair,欧指,1.58,4.8,6.0,1.038,1.055,1.059,,,,,,2026-04-25 15:55
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,William Hill,欧指,1.5,4.4,5.5,0.986,0.967,0.971,,,,,,2026-04-25 15:54
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Marathon Bet,欧指,1.56,4.6,5.75,1.025,1.011,1.015,,,,,,2026-04-25 15:54
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Ladbrokes,欧指,1.53,4.6,5.25,1.005,1.011,0.927,,,,,,2026-04-25 15:54
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Pinnacle,欧指,1.53,4.65,5.99,1.005,1.022,1.057,,,,,,2026-04-25 15:55
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Liverpool,Crystal Palace,Pinnacle,亚盘,,,,,,,-1.0,1.86,2.07,0.887,1.125,2026-04-25 15:55
