快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-23 21:00（初盘②）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Marathon Bet,欧指,2.13,3.25,3.82,1.033,1.012,1.011,,,,,,2026-04-23 20:54
2026-04-23 21:00（初盘②）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Betfair,欧指,2.16,3.3,4.0,1.048,1.028,1.059,,,,,,2026-04-23 20:55
2026-04-23 21:00（初盘②）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,William Hill,欧指,2.05,3.1,3.6,0.995,0.966,0.953,,,,,,2026-04-23 20:54
2026-04-23 21:00（初盘②）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Pinnacle,欧指,2.14,3.24,3.87,1.038,1.009,1.024,,,,,,2026-04-23 20:55
2026-04-23 21:00（初盘②）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.09,0.907,1.031,2026-04-23 20:55
2026-04-25 09:00（中盘③）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Marathon Bet,欧指,2.14,3.25,3.8,1.02,1.018,1.017,,,,,,2026-04-25 08:55
2026-04-25 09:00（中盘③）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Betfair,欧指,2.22,3.3,3.95,1.058,1.033,1.057,,,,,,2026-04-25 08:55
2026-04-25 09:00（中盘③）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,William Hill,欧指,2.05,3.1,3.6,0.977,0.971,0.963,,,,,,2026-04-25 08:54
2026-04-25 09:00（中盘③）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Pinnacle,欧指,2.16,3.22,3.84,1.029,1.008,1.028,,,,,,2026-04-25 08:55
2026-04-25 09:00（中盘③）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.07,0.916,1.028,2026-04-25 08:55
2026-04-25 15:00（临场①）,意甲 Serie A,2026-04-25 21:00,Parma,Pisa,Marathon Bet,欧指,2.29,3.08,3.6,1.027,1.008,1.015,,,,,,2026-04-25 14:54
