快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-24 10:00（中盘①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Betfair,欧指,4.8,4.5,1.74,1.072,1.095,1.02,,,,,,2026-04-24 09:55
2026-04-24 10:00（中盘①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,William Hill,欧指,4.2,4.0,1.7,0.938,0.973,0.997,,,,,,2026-04-24 09:55
2026-04-24 10:00（中盘①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Marathon Bet,欧指,4.5,4.45,1.71,1.005,1.082,1.003,,,,,,2026-04-24 09:55
2026-04-24 10:00（中盘①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,欧指,4.52,4.43,1.69,1.01,1.078,0.991,,,,,,2026-04-24 09:55
2026-04-24 10:00（中盘①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,0.75,1.97,1.93,1.01,0.929,2026-04-24 09:55
2026-04-24 10:00（中盘①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Ladbrokes,欧指,4.33,3.9,1.75,0.967,0.949,1.026,,,,,,2026-04-24 09:54
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Betfair,欧指,4.9,4.4,1.73,1.069,1.071,1.022,,,,,,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,William Hill,欧指,4.6,3.8,1.67,1.003,0.925,0.987,,,,,,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Marathon Bet,欧指,4.75,4.15,1.73,1.036,1.01,1.022,,,,,,2026-04-25 09:54
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,欧指,4.69,4.1,1.72,1.023,0.998,1.016,,,,,,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,0.75,1.97,1.93,1.002,0.959,2026-04-25 09:55
2026-04-25 10:00（中盘③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Ladbrokes,欧指,4.5,3.9,1.73,0.981,0.949,1.022,,,,,,2026-04-25 09:54
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Betfair,欧指,5.0,4.4,1.73,1.094,1.07,1.019,,,,,,2026-04-25 15:55
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,William Hill,欧指,4.33,3.9,1.7,0.947,0.948,1.001,,,,,,2026-04-25 15:54
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Marathon Bet,欧指,4.65,4.25,1.72,1.018,1.033,1.013,,,,,,2026-04-25 15:54
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,欧指,4.69,4.21,1.71,1.026,1.023,1.007,,,,,,2026-04-25 15:55
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,0.75,2.0,1.93,1.014,0.963,2026-04-25 15:55
2026-04-25 16:00（临场①）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Ladbrokes,欧指,4.4,3.9,1.73,0.963,0.948,1.019,,,,,,2026-04-25 15:54
2026-04-25 19:00（临场②）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Betfair,欧指,4.9,4.4,1.74,1.062,1.06,1.032,,,,,,2026-04-25 18:55
2026-04-25 19:00（临场②）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,William Hill,欧指,4.33,3.9,1.7,0.939,0.94,1.009,,,,,,2026-04-25 18:54
2026-04-25 19:00（临场②）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Marathon Bet,欧指,4.8,4.25,1.7,1.04,1.024,1.009,,,,,,2026-04-25 18:55
2026-04-25 19:00（临场②）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,欧指,4.77,4.25,1.7,1.034,1.024,1.009,,,,,,2026-04-25 18:55
2026-04-25 19:00（临场②）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,0.75,2.03,1.9,1.022,0.96,2026-04-25 18:55
2026-04-25 19:00（临场②）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Ladbrokes,欧指,4.4,3.9,1.73,0.954,0.94,1.027,,,,,,2026-04-25 18:54
2026-04-25 20:30（临场③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Betfair,欧指,4.9,4.5,1.72,1.06,1.075,1.028,,,,,,2026-04-25 20:25
2026-04-25 20:30（临场③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,William Hill,欧指,4.5,3.9,1.67,0.974,0.931,0.999,,,,,,2026-04-25 20:24
2026-04-25 20:30（临场③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Marathon Bet,欧指,4.85,4.3,1.69,1.049,1.027,1.01,,,,,,2026-04-25 20:24
2026-04-25 20:30（临场③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,欧指,4.74,4.36,1.68,1.026,1.041,1.004,,,,,,2026-04-25 20:25
2026-04-25 20:30（临场③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,0.75,2.05,1.88,1.027,0.954,2026-04-25 20:25
2026-04-25 20:30（临场③）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Ladbrokes,欧指,4.4,3.9,1.73,0.952,0.931,1.034,,,,,,2026-04-25 20:25
2026-04-25 21:30（临场④）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Betfair,欧指,4.9,4.7,1.7,1.053,1.117,1.02,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场④）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,William Hill,欧指,4.5,4.0,1.67,0.967,0.951,1.002,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场④）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Marathon Bet,欧指,4.85,4.45,1.67,1.042,1.057,1.002,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场④）,英超 EPL,2026-04-25 22:00,Wolverhampton Wanderers,Tottenham Hotspur,Pinnacle,欧指,4.75,4.5,1.68,1.021,1.069,1.008,,,,,,2026-04-25 21:25
