快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-24 00:30（初盘②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.54,4.9,6.6,1.046,1.056,1.065,,,,,,2026-04-24 00:25
2026-04-24 00:30（初盘②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.44,4.4,6.0,0.978,0.948,0.968,,,,,,2026-04-24 00:24
2026-04-24 00:30（初盘②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.5,4.75,6.45,1.019,1.023,1.041,,,,,,2026-04-24 00:25
2026-04-24 00:30（初盘②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.48,4.6,5.75,1.005,0.991,0.928,,,,,,2026-04-24 00:25
2026-04-24 00:30（初盘②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,欧指,1.49,4.8,6.28,1.012,1.034,1.013,,,,,,2026-04-24 00:24
2026-04-24 00:30（初盘②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,亚盘,,,,,,,-1.25,2.07,1.85,0.992,1.009,2026-04-24 00:24
2026-04-25 12:30（中盘③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.48,5.1,7.6,1.026,1.062,1.134,,,,,,2026-04-25 12:25
2026-04-25 12:30（中盘③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.44,4.5,6.5,0.998,0.937,0.97,,,,,,2026-04-25 12:24
2026-04-25 12:30（中盘③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.47,4.95,7.1,1.019,1.031,1.059,,,,,,2026-04-25 12:25
2026-04-25 12:30（中盘③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.48,4.6,6.0,1.026,0.958,0.895,,,,,,2026-04-25 12:24
2026-04-25 12:30（中盘③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,欧指,1.45,5.01,6.63,1.005,1.044,0.989,,,,,,2026-04-25 12:25
2026-04-25 12:30（中盘③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,亚盘,,,,,,,-1.25,1.98,1.93,0.989,1.014,2026-04-25 12:25
2026-04-25 18:30（临场①）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.48,5.0,7.8,1.032,1.056,1.11,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场①）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.44,4.4,6.5,1.004,0.929,0.925,,,,,,2026-04-25 18:23
2026-04-25 18:30（临场①）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.46,4.9,7.5,1.018,1.035,1.067,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场①）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.44,4.8,6.5,1.004,1.014,0.925,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场①）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,欧指,1.45,4.74,7.33,1.011,1.001,1.043,,,,,,2026-04-25 18:25
2026-04-25 18:30（临场①）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,亚盘,,,,,,,-1.25,2.01,1.91,1.003,0.998,2026-04-25 18:25
2026-04-25 21:30（临场②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.46,5.1,8.2,1.021,1.073,1.151,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.44,4.4,6.5,1.007,0.926,0.913,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.46,4.85,7.6,1.021,1.021,1.067,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.44,4.8,6.5,1.007,1.01,0.913,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,欧指,1.43,4.87,7.65,1.0,1.025,1.074,,,,,,2026-04-25 21:25
2026-04-25 21:30（临场②）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,亚盘,,,,,,,-1.25,1.96,1.96,0.951,1.052,2026-04-25 21:25
2026-04-25 23:00（临场③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.46,5.1,8.2,1.028,1.06,1.113,,,,,,2026-04-25 22:55
2026-04-25 23:00（临场③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.44,4.4,6.5,1.014,0.915,0.882,,,,,,2026-04-25 22:55
2026-04-25 23:00（临场③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.46,4.75,7.8,1.028,0.988,1.059,,,,,,2026-04-25 22:54
2026-04-25 23:00（临场③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.44,4.8,6.5,1.014,0.998,0.882,,,,,,2026-04-25 22:54
2026-04-25 23:00（临场③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,欧指,1.44,4.75,7.58,1.014,0.988,1.029,,,,,,2026-04-25 22:55
2026-04-25 23:00（临场③）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,亚盘,,,,,,,-1.25,2.0,1.93,1.003,0.998,2026-04-25 22:55
2026-04-26 00:00（临场④）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.44,5.2,8.4,1.02,1.071,1.133,,,,,,2026-04-25 23:55
2026-04-26 00:00（临场④）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.44,4.4,6.5,1.02,0.906,0.877,,,,,,2026-04-25 23:54
2026-04-26 00:00（临场④）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.44,4.95,7.9,1.02,1.02,1.066,,,,,,2026-04-25 23:55
2026-04-26 00:00（临场④）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.44,4.8,6.5,1.02,0.989,0.877,,,,,,2026-04-25 23:54
2026-04-26 00:00（临场④）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,欧指,1.43,4.95,7.85,1.013,1.02,1.059,,,,,,2026-04-25 23:55
2026-04-26 00:00（临场④）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Pinnacle,亚盘,,,,,,,-1.25,1.98,1.94,0.955,1.041,2026-04-25 23:55
2026-04-26 00:09（即时）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Betfair,欧指,1.43,5.3,8.4,1.024,1.083,1.083,,,,,,2026-04-26 00:09
2026-04-26 00:09（即时）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,William Hill,欧指,1.4,4.5,7.0,1.002,0.919,0.903,,,,,,2026-04-26 00:08
2026-04-26 00:09（即时）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Marathon Bet,欧指,1.42,5.05,8.3,1.017,1.032,1.07,,,,,,2026-04-26 00:09
2026-04-26 00:09（即时）,英超 EPL,2026-04-26 00:30,Arsenal,Newcastle United,Ladbrokes,欧指,1.44,4.8,6.5,1.031,0.981,0.838,,,,,,2026-04-26 00:09
