快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-24 00:00（初盘②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Betfair,欧指,3.25,3.35,2.48,1.081,1.047,1.03,,,,,,2026-04-23 23:55
2026-04-24 00:00（初盘②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Marathon Bet,欧指,3.1,3.24,2.45,1.031,1.013,1.017,,,,,,2026-04-23 23:55
2026-04-24 00:00（初盘②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,William Hill,欧指,2.9,3.1,2.38,0.964,0.969,0.988,,,,,,2026-04-23 23:54
2026-04-24 00:00（初盘②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,欧指,3.13,3.23,2.47,1.041,1.009,1.026,,,,,,2026-04-23 23:55
2026-04-24 00:00（初盘②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,亚盘,,,,,,,0.25,1.81,2.12,1.031,0.889,2026-04-23 23:55
2026-04-25 12:00（中盘③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Betfair,欧指,3.55,3.35,2.36,1.091,1.045,1.037,,,,,,2026-04-25 11:55
2026-04-25 12:00（中盘③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Marathon Bet,欧指,3.4,3.25,2.33,1.045,1.014,1.024,,,,,,2026-04-25 11:53
2026-04-25 12:00（中盘③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,William Hill,欧指,3.1,3.0,2.25,0.952,0.936,0.988,,,,,,2026-04-25 11:54
2026-04-25 12:00（中盘③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,欧指,3.4,3.24,2.32,1.045,1.01,1.019,,,,,,2026-04-25 11:55
2026-04-25 12:00（中盘③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,亚盘,,,,,,,0.25,1.92,1.99,1.036,0.894,2026-04-25 11:55
2026-04-25 18:00（临场①）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Betfair,欧指,3.6,3.35,2.34,1.085,1.047,1.041,,,,,,2026-04-25 17:55
2026-04-25 18:00（临场①）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Marathon Bet,欧指,3.46,3.26,2.29,1.043,1.019,1.019,,,,,,2026-04-25 17:55
2026-04-25 18:00（临场①）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,William Hill,欧指,3.1,3.0,2.25,0.934,0.938,1.001,,,,,,2026-04-25 17:55
2026-04-25 18:00（临场①）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,欧指,3.49,3.29,2.28,1.052,1.029,1.014,,,,,,2026-04-25 17:55
2026-04-25 18:00（临场①）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,亚盘,,,,,,,0.25,1.97,1.95,1.044,0.89,2026-04-25 17:55
2026-04-25 21:00（临场②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Betfair,欧指,3.6,3.35,2.32,1.081,1.047,1.035,,,,,,2026-04-25 20:55
2026-04-25 21:00（临场②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Marathon Bet,欧指,3.44,3.28,2.29,1.033,1.025,1.021,,,,,,2026-04-25 20:54
2026-04-25 21:00（临场②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,William Hill,欧指,3.1,3.0,2.25,0.931,0.938,1.003,,,,,,2026-04-25 20:54
2026-04-25 21:00（临场②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,欧指,3.48,3.31,2.28,1.045,1.035,1.017,,,,,,2026-04-25 20:55
2026-04-25 21:00（临场②）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,亚盘,,,,,,,0.25,1.97,1.95,1.063,0.872,2026-04-25 20:55
2026-04-25 22:30（临场③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Betfair,欧指,3.6,3.35,2.32,1.078,1.045,1.032,,,,,,2026-04-25 22:25
2026-04-25 22:30（临场③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Marathon Bet,欧指,3.46,3.28,2.28,1.036,1.023,1.015,,,,,,2026-04-25 22:24
2026-04-25 22:30（临场③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,William Hill,欧指,3.1,3.0,2.25,0.928,0.936,1.001,,,,,,2026-04-25 22:25
2026-04-25 22:30（临场③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,欧指,3.51,3.31,2.27,1.051,1.033,1.01,,,,,,2026-04-25 22:25
2026-04-25 22:30（临场③）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Pinnacle,亚盘,,,,,,,0.25,1.98,1.94,1.068,0.868,2026-04-25 22:25
2026-04-25 23:39（即时）,意甲 Serie A,2026-04-26 00:00,Bologna,AS Roma,Betfair,欧指,3.7,3.4,2.26,1.068,1.053,1.034,,,,,,2026-04-25 23:38
