快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-24 22:00（初盘②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,欧指,2.12,3.69,3.43,1.015,1.049,1.025,,,,,,2026-04-24 21:55
2026-04-24 22:00（初盘②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.06,0.868,1.046,2026-04-24 21:55
2026-04-24 22:00（初盘②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Betfair,欧指,2.2,3.65,3.5,1.053,1.037,1.046,,,,,,2026-04-24 21:55
2026-04-24 22:00（初盘②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Sky Bet,欧指,2.1,3.4,3.2,1.005,0.966,0.956,,,,,,2026-04-24 21:55
2026-04-24 22:00（初盘②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,William Hill,欧指,2.1,3.4,3.3,1.005,0.966,0.986,,,,,,2026-04-24 21:55
2026-04-24 22:00（初盘②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Marathon Bet,欧指,2.13,3.68,3.44,1.019,1.046,1.028,,,,,,2026-04-24 21:55
2026-04-26 10:00（中盘③）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,欧指,2.05,3.72,3.6,1.015,1.044,1.023,,,,,,2026-04-26 09:55
2026-04-26 10:00（中盘③）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,亚盘,,,,,,,-0.5,2.07,1.86,0.965,0.962,2026-04-26 09:55
2026-04-26 10:00（中盘③）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Betfair,欧指,2.1,3.7,3.8,1.039,1.038,1.08,,,,,,2026-04-26 09:55
2026-04-26 10:00（中盘③）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Sky Bet,欧指,2.0,3.6,3.4,0.99,1.01,0.967,,,,,,2026-04-26 09:55
2026-04-26 10:00（中盘③）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,William Hill,欧指,2.0,3.5,3.4,0.99,0.982,0.967,,,,,,2026-04-26 09:54
2026-04-26 10:00（中盘③）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Marathon Bet,欧指,2.06,3.68,3.64,1.02,1.033,1.035,,,,,,2026-04-26 09:55
2026-04-26 16:00（临场①）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,欧指,2.01,3.62,3.85,1.015,1.021,1.05,,,,,,2026-04-26 15:55
2026-04-26 16:00（临场①）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,亚盘,,,,,,,-0.5,2.02,1.89,0.967,0.953,2026-04-26 15:55
2026-04-26 16:00（临场①）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Betfair,欧指,2.04,3.75,4.0,1.031,1.058,1.091,,,,,,2026-04-26 15:55
2026-04-26 16:00（临场①）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Sky Bet,欧指,1.91,3.7,3.6,0.965,1.044,0.982,,,,,,2026-04-26 15:55
2026-04-26 16:00（临场①）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,William Hill,欧指,1.95,3.4,3.6,0.985,0.959,0.982,,,,,,2026-04-26 15:53
2026-04-26 16:00（临场①）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Marathon Bet,欧指,2.01,3.68,3.8,1.015,1.038,1.037,,,,,,2026-04-26 15:55
2026-04-26 19:00（临场②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,欧指,2.05,3.58,3.75,1.025,1.01,1.042,,,,,,2026-04-26 18:55
2026-04-26 19:00（临场②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Pinnacle,亚盘,,,,,,,-0.5,2.06,1.85,0.964,0.953,2026-04-26 18:55
2026-04-26 19:00（临场②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Betfair,欧指,2.1,3.75,3.8,1.05,1.058,1.056,,,,,,2026-04-26 18:55
2026-04-26 19:00（临场②）,足总杯 FA Cup,2026-04-26 22:00,Chelsea,Leeds United,Sky Bet,欧指,2.0,3.7,3.4,1.0,1.044,0.945,,,,,,2026-04-26 18:54
