快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,欧指,2.46,3.3,2.76,1.042,1.02,1.035,,,,,,2026-04-26 00:55
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,亚盘,,,,,,,0.0,1.77,1.98,0.767,1.09,2026-04-26 00:55
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Betfair,欧指,1.75,3.1,1.92,0.741,0.959,0.72,,,,,,2026-04-26 00:54
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,William Hill,欧指,2.4,3.2,2.75,1.016,0.989,1.031,,,,,,2026-04-26 00:54
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,欧指,2.46,3.41,2.78,1.042,1.054,1.042,,,,,,2026-04-26 00:54
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,亚盘,,,,,,,0.0,1.8,2.03,0.78,1.117,2026-04-26 00:54
2026-04-27 19:00（临场①）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,欧指,2.31,3.28,3.03,0.992,0.999,1.047,,,,,,2026-04-27 18:55
2026-04-27 19:00（临场①）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,亚盘,,,,,,,0.0,1.65,2.16,0.722,1.194,2026-04-27 18:55
2026-04-27 19:00（临场①）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Betfair,欧指,2.42,3.45,3.2,1.04,1.051,1.106,,,,,,2026-04-27 18:55
2026-04-27 19:00（临场①）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,William Hill,欧指,2.3,3.1,2.9,0.988,0.944,1.002,,,,,,2026-04-27 18:54
2026-04-27 19:00（临场①）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,欧指,2.33,3.41,3.12,1.001,1.039,1.079,,,,,,2026-04-27 18:55
2026-04-27 19:00（临场①）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,亚盘,,,,,,,-0.25,2.01,1.86,0.879,1.029,2026-04-27 18:55
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,欧指,2.3,3.26,3.07,0.996,0.999,1.044,,,,,,2026-04-27 21:54
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,亚盘,,,,,,,0.0,1.64,2.18,0.715,1.221,2026-04-27 21:54
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Betfair,欧指,2.4,3.4,3.25,1.04,1.042,1.105,,,,,,2026-04-27 21:55
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,William Hill,欧指,2.3,3.1,2.9,0.996,0.95,0.986,,,,,,2026-04-27 21:54
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,欧指,2.33,3.34,3.18,1.009,1.024,1.081,,,,,,2026-04-27 21:55
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,亚盘,,,,,,,-0.25,2.01,1.87,0.877,1.047,2026-04-27 21:55
2026-04-27 23:30（临场③）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,欧指,2.3,3.28,3.06,0.998,1.006,1.038,,,,,,2026-04-27 23:24
2026-04-27 23:30（临场③）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,亚盘,,,,,,,0.0,1.64,2.18,0.728,1.218,2026-04-27 23:24
2026-04-27 23:30（临场③）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Betfair,欧指,2.4,3.4,3.25,1.042,1.043,1.102,,,,,,2026-04-27 23:25
2026-04-27 23:30（临场③）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,William Hill,欧指,2.3,3.1,2.9,0.998,0.951,0.983,,,,,,2026-04-27 23:24
2026-04-27 23:30（临场③）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,欧指,2.32,3.37,3.17,1.007,1.034,1.075,,,,,,2026-04-27 23:25
2026-04-27 23:30（临场③）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,亚盘,,,,,,,-0.25,2.0,1.87,0.888,1.045,2026-04-27 23:25
2026-04-28 00:38（即时）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,欧指,2.15,3.34,3.31,1.006,1.013,1.026,,,,,,2026-04-28 00:37
2026-04-28 00:38（即时）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,1xBet,亚盘,,,,,,,0.0,1.55,2.36,0.726,1.254,2026-04-28 00:37
2026-04-28 00:38（即时）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Betfair,欧指,2.24,3.55,3.55,1.049,1.077,1.1,,,,,,2026-04-28 00:37
2026-04-28 00:38（即时）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,William Hill,欧指,2.1,3.2,3.3,0.983,0.971,1.023,,,,,,2026-04-28 00:38
2026-04-28 00:38（即时）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,欧指,2.18,3.39,3.46,1.021,1.028,1.072,,,,,,2026-04-28 00:37
2026-04-28 00:38（即时）,瑞典超 Allsvenskan,2026-04-28 01:00,AIK,Malmo FF,Pinnacle,亚盘,,,,,,,-0.25,1.88,1.99,0.88,1.058,2026-04-28 00:37
