快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Betfair,欧指,2.74,3.65,2.4,1.027,1.053,1.022,,,,,,2026-04-26 00:54
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,1xBet,欧指,2.76,3.45,2.38,1.035,0.995,1.013,,,,,,2026-04-26 00:55
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,1xBet,亚盘,,,,,,,0.0,2.01,1.75,1.126,0.78,2026-04-26 00:55
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,William Hill,欧指,2.75,3.25,2.4,1.031,0.938,1.022,,,,,,2026-04-26 00:54
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Pinnacle,欧指,2.81,3.48,2.4,1.054,1.004,1.022,,,,,,2026-04-26 00:54
2026-04-26 01:00（初盘②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Pinnacle,亚盘,,,,,,,0.0,2.07,1.77,1.16,0.788,2026-04-26 00:54
2026-04-27 13:00（中盘③）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Betfair,欧指,3.05,3.7,2.38,1.081,1.068,1.05,,,,,,2026-04-27 12:55
2026-04-27 13:00（中盘③）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,1xBet,欧指,2.91,3.48,2.29,1.032,1.005,1.011,,,,,,2026-04-27 12:55
2026-04-27 13:00（中盘③）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,1xBet,亚盘,,,,,,,0.0,2.11,1.68,1.14,0.775,2026-04-27 12:55
2026-04-27 13:00（中盘③）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,William Hill,欧指,2.9,3.3,2.25,1.028,0.953,0.993,,,,,,2026-04-27 12:55
2026-04-27 13:00（中盘③）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Pinnacle,欧指,2.95,3.62,2.31,1.046,1.045,1.02,,,,,,2026-04-27 12:55
2026-04-27 13:00（中盘③）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Pinnacle,亚盘,,,,,,,0.25,1.84,2.02,0.994,0.932,2026-04-27 12:55
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,Betfair,欧指,3.15,3.8,2.34,1.076,1.073,1.072,,,,,,2026-04-27 21:55
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,1xBet,欧指,2.99,3.58,2.21,1.021,1.011,1.012,,,,,,2026-04-27 21:54
2026-04-27 22:00（临场②）,瑞典超 Allsvenskan,2026-04-28 01:00,BK Hacken,IK Sirius,1xBet,亚盘,,,,,,,0.0,2.2,1.63,1.205,0.76,2026-04-27 21:54
