快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,1xBet,欧指,2.36,4.01,2.92,1.033,1.032,1.053,,,,,,2026-04-27 02:55
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,1xBet,亚盘,,,,,,,0.0,1.78,2.2,0.855,1.108,2026-04-27 02:55
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,Ladbrokes,欧指,2.3,3.9,2.7,1.007,1.004,0.974,,,,,,2026-04-27 02:54
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,Betfair,欧指,2.42,4.1,2.86,1.059,1.055,1.032,,,,,,2026-04-27 02:55
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,Pinnacle,欧指,2.34,3.93,2.84,1.024,1.011,1.025,,,,,,2026-04-27 02:55
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,Pinnacle,亚盘,,,,,,,-0.25,2.07,1.85,0.995,0.932,2026-04-27 02:55
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,William Hill,欧指,2.25,3.75,2.8,0.985,0.965,1.01,,,,,,2026-04-27 02:54
2026-04-27 03:00（初盘②）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,Marathon Bet,欧指,2.32,3.95,2.88,1.016,1.017,1.039,,,,,,2026-04-27 02:54
2026-04-28 15:00（中盘③）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,1xBet,欧指,2.55,3.91,2.72,1.052,1.01,1.036,,,,,,2026-04-28 14:55
2026-04-28 15:00（中盘③）,欧冠 Champions League,2026-04-29 03:00,Paris Saint Germain,Bayern Munich,1xBet,亚盘,,,,,,,0.0,1.92,2.03,0.884,1.068,2026-04-28 14:55
