快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-28 02:00（初盘②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,欧指,1.85,3.9,3.67,1.013,1.042,1.065,,,,,,2026-04-28 01:55
2026-04-28 02:00（初盘②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,亚盘,,,,,,,0.0,1.41,2.76,0.87,1.165,2026-04-28 01:55
2026-04-28 02:00（初盘②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,欧指,1.82,4.04,3.66,0.996,1.079,1.062,,,,,,2026-04-28 01:55
2026-04-28 02:00（初盘②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,亚盘,,,,,,,-0.5,1.83,1.98,1.13,0.835,2026-04-28 01:55
2026-04-28 02:00（初盘②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,William Hill,欧指,1.8,3.5,3.4,0.986,0.935,0.986,,,,,,2026-04-28 01:55
2026-04-28 02:00（初盘②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Betfair,欧指,1.87,4.0,3.75,1.024,1.068,1.088,,,,,,2026-04-28 01:55
2026-04-29 14:00（中盘③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,欧指,1.73,4.15,3.98,1.006,1.046,1.027,,,,,,2026-04-29 13:55
2026-04-29 14:00（中盘③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,亚盘,,,,,,,-1.5,2.83,1.4,1.189,0.848,2026-04-29 13:55
2026-04-29 14:00（中盘③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,欧指,1.72,4.24,4.09,1.0,1.069,1.055,,,,,,2026-04-29 13:55
2026-04-29 14:00（中盘③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.9,0.811,1.152,2026-04-29 13:55
2026-04-29 14:00（中盘③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,William Hill,欧指,1.7,3.7,3.75,0.988,0.933,0.967,,,,,,2026-04-29 13:54
2026-04-29 14:00（中盘③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Betfair,欧指,1.79,4.4,4.3,1.041,1.11,1.109,,,,,,2026-04-29 13:55
2026-04-29 20:00（临场①）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,欧指,1.65,4.31,4.31,1.0,1.049,1.045,,,,,,2026-04-29 19:55
2026-04-29 20:00（临场①）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,亚盘,,,,,,,-1.5,2.61,1.46,1.176,0.837,2026-04-29 19:55
2026-04-29 20:00（临场①）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,欧指,1.65,4.37,4.53,1.0,1.063,1.098,,,,,,2026-04-29 19:55
2026-04-29 20:00（临场①）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.03,0.824,1.163,2026-04-29 19:55
2026-04-29 20:00（临场①）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,William Hill,欧指,1.62,3.8,4.0,0.981,0.925,0.97,,,,,,2026-04-29 19:54
2026-04-29 20:00（临场①）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Betfair,欧指,1.74,4.5,4.5,1.054,1.095,1.091,,,,,,2026-04-29 19:55
2026-04-29 23:00（临场②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,欧指,1.69,4.07,4.3,1.021,0.999,1.041,,,,,,2026-04-29 22:55
2026-04-29 23:00（临场②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,亚盘,,,,,,,-1.5,2.69,1.43,1.175,0.844,2026-04-29 22:55
2026-04-29 23:00（临场②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,欧指,1.69,4.16,4.47,1.021,1.021,1.082,,,,,,2026-04-29 22:55
2026-04-29 23:00（临场②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,亚盘,,,,,,,-0.75,1.89,1.96,0.825,1.156,2026-04-29 22:55
2026-04-29 23:00（临场②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,William Hill,欧指,1.65,3.7,4.0,0.997,0.908,0.969,,,,,,2026-04-29 22:54
2026-04-29 23:00（临场②）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Betfair,欧指,1.74,4.5,4.6,1.051,1.104,1.114,,,,,,2026-04-29 22:55
2026-04-30 00:30（临场③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,欧指,1.62,4.3,4.56,0.999,1.026,1.068,,,,,,2026-04-30 00:25
2026-04-30 00:30（临场③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,亚盘,,,,,,,-1.5,2.51,1.49,1.106,0.898,2026-04-30 00:25
2026-04-30 00:30（临场③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,欧指,1.6,4.49,4.82,0.987,1.071,1.129,,,,,,2026-04-30 00:25
2026-04-30 00:30（临场③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,亚盘,,,,,,,-1.0,2.03,1.83,0.894,1.102,2026-04-30 00:25
2026-04-30 00:30（临场③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,William Hill,欧指,1.6,3.9,4.2,0.987,0.93,0.983,,,,,,2026-04-30 00:24
2026-04-30 00:30（临场③）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Betfair,欧指,1.68,4.7,4.8,1.036,1.121,1.124,,,,,,2026-04-30 00:25
2026-04-30 00:31（即时）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,欧指,1.62,4.3,4.56,0.999,1.026,1.068,,,,,,2026-04-30 00:31
2026-04-30 00:31（即时）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,1xBet,亚盘,,,,,,,-1.5,2.51,1.49,1.106,0.898,2026-04-30 00:31
2026-04-30 00:31（即时）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,欧指,1.6,4.49,4.82,0.987,1.071,1.129,,,,,,2026-04-30 00:31
2026-04-30 00:31（即时）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Pinnacle,亚盘,,,,,,,-1.0,2.03,1.83,0.894,1.102,2026-04-30 00:31
2026-04-30 00:31（即时）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,William Hill,欧指,1.6,3.9,4.2,0.987,0.93,0.983,,,,,,2026-04-30 00:31
2026-04-30 00:31（即时）,沙特联 Saudi Pro League,2026-04-30 02:00,Al-Nassr,Al-Ahli,Betfair,欧指,1.68,4.7,4.8,1.036,1.121,1.124,,,,,,2026-04-30 00:31
