快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-28 00:10（初盘②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,欧指,3.1,3.81,2.08,0.997,1.082,1.03,,,,,,2026-04-28 00:05
2026-04-28 00:10（初盘②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,亚盘,,,,,,,0.25,1.97,1.83,0.916,1.08,2026-04-28 00:05
2026-04-28 00:10（初盘②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,欧指,3.13,3.75,2.06,1.006,1.064,1.02,,,,,,2026-04-28 00:05
2026-04-28 00:10（初盘②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,亚盘,,,,,,,0.0,2.33,1.56,1.084,0.92,2026-04-28 00:05
2026-04-28 00:10（初盘②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,William Hill,欧指,2.9,3.3,2.05,0.932,0.937,1.015,,,,,,2026-04-28 00:05
2026-04-28 00:10（初盘②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Betfair,欧指,3.1,3.8,2.24,0.997,1.079,1.109,,,,,,2026-04-28 00:05
2026-04-29 12:10（中盘③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,欧指,3.12,3.9,2.08,0.994,1.097,1.027,,,,,,2026-04-29 12:05
2026-04-29 12:10（中盘③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,亚盘,,,,,,,0.25,2.0,1.84,0.924,1.082,2026-04-29 12:05
2026-04-29 12:10（中盘③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,欧指,3.1,3.75,2.08,0.988,1.055,1.027,,,,,,2026-04-29 12:05
2026-04-29 12:10（中盘③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,亚盘,,,,,,,0.0,2.33,1.56,1.076,0.918,2026-04-29 12:05
2026-04-29 12:10（中盘③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,William Hill,欧指,2.9,3.3,2.05,0.924,0.928,1.013,,,,,,2026-04-29 12:05
2026-04-29 12:10（中盘③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Betfair,欧指,3.2,3.8,2.2,1.02,1.069,1.087,,,,,,2026-04-29 12:04
2026-04-29 21:10（临场②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,欧指,3.05,3.6,2.25,1.05,1.062,1.014,,,,,,2026-04-29 21:05
2026-04-29 21:10（临场②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,亚盘,,,,,,,0.25,1.88,1.97,0.933,1.088,2026-04-29 21:05
2026-04-29 21:10（临场②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,欧指,2.95,3.46,2.26,1.015,1.021,1.019,,,,,,2026-04-29 21:05
2026-04-29 21:10（临场②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,亚盘,,,,,,,0.0,2.15,1.65,1.067,0.912,2026-04-29 21:05
2026-04-29 21:10（临场②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,William Hill,欧指,2.8,3.2,2.2,0.964,0.944,0.992,,,,,,2026-04-29 21:04
2026-04-29 21:10（临场②）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Betfair,欧指,3.1,3.65,2.38,1.067,1.077,1.073,,,,,,2026-04-29 21:03
2026-04-29 22:40（临场③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,欧指,3.03,3.69,2.23,1.034,1.069,1.023,,,,,,2026-04-29 22:35
2026-04-29 22:40（临场③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Pinnacle,亚盘,,,,,,,0.25,1.9,1.95,0.929,1.089,2026-04-29 22:35
2026-04-29 22:40（临场③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,欧指,2.99,3.53,2.21,1.021,1.023,1.014,,,,,,2026-04-29 22:35
2026-04-29 22:40（临场③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,1xBet,亚盘,,,,,,,0.0,2.19,1.63,1.071,0.911,2026-04-29 22:35
2026-04-29 22:40（临场③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,William Hill,欧指,2.88,3.2,2.15,0.983,0.927,0.987,,,,,,2026-04-29 22:33
2026-04-29 22:40（临场③）,沙特联 Saudi Pro League,2026-04-30 00:10,Al-Taawoun,Al-Ittihad,Betfair,欧指,3.15,3.8,2.28,1.075,1.101,1.046,,,,,,2026-04-29 22:35
