快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-28 03:00（初盘②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Marathon Bet,欧指,2.91,3.28,2.61,1.028,1.035,1.008,,,,,,2026-04-28 02:55
2026-04-28 03:00（初盘②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,欧指,2.91,3.28,2.6,1.028,1.035,1.004,,,,,,2026-04-28 02:55
2026-04-28 03:00（初盘②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,亚盘,,,,,,,0.0,2.07,1.85,1.18,0.721,2026-04-28 02:55
2026-04-28 03:00（初盘②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Betfair,欧指,2.96,3.3,2.72,1.045,1.041,1.05,,,,,,2026-04-28 02:55
2026-04-28 03:00（初盘②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,William Hill,欧指,2.8,3.1,2.5,0.989,0.978,0.966,,,,,,2026-04-28 02:55
2026-04-29 15:00（中盘③）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Marathon Bet,欧指,3.26,3.3,2.42,1.042,1.019,1.025,,,,,,2026-04-29 14:55
2026-04-29 15:00（中盘③）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,欧指,3.23,3.34,2.36,1.033,1.031,1.0,,,,,,2026-04-29 14:55
2026-04-29 15:00（中盘③）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,亚盘,,,,,,,0.25,1.88,2.03,1.047,0.856,2026-04-29 14:55
2026-04-29 15:00（中盘③）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Betfair,欧指,3.3,3.4,2.44,1.055,1.05,1.034,,,,,,2026-04-29 14:55
2026-04-29 15:00（中盘③）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,William Hill,欧指,3.1,3.1,2.3,0.991,0.957,0.974,,,,,,2026-04-29 14:55
2026-04-29 21:00（临场①）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Marathon Bet,欧指,3.32,3.32,2.38,1.039,1.021,1.024,,,,,,2026-04-29 20:55
2026-04-29 21:00（临场①）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,欧指,3.29,3.35,2.35,1.03,1.03,1.011,,,,,,2026-04-29 20:55
2026-04-29 21:00（临场①）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,亚盘,,,,,,,0.25,1.91,2.02,1.044,0.861,2026-04-29 20:55
2026-04-29 21:00（临场①）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Betfair,欧指,3.4,3.4,2.38,1.064,1.045,1.024,,,,,,2026-04-29 20:55
2026-04-29 21:00（临场①）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,William Hill,欧指,3.1,3.1,2.3,0.97,0.953,0.99,,,,,,2026-04-29 20:55
2026-04-30 00:00（临场②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Marathon Bet,欧指,3.28,3.34,2.39,1.023,1.02,1.038,,,,,,2026-04-29 23:53
2026-04-30 00:00（临场②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,欧指,3.28,3.45,2.31,1.023,1.053,1.003,,,,,,2026-04-29 23:54
2026-04-30 00:00（临场②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,亚盘,,,,,,,0.25,1.93,2.0,1.02,0.868,2026-04-29 23:54
2026-04-30 00:00（临场②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Betfair,欧指,3.4,3.45,2.36,1.06,1.053,1.025,,,,,,2026-04-29 23:55
2026-04-30 00:00（临场②）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,William Hill,欧指,3.1,3.2,2.3,0.967,0.977,0.998,,,,,,2026-04-29 23:54
2026-04-30 00:34（即时）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Marathon Bet,欧指,3.28,3.34,2.39,1.024,1.02,1.038,,,,,,2026-04-30 00:33
2026-04-30 00:34（即时）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,欧指,3.27,3.44,2.32,1.021,1.05,1.007,,,,,,2026-04-30 00:33
2026-04-30 00:34（即时）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Pinnacle,亚盘,,,,,,,0.25,1.93,2.0,1.017,0.868,2026-04-30 00:33
2026-04-30 00:34（即时）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,Betfair,欧指,3.35,3.45,2.38,1.046,1.053,1.034,,,,,,2026-04-30 00:33
2026-04-30 00:34（即时）,欧冠 Champions League,2026-04-30 03:00,Atlético Madrid,Arsenal,William Hill,欧指,3.1,3.2,2.3,0.968,0.977,0.999,,,,,,2026-04-30 00:33
