快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Marathon Bet,欧指,2.55,3.32,2.95,1.034,1.016,1.022,,,,,,2026-04-29 02:52
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,欧指,2.54,3.31,2.96,1.03,1.013,1.025,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,亚盘,,,,,,,0.0,1.81,2.12,0.756,1.14,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Betfair,欧指,2.62,3.35,3.05,1.062,1.026,1.057,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,William Hill,欧指,2.45,3.2,2.8,0.993,0.98,0.97,,,,,,2026-04-29 02:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Marathon Bet,欧指,2.8,3.35,2.72,1.041,1.028,1.017,,,,,,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,欧指,2.75,3.25,2.77,1.022,0.997,1.035,,,,,,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,亚盘,,,,,,,0.0,1.94,1.96,1.025,0.811,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Betfair,欧指,2.84,3.4,2.8,1.056,1.043,1.046,,,,,,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,William Hill,欧指,2.62,3.1,2.62,0.974,0.951,0.979,,,,,,2026-04-30 14:54
2026-04-30 21:00（临场①）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Marathon Bet,欧指,2.94,3.32,2.62,1.042,1.017,1.019,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,欧指,2.93,3.26,2.6,1.039,0.998,1.011,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,亚盘,,,,,,,0.0,2.08,1.84,1.056,0.782,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Betfair,欧指,2.94,3.45,2.7,1.042,1.057,1.05,,,,,,2026-04-30 20:54
2026-04-30 21:00（临场①）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,William Hill,欧指,2.75,3.1,2.5,0.975,0.949,0.972,,,,,,2026-04-30 20:55
2026-05-01 00:00（临场②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Marathon Bet,欧指,2.89,3.3,2.67,1.03,1.013,1.034,,,,,,2026-04-30 23:54
2026-05-01 00:00（临场②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,欧指,2.88,3.26,2.64,1.027,1.001,1.022,,,,,,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,亚盘,,,,,,,0.0,2.04,1.87,1.037,0.796,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Betfair,欧指,2.94,3.45,2.68,1.048,1.06,1.038,,,,,,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,William Hill,欧指,2.75,3.1,2.5,0.98,0.952,0.968,,,,,,2026-04-30 23:54
2026-05-01 01:30（临场③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Marathon Bet,欧指,2.88,3.3,2.69,1.033,1.015,1.035,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,欧指,2.84,3.27,2.67,1.018,1.005,1.027,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,亚盘,,,,,,,0.0,2.02,1.89,1.032,0.789,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Betfair,欧指,2.96,3.4,2.66,1.061,1.045,1.024,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,William Hill,欧指,2.75,3.1,2.5,0.986,0.953,0.962,,,,,,2026-05-01 01:24
2026-05-01 02:01（即时）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Marathon Bet,欧指,2.85,3.32,2.7,1.019,1.018,1.042,,,,,,2026-05-01 01:59
2026-05-01 02:01（即时）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,欧指,2.87,3.25,2.66,1.026,0.996,1.027,,,,,,2026-05-01 02:00
2026-05-01 02:01（即时）,欧联 Europa League,2026-05-01 03:00,Nottingham Forest,Aston Villa,Pinnacle,亚盘,,,,,,,0.0,2.03,1.88,1.037,0.786,2026-05-01 02:00
