快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Marathon Bet,欧指,2.26,3.36,3.36,1.022,1.012,1.026,,,,,,2026-04-29 02:54
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Betfair,欧指,2.3,3.45,3.55,1.04,1.039,1.084,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,William Hill,欧指,2.2,3.1,3.2,0.995,0.934,0.977,,,,,,2026-04-29 02:54
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,欧指,2.27,3.39,3.36,1.027,1.021,1.026,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,亚盘,,,,,,,-0.25,1.95,1.95,0.831,1.063,2026-04-29 02:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Marathon Bet,欧指,2.16,3.44,3.6,1.02,1.021,1.028,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Betfair,欧指,2.16,3.55,3.8,1.02,1.054,1.085,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,William Hill,欧指,2.1,3.2,3.4,0.991,0.95,0.971,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,欧指,2.14,3.42,3.65,1.01,1.015,1.042,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.07,0.842,1.064,2026-04-30 20:55
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Marathon Bet,欧指,2.12,3.45,3.7,1.015,1.023,1.035,,,,,,2026-04-30 23:54
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Betfair,欧指,2.16,3.55,3.8,1.035,1.052,1.063,,,,,,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,William Hill,欧指,2.05,3.2,3.5,0.982,0.948,0.979,,,,,,2026-04-30 23:54
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,欧指,2.12,3.42,3.7,1.015,1.014,1.035,,,,,,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.09,0.837,1.062,2026-04-30 23:55
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Marathon Bet,欧指,2.11,3.45,3.74,1.012,1.023,1.045,,,,,,2026-05-01 01:24
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Betfair,欧指,2.16,3.55,3.8,1.036,1.052,1.062,,,,,,2026-05-01 01:24
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,William Hill,欧指,2.05,3.2,3.5,0.983,0.948,0.978,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,欧指,2.12,3.42,3.71,1.016,1.014,1.036,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.09,0.844,1.056,2026-05-01 01:25
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Marathon Bet,欧指,2.12,3.4,3.75,1.015,1.007,1.048,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Betfair,欧指,2.16,3.5,3.85,1.034,1.036,1.076,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,William Hill,欧指,2.05,3.2,3.5,0.981,0.948,0.978,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,欧指,2.12,3.34,3.81,1.015,0.989,1.065,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Rayo Vallecano,Strasbourg,Pinnacle,亚盘,,,,,,,-0.25,1.82,2.1,0.843,1.058,2026-05-01 02:02
