快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Marathon Bet,欧指,2.52,3.08,3.22,1.043,0.993,1.03,,,,,,2026-04-29 02:52
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,William Hill,欧指,2.4,3.0,3.0,0.994,0.967,0.96,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Pinnacle,欧指,2.53,3.03,3.25,1.047,0.977,1.04,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.25,2.14,1.8,0.944,0.837,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Betfair,欧指,2.56,3.25,3.3,1.06,1.047,1.056,,,,,,2026-04-29 02:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Marathon Bet,欧指,2.32,3.16,3.52,1.016,1.009,1.043,,,,,,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,William Hill,欧指,2.25,3.0,3.3,0.985,0.958,0.978,,,,,,2026-04-30 14:54
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Pinnacle,欧指,2.29,3.2,3.52,1.003,1.022,1.043,,,,,,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Pinnacle,亚盘,,,,,,,-0.25,1.95,1.95,0.94,0.838,2026-04-30 14:55
2026-04-30 15:00（中盘③）,欧联 Europa League,2026-05-01 03:00,SC Braga,SC Freiburg,Betfair,欧指,2.34,3.25,3.7,1.024,1.038,1.097,,,,,,2026-04-30 14:55
