快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Marathon Bet,欧指,3.84,3.42,2.06,1.003,1.024,1.035,,,,,,2026-04-29 02:54
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Betfair,欧指,4.0,3.55,2.06,1.044,1.063,1.035,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,William Hill,欧指,3.75,3.2,2.0,0.979,0.958,1.005,,,,,,2026-04-29 02:54
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,欧指,3.75,3.39,2.04,0.979,1.015,1.025,,,,,,2026-04-29 02:55
2026-04-29 03:00（初盘②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,亚盘,,,,,,,0.5,1.81,2.05,0.921,0.96,2026-04-29 02:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Marathon Bet,欧指,3.95,3.35,2.08,1.04,1.023,1.017,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Betfair,欧指,4.0,3.4,2.14,1.053,1.038,1.047,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,William Hill,欧指,3.7,3.1,2.05,0.974,0.946,1.003,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,欧指,3.98,3.3,2.08,1.048,1.007,1.017,,,,,,2026-04-30 20:55
2026-04-30 21:00（临场①）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,亚盘,,,,,,,0.5,1.83,2.09,0.932,0.957,2026-04-30 20:55
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Marathon Bet,欧指,4.05,3.36,2.05,1.045,1.028,1.009,,,,,,2026-04-30 23:54
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Betfair,欧指,4.2,3.4,2.1,1.084,1.04,1.034,,,,,,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,William Hill,欧指,3.8,3.1,2.0,0.98,0.948,0.985,,,,,,2026-04-30 23:54
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,欧指,4.01,3.31,2.07,1.035,1.013,1.019,,,,,,2026-04-30 23:55
2026-05-01 00:00（临场②）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,亚盘,,,,,,,0.5,1.84,2.08,0.932,0.956,2026-04-30 23:55
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Marathon Bet,欧指,4.2,3.4,2.01,1.049,1.031,1.011,,,,,,2026-05-01 01:24
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Betfair,欧指,4.4,3.45,2.04,1.098,1.046,1.026,,,,,,2026-05-01 01:24
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,William Hill,欧指,3.9,3.1,2.0,0.974,0.94,1.006,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,欧指,4.22,3.37,2.0,1.054,1.022,1.006,,,,,,2026-05-01 01:25
2026-05-01 01:30（临场③）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,亚盘,,,,,,,0.5,1.9,2.01,0.933,0.946,2026-05-01 01:25
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Marathon Bet,欧指,4.2,3.4,2.01,1.04,1.032,1.016,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Betfair,欧指,4.4,3.45,2.02,1.09,1.047,1.021,,,,,,2026-05-01 02:01
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,William Hill,欧指,3.9,3.2,1.95,0.966,0.972,0.986,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,欧指,4.24,3.36,2.0,1.05,1.02,1.011,,,,,,2026-05-01 02:02
2026-05-01 02:02（即时）,欧协联 Conference League,2026-05-01 03:00,Shakhtar Donetsk,Crystal Palace,Pinnacle,亚盘,,,,,,,0.5,1.9,2.0,0.931,0.943,2026-05-01 02:02
