快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 22:00（初盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.95,3.6,3.5,0.991,0.96,0.987,,,,,,2026-04-29 21:54
2026-04-29 22:00（初盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,2.0,3.7,3.4,1.016,0.987,0.959,,,,,,2026-04-29 21:53
2026-04-29 22:00（初盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,2.06,3.9,3.75,1.046,1.04,1.058,,,,,,2026-04-29 21:55
2026-04-29 22:00（初盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,2.0,3.88,3.62,1.016,1.035,1.021,,,,,,2026-04-29 21:55
2026-04-29 22:00（初盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,2.01,1.9,0.98,0.984,2026-04-29 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.91,3.6,3.6,0.993,0.951,0.98,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.95,3.75,3.5,1.014,0.991,0.953,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,2.0,4.0,3.9,1.04,1.057,1.062,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.95,3.96,3.7,1.014,1.046,1.007,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.96,1.94,0.982,0.976,2026-04-30 21:55
2026-05-01 10:00（中盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.91,3.6,3.6,0.993,0.949,0.978,,,,,,2026-05-01 09:55
2026-05-01 10:00（中盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.95,3.75,3.6,1.014,0.988,0.978,,,,,,2026-05-01 09:54
2026-05-01 10:00（中盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,2.0,4.0,3.9,1.04,1.054,1.06,,,,,,2026-05-01 09:55
2026-05-01 10:00（中盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.95,3.95,3.7,1.014,1.041,1.005,,,,,,2026-05-01 09:55
2026-05-01 10:00（中盘①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.96,1.94,0.987,0.973,2026-05-01 09:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.85,3.7,3.7,0.97,0.968,0.998,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.95,3.75,3.6,1.023,0.981,0.971,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,2.0,4.0,3.85,1.049,1.046,1.038,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.92,4.02,3.77,1.007,1.051,1.017,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.98,0.978,0.984,2026-05-01 21:55
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.85,3.7,3.7,0.988,0.957,0.973,,,,,,2026-05-02 09:54
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.85,3.8,3.7,0.988,0.983,0.973,,,,,,2026-05-02 09:54
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,1.92,4.1,4.1,1.025,1.06,1.078,,,,,,2026-05-02 09:55
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.9,4.05,3.82,1.015,1.047,1.004,,,,,,2026-05-02 09:55
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.91,2.0,0.993,0.971,2026-05-02 09:55
2026-05-02 16:00（临场①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.83,3.8,3.8,0.988,0.974,0.973,,,,,,2026-05-02 15:54
2026-05-02 16:00（临场①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.83,3.9,3.8,0.988,1.0,0.973,,,,,,2026-05-02 15:55
2026-05-02 16:00（临场①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,1.91,4.1,4.1,1.031,1.051,1.05,,,,,,2026-05-02 15:55
2026-05-02 16:00（临场①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.86,4.02,4.1,1.004,1.031,1.05,,,,,,2026-05-02 15:55
2026-05-02 16:00（临场①）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.87,2.06,0.989,0.985,2026-05-02 15:55
2026-05-02 19:00（临场②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.85,3.75,3.7,0.985,0.968,0.964,,,,,,2026-05-02 18:54
2026-05-02 19:00（临场②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.85,3.8,3.8,0.985,0.981,0.99,,,,,,2026-05-02 18:54
2026-05-02 19:00（临场②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,1.96,4.1,4.0,1.044,1.058,1.042,,,,,,2026-05-02 18:54
2026-05-02 19:00（临场②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.92,3.91,3.96,1.023,1.009,1.032,,,,,,2026-05-02 18:55
2026-05-02 19:00（临场②）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.99,1.006,0.967,2026-05-02 18:55
2026-05-02 20:30（临场③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.85,3.75,3.7,0.98,0.974,0.967,,,,,,2026-05-02 20:24
2026-05-02 20:30（临场③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.85,3.8,3.8,0.98,0.987,0.993,,,,,,2026-05-02 20:25
2026-05-02 20:30（临场③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,1.97,4.0,4.0,1.044,1.039,1.045,,,,,,2026-05-02 20:25
2026-05-02 20:30（临场③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.91,3.92,3.98,1.012,1.019,1.04,,,,,,2026-05-02 20:25
2026-05-02 20:30（临场③）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.92,2.0,0.988,0.976,2026-05-02 20:25
2026-05-02 21:30（临场④）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.85,3.75,3.7,0.981,0.975,0.964,,,,,,2026-05-02 21:23
2026-05-02 21:30（临场④）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.85,3.9,3.75,0.981,1.014,0.977,,,,,,2026-05-02 21:24
2026-05-02 21:30（临场④）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,1.94,4.0,4.1,1.028,1.04,1.068,,,,,,2026-05-02 21:23
2026-05-02 21:30（临场④）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.9,3.98,4.06,1.007,1.035,1.058,,,,,,2026-05-02 21:24
2026-05-02 21:30（临场④）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.9,2.03,0.987,0.979,2026-05-02 21:24
2026-05-02 21:38（即时）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,William Hill,欧指,1.85,3.75,3.7,0.99,0.971,0.948,,,,,,2026-05-02 21:37
2026-05-02 21:38（即时）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Ladbrokes,欧指,1.85,3.9,3.75,0.99,1.01,0.961,,,,,,2026-05-02 21:38
2026-05-02 21:38（即时）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Betfair,欧指,1.92,4.1,4.1,1.028,1.062,1.051,,,,,,2026-05-02 21:38
2026-05-02 21:38（即时）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,欧指,1.89,4.0,4.08,1.012,1.036,1.046,,,,,,2026-05-02 21:38
2026-05-02 21:38（即时）,英超 EPL,2026-05-02 22:00,Brentford,West Ham United,Pinnacle,亚盘,,,,,,,-0.5,1.89,2.04,0.984,0.982,2026-05-02 21:38
