快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Pinnacle,欧指,1.87,3.7,4.04,1.013,1.063,1.095,,,,,,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.5,1.88,1.98,1.0,1.0,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Ladbrokes,欧指,1.83,3.4,3.5,0.991,0.977,0.949,,,,,,2026-04-30 12:54
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,William Hill,欧指,1.91,3.4,3.7,1.034,0.977,1.003,,,,,,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Marathon Bet,欧指,1.84,3.66,3.92,0.996,1.052,1.062,,,,,,2026-04-30 12:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Pinnacle,欧指,1.91,3.75,3.98,1.029,1.073,1.084,,,,,,2026-05-02 00:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.5,1.92,1.96,1.008,1.023,2026-05-02 00:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Ladbrokes,欧指,1.83,3.4,3.5,0.986,0.973,0.953,,,,,,2026-05-02 00:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,William Hill,欧指,1.85,3.4,3.7,0.997,0.973,1.008,,,,,,2026-05-02 00:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Marathon Bet,欧指,1.86,3.64,3.84,1.002,1.042,1.046,,,,,,2026-05-02 00:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Pinnacle,欧指,1.85,3.88,4.21,1.031,1.09,1.064,,,,,,2026-05-02 06:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.5,1.86,2.06,0.997,1.048,2026-05-02 06:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Ladbrokes,欧指,1.8,3.3,3.75,1.003,0.927,0.948,,,,,,2026-05-02 06:55
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,William Hill,欧指,1.8,3.5,3.9,1.003,0.983,0.986,,,,,,2026-05-02 06:55
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,FC Tokyo,Kawasaki Frontale,Marathon Bet,欧指,1.8,3.72,4.05,1.003,1.045,1.024,,,,,,2026-05-02 06:51
