快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 11:55（初盘②）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Pinnacle,欧指,4.73,3.49,1.79,1.08,1.055,1.017,,,,,,2026-04-30 11:50
2026-04-30 11:55（初盘②）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Pinnacle,亚盘,,,,,,,0.5,2.06,1.81,1.0,1.0,2026-04-30 11:50
2026-04-30 11:55（初盘②）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Ladbrokes,欧指,4.2,3.3,1.73,0.959,0.998,0.983,,,,,,2026-04-30 11:49
2026-04-30 11:55（初盘②）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Marathon Bet,欧指,4.5,3.48,1.78,1.027,1.052,1.011,,,,,,2026-04-30 11:50
2026-04-30 11:55（初盘②）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,William Hill,欧指,4.4,3.25,1.8,1.004,0.983,1.023,,,,,,2026-04-30 11:50
2026-05-01 23:55（中盘③）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Pinnacle,欧指,4.63,3.6,1.83,1.062,1.097,1.006,,,,,,2026-05-01 23:50
2026-05-01 23:55（中盘③）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Pinnacle,亚盘,,,,,,,0.5,2.06,1.83,1.027,1.008,2026-05-01 23:50
2026-05-01 23:55（中盘③）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Ladbrokes,欧指,4.2,3.25,1.75,0.964,0.99,0.962,,,,,,2026-05-01 23:49
2026-05-01 23:55（中盘③）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Marathon Bet,欧指,4.45,3.48,1.79,1.021,1.06,0.984,,,,,,2026-05-01 23:49
2026-05-01 23:55（中盘③）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,William Hill,欧指,4.33,3.3,1.8,0.994,1.005,0.989,,,,,,2026-05-01 23:49
2026-05-02 05:55（临场①）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Pinnacle,欧指,4.67,3.75,1.8,1.079,1.064,1.033,,,,,,2026-05-02 05:50
2026-05-02 05:55（临场①）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Pinnacle,亚盘,,,,,,,0.75,1.86,2.05,1.025,1.012,2026-05-02 05:50
2026-05-02 05:55（临场①）,日职联 J League,2026-05-02 11:55,Fagiano Okayama,Hiroshima Sanfrecce FC,Ladbrokes,欧指,4.2,3.3,1.73,0.971,0.936,0.993,,,,,,2026-05-02 05:50
