快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 14:00（初盘②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,欧指,2.72,3.32,2.62,1.033,1.045,1.05,,,,,,2026-04-30 13:55
2026-04-30 14:00（初盘②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,亚盘,,,,,,,0.0,1.96,1.89,1.0,1.0,2026-04-30 13:55
2026-04-30 14:00（初盘②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Ladbrokes,欧指,2.62,3.1,2.4,0.995,0.976,0.962,,,,,,2026-04-30 13:55
2026-04-30 14:00（初盘②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Marathon Bet,欧指,2.67,3.25,2.56,1.014,1.023,1.026,,,,,,2026-04-30 13:55
2026-04-30 14:00（初盘②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,William Hill,欧指,2.62,3.1,2.5,0.995,0.976,1.002,,,,,,2026-04-30 13:55
2026-05-02 02:00（中盘③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,欧指,2.93,3.39,2.48,1.073,1.045,1.036,,,,,,2026-05-02 01:55
2026-05-02 02:00（中盘③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,亚盘,,,,,,,0.0,2.12,1.79,1.039,1.0,2026-05-02 01:55
2026-05-02 02:00（中盘③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Ladbrokes,欧指,2.62,3.2,2.37,0.96,0.986,0.99,,,,,,2026-05-02 01:54
2026-05-02 02:00（中盘③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Marathon Bet,欧指,2.81,3.28,2.43,1.03,1.011,1.015,,,,,,2026-05-02 01:54
2026-05-02 02:00（中盘③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,William Hill,欧指,2.8,3.1,2.4,1.026,0.955,1.003,,,,,,2026-05-02 01:54
2026-05-02 08:00（临场①）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,欧指,2.96,3.42,2.49,1.055,1.057,1.051,,,,,,2026-05-02 07:55
2026-05-02 08:00（临场①）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,亚盘,,,,,,,0.0,2.14,1.79,1.029,1.008,2026-05-02 07:55
2026-05-02 08:00（临场①）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Ladbrokes,欧指,2.75,3.1,2.3,0.98,0.959,0.971,,,,,,2026-05-02 07:54
2026-05-02 08:00（临场①）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Marathon Bet,欧指,2.88,3.24,2.41,1.026,1.002,1.018,,,,,,2026-05-02 07:55
2026-05-02 08:00（临场①）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,William Hill,欧指,2.8,3.2,2.4,0.998,0.989,1.013,,,,,,2026-05-02 07:54
2026-05-02 11:00（临场②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,欧指,2.99,3.34,2.51,1.053,1.062,1.05,,,,,,2026-05-02 10:55
2026-05-02 11:00（临场②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,亚盘,,,,,,,0.0,2.14,1.79,1.044,1.0,2026-05-02 10:55
2026-05-02 11:00（临场②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Ladbrokes,欧指,2.8,3.0,2.3,0.986,0.954,0.962,,,,,,2026-05-02 10:55
2026-05-02 11:00（临场②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Marathon Bet,欧指,2.9,3.18,2.42,1.021,1.012,1.013,,,,,,2026-05-02 10:54
2026-05-02 11:00（临场②）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,William Hill,欧指,2.8,3.1,2.4,0.986,0.986,1.004,,,,,,2026-05-02 10:55
2026-05-02 12:30（临场③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,欧指,2.98,3.4,2.48,1.043,1.075,1.049,,,,,,2026-05-02 12:25
2026-05-02 12:30（临场③）,日职联 J League,2026-05-02 14:00,Gamba Osaka,Vissel Kobe,Pinnacle,亚盘,,,,,,,0.25,1.79,2.14,0.94,1.097,2026-05-02 12:25
