快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Pinnacle,欧指,2.12,3.45,3.47,1.037,1.054,1.058,,,,,,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.03,1.0,1.0,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Ladbrokes,欧指,2.05,3.1,3.2,1.002,0.947,0.975,,,,,,2026-04-30 12:54
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Marathon Bet,欧指,2.07,3.4,3.4,1.012,1.039,1.036,,,,,,2026-04-30 12:54
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,William Hill,欧指,2.1,3.2,3.3,1.027,0.977,1.006,,,,,,2026-04-30 12:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Pinnacle,欧指,2.13,3.49,3.53,1.036,1.056,1.076,,,,,,2026-05-02 00:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Pinnacle,亚盘,,,,,,,-0.25,1.85,2.05,1.0,1.041,2026-05-02 00:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Ladbrokes,欧指,2.05,3.2,3.1,0.997,0.968,0.945,,,,,,2026-05-02 00:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Marathon Bet,欧指,2.07,3.4,3.4,1.007,1.028,1.036,,,,,,2026-05-02 00:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,William Hill,欧指,2.1,3.2,3.3,1.022,0.968,1.006,,,,,,2026-05-02 00:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Pinnacle,欧指,2.17,3.39,3.61,1.04,1.041,1.091,,,,,,2026-05-02 06:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Pinnacle,亚盘,,,,,,,-0.25,1.87,2.05,1.005,1.043,2026-05-02 06:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Ladbrokes,欧指,2.05,3.1,3.2,0.983,0.952,0.967,,,,,,2026-05-02 06:55
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,Marathon Bet,欧指,2.09,3.32,3.42,1.002,1.02,1.033,,,,,,2026-05-02 06:51
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,Kyoto Purple Sanga,Shimizu S Pulse,William Hill,欧指,2.1,3.2,3.3,1.006,0.983,0.997,,,,,,2026-05-02 06:55
