快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,William Hill,欧指,2.5,3.4,2.62,0.998,0.938,0.997,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Betfair,欧指,2.62,3.85,2.74,1.046,1.062,1.043,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Ladbrokes,欧指,2.5,3.6,2.6,0.998,0.993,0.99,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Pinnacle,欧指,2.56,3.66,2.71,1.022,1.01,1.031,,,,,,2026-04-30 21:55
2026-04-30 22:00（初盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Pinnacle,亚盘,,,,,,,0.0,1.9,2.01,0.803,1.138,2026-04-30 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,William Hill,欧指,2.5,3.4,2.62,1.001,0.939,0.993,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Betfair,欧指,2.6,3.9,2.78,1.041,1.077,1.053,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Ladbrokes,欧指,2.5,3.5,2.62,1.001,0.966,0.993,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Pinnacle,欧指,2.56,3.67,2.71,1.025,1.013,1.027,,,,,,2026-05-01 21:55
2026-05-01 22:00（中盘②）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Pinnacle,亚盘,,,,,,,0.0,1.9,2.01,0.802,1.136,2026-05-01 21:55
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,William Hill,欧指,2.5,3.4,2.5,0.987,0.941,0.959,,,,,,2026-05-02 09:54
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Betfair,欧指,2.68,3.85,2.7,1.058,1.066,1.036,,,,,,2026-05-02 09:55
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Ladbrokes,欧指,2.5,3.5,2.62,0.987,0.969,1.005,,,,,,2026-05-02 09:54
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Pinnacle,欧指,2.6,3.72,2.63,1.026,1.03,1.009,,,,,,2026-05-02 09:55
2026-05-02 10:00（中盘③）,英超 EPL,2026-05-02 22:00,Newcastle United,Brighton and Hove Albion,Pinnacle,亚盘,,,,,,,0.0,1.94,1.96,0.799,1.129,2026-05-02 09:55
