快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 19:00（初盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.79,3.27,2.06,1.098,0.972,1.047,,,,,,2026-04-29 18:55
2026-04-29 19:00（初盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.5,1.79,2.07,0.913,1.014,2026-04-29 18:55
2026-04-29 19:00（初盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.66,3.24,2.01,1.06,0.963,1.022,,,,,,2026-04-29 18:54
2026-04-29 19:00（初盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.2,3.5,2.0,0.927,1.04,1.017,,,,,,2026-04-29 18:55
2026-04-30 19:00（初盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.81,3.28,2.04,1.097,0.967,1.038,,,,,,2026-04-30 18:55
2026-04-30 19:00（初盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.5,1.8,2.05,0.917,1.006,2026-04-30 18:55
2026-04-30 19:00（初盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.68,3.28,1.99,1.059,0.967,1.012,,,,,,2026-04-30 18:54
2026-04-30 19:00（初盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.3,3.6,1.95,0.95,1.061,0.992,,,,,,2026-04-30 18:55
2026-04-30 19:00（初盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Betfair,欧指,3.65,3.55,2.04,1.051,1.047,1.038,,,,,,2026-04-30 18:55
2026-05-01 07:00（中盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.74,3.29,2.06,1.074,0.975,1.043,,,,,,2026-05-01 06:55
2026-05-01 07:00（中盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.5,1.79,2.07,0.94,1.026,2026-05-01 06:55
2026-05-01 07:00（中盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.62,3.28,2.01,1.04,0.972,1.017,,,,,,2026-05-01 06:54
2026-05-01 07:00（中盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.2,3.5,2.0,0.919,1.037,1.012,,,,,,2026-05-01 06:55
2026-05-01 07:00（中盘①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Betfair,欧指,3.9,3.5,2.06,1.12,1.037,1.043,,,,,,2026-05-01 06:54
2026-05-01 19:00（中盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.58,3.24,2.14,1.058,0.964,1.061,,,,,,2026-05-01 18:55
2026-05-01 19:00（中盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.25,2.02,1.84,1.05,0.896,2026-05-01 18:55
2026-05-01 19:00（中盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.48,3.22,2.08,1.028,0.958,1.031,,,,,,2026-05-01 18:55
2026-05-01 19:00（中盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.2,3.5,2.0,0.945,1.042,0.991,,,,,,2026-05-01 18:54
2026-05-01 19:00（中盘②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Betfair,欧指,3.75,3.55,2.12,1.108,1.057,1.051,,,,,,2026-05-01 18:55
2026-05-02 07:00（中盘③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.66,3.33,2.12,1.071,0.992,1.05,,,,,,2026-05-02 06:55
2026-05-02 07:00（中盘③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.25,2.06,1.83,1.066,0.891,2026-05-02 06:55
2026-05-02 07:00（中盘③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.54,3.22,2.06,1.035,0.959,1.021,,,,,,2026-05-02 06:55
2026-05-02 07:00（中盘③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.4,3.3,2.0,0.995,0.983,0.991,,,,,,2026-05-02 06:55
2026-05-02 07:00（中盘③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Betfair,欧指,3.85,3.55,2.12,1.126,1.058,1.05,,,,,,2026-05-02 06:55
2026-05-02 13:00（临场①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.56,3.38,2.16,1.06,1.017,1.046,,,,,,2026-05-02 12:55
2026-05-02 13:00（临场①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.25,2.03,1.86,1.044,0.916,2026-05-02 12:55
2026-05-02 13:00（临场①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.42,3.22,2.1,1.019,0.969,1.017,,,,,,2026-05-02 12:54
2026-05-02 13:00（临场①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.2,3.3,2.05,0.953,0.993,0.993,,,,,,2026-05-02 12:54
2026-05-02 13:00（临场①）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Betfair,欧指,3.55,3.5,2.24,1.057,1.053,1.085,,,,,,2026-05-02 12:55
2026-05-02 16:00（临场②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.61,3.2,2.22,1.071,0.988,1.06,,,,,,2026-05-02 15:55
2026-05-02 16:00（临场②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.25,1.99,1.9,1.039,0.918,2026-05-02 15:55
2026-05-02 16:00（临场②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Marathon Bet,欧指,3.42,3.12,2.14,1.015,0.963,1.022,,,,,,2026-05-02 15:55
2026-05-02 16:00（临场②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,William Hill,欧指,3.1,3.3,2.1,0.92,1.019,1.003,,,,,,2026-05-02 15:55
2026-05-02 16:00（临场②）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Betfair,欧指,3.65,3.35,2.28,1.083,1.034,1.089,,,,,,2026-05-02 15:54
2026-05-02 17:30（临场③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,欧指,3.59,3.23,2.22,1.066,0.997,1.061,,,,,,2026-05-02 17:25
2026-05-02 17:30（临场③）,中超 CSL,2026-05-02 19:00,Qingdao Hainiu FC,Shanghai SIPG FC,Pinnacle,亚盘,,,,,,,0.25,1.99,1.9,1.04,0.917,2026-05-02 17:25
