快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,欧指,2.37,4.19,2.69,1.028,1.034,1.0,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,亚盘,,,,,,,0.0,1.83,2.09,0.834,1.134,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Winamax (DE),欧指,2.25,4.1,2.6,0.976,1.011,0.967,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Tipico,欧指,2.3,4.0,2.7,0.997,0.987,1.004,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Betfair,欧指,2.4,4.2,2.82,1.041,1.036,1.049,,,,,,2026-04-29 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,欧指,2.37,4.16,2.69,1.022,1.029,1.006,,,,,,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,亚盘,,,,,,,0.0,1.84,2.08,0.827,1.136,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Winamax (DE),欧指,2.25,4.1,2.6,0.97,1.014,0.973,,,,,,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Tipico,欧指,2.3,4.0,2.7,0.992,0.989,1.01,,,,,,2026-04-30 21:22
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Betfair,欧指,2.4,4.2,2.82,1.035,1.039,1.055,,,,,,2026-04-30 21:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,欧指,2.36,4.19,2.69,1.014,1.027,1.014,,,,,,2026-05-01 09:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,亚盘,,,,,,,0.0,1.83,2.09,0.84,1.115,2026-05-01 09:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Winamax (DE),欧指,2.3,4.1,2.55,0.989,1.005,0.961,,,,,,2026-05-01 09:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Tipico,欧指,2.35,4.0,2.65,1.01,0.981,0.999,,,,,,2026-05-01 09:24
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Betfair,欧指,2.46,4.2,2.74,1.057,1.03,1.033,,,,,,2026-05-01 09:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,欧指,2.36,4.19,2.69,1.012,1.028,1.016,,,,,,2026-05-01 21:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Pinnacle,亚盘,,,,,,,0.0,1.83,2.09,0.84,1.113,2026-05-01 21:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Winamax (DE),欧指,2.25,4.1,2.6,0.965,1.006,0.982,,,,,,2026-05-01 21:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,TSG Hoffenheim,VfB Stuttgart,Tipico,欧指,2.3,4.0,2.7,0.986,0.982,1.02,,,,,,2026-05-01 21:24
