快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-02 19:30（临场③）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Pinnacle,欧指,2.07,3.36,4.03,1.019,1.019,1.044,,,,,,2026-05-02 19:25
2026-05-02 19:30（临场③）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Pinnacle,亚盘,,,,,,,-0.5,2.08,1.85,0.971,0.97,2026-05-02 19:25
2026-05-02 19:30（临场③）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Codere (IT),欧指,2.03,3.3,3.9,1.0,1.001,1.011,,,,,,2026-05-02 19:25
2026-05-02 19:30（临场③）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,William Hill,欧指,2.0,3.1,3.75,0.985,0.94,0.972,,,,,,2026-05-02 19:25
2026-05-02 19:30（临场③）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Betfair,欧指,2.14,3.4,4.1,1.054,1.031,1.063,,,,,,2026-05-02 19:25
2026-05-02 20:49（即时）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Pinnacle,欧指,2.04,3.4,4.08,1.014,1.026,1.055,,,,,,2026-05-02 20:49
2026-05-02 20:49（即时）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Pinnacle,亚盘,,,,,,,-0.5,2.05,1.88,0.966,0.973,2026-05-02 20:49
2026-05-02 20:49（即时）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Codere (IT),欧指,2.02,3.35,3.9,1.004,1.011,1.009,,,,,,2026-05-02 20:48
2026-05-02 20:49（即时）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,William Hill,欧指,2.0,3.1,3.75,0.994,0.935,0.97,,,,,,2026-05-02 20:48
2026-05-02 20:49（即时）,意甲 Serie A,2026-05-02 21:00,Udinese,Torino,Betfair,欧指,2.1,3.45,4.1,1.044,1.041,1.06,,,,,,2026-05-02 20:48
