快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Pinnacle,欧指,2.52,3.31,2.99,1.054,0.986,1.031,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Pinnacle,亚盘,,,,,,,0.0,1.8,2.14,0.797,1.131,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Winamax (DE),欧指,2.4,3.45,2.8,1.003,1.028,0.966,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Tipico,欧指,2.45,3.2,3.0,1.024,0.954,1.035,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,William Hill,欧指,2.38,3.2,2.8,0.995,0.954,0.966,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Betfair,欧指,2.58,3.45,3.0,1.079,1.028,1.035,,,,,,2026-04-29 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Pinnacle,欧指,2.52,3.31,2.99,1.039,0.994,1.039,,,,,,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Pinnacle,亚盘,,,,,,,0.0,1.8,2.14,0.792,1.135,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Winamax (DE),欧指,2.4,3.4,2.8,0.99,1.021,0.973,,,,,,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,Tipico,欧指,2.5,3.1,3.0,1.031,0.931,1.043,,,,,,2026-04-30 21:22
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Union Berlin,1. FC Köln,William Hill,欧指,2.4,3.1,2.88,0.99,0.931,1.001,,,,,,2026-04-30 21:25
