快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 22:15（初盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.93,3.97,3.79,1.004,1.073,1.013,,,,,,2026-04-29 22:10
2026-04-29 22:15（初盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.97,0.94,0.969,2026-04-29 22:10
2026-04-29 22:15（初盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.98,3.95,4.1,1.03,1.067,1.095,,,,,,2026-04-29 22:10
2026-04-29 22:15（初盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.91,3.6,3.6,0.993,0.973,0.962,,,,,,2026-04-29 22:10
2026-04-29 22:15（初盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.95,3.88,3.82,1.014,1.048,1.021,,,,,,2026-04-29 22:10
2026-04-30 22:15（初盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.82,3.9,4.36,1.014,1.03,1.039,,,,,,2026-04-30 22:10
2026-04-30 22:15（初盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,2.07,1.85,1.047,0.864,2026-04-30 22:10
2026-04-30 22:15（初盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.84,4.2,4.4,1.025,1.11,1.048,,,,,,2026-04-30 22:09
2026-04-30 22:15（初盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.8,3.6,4.0,1.003,0.951,0.953,,,,,,2026-04-30 22:09
2026-04-30 22:15（初盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.83,3.92,4.33,1.019,1.036,1.032,,,,,,2026-04-30 22:08
2026-05-01 10:15（中盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.81,3.9,4.38,1.01,1.034,1.033,,,,,,2026-05-01 10:10
2026-05-01 10:15（中盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,2.06,1.85,1.055,0.86,2026-05-01 10:10
2026-05-01 10:15（中盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.83,4.0,4.6,1.021,1.06,1.084,,,,,,2026-05-01 10:10
2026-05-01 10:15（中盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.8,3.6,4.0,1.005,0.954,0.943,,,,,,2026-05-01 10:09
2026-05-01 10:15（中盘①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.83,3.92,4.33,1.021,1.039,1.021,,,,,,2026-05-01 10:09
2026-05-01 22:15（中盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.79,3.95,4.46,1.007,1.038,1.031,,,,,,2026-05-01 22:10
2026-05-01 22:15（中盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,2.03,1.88,1.046,0.882,2026-05-01 22:10
2026-05-01 22:15（中盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.85,4.0,4.6,1.041,1.051,1.063,,,,,,2026-05-01 22:10
2026-05-01 22:15（中盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.8,3.6,4.0,1.013,0.946,0.924,,,,,,2026-05-01 22:10
2026-05-01 22:15（中盘②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.81,3.94,4.45,1.018,1.035,1.028,,,,,,2026-05-01 22:09
2026-05-02 10:15（中盘③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.79,3.95,4.46,1.014,1.033,1.016,,,,,,2026-05-02 10:10
2026-05-02 10:15（中盘③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,2.03,1.88,0.867,1.061,2026-05-02 10:10
2026-05-02 10:15（中盘③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.84,4.0,4.6,1.043,1.046,1.048,,,,,,2026-05-02 10:10
2026-05-02 10:15（中盘③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.75,3.7,4.2,0.992,0.968,0.957,,,,,,2026-05-02 10:09
2026-05-02 10:15（中盘③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.77,4.0,4.6,1.003,1.046,1.048,,,,,,2026-05-02 10:09
2026-05-02 16:15（临场①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.75,4.04,4.74,1.004,1.04,1.049,,,,,,2026-05-02 16:10
2026-05-02 16:15（临场①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,1.97,1.95,0.879,1.075,2026-05-02 16:10
2026-05-02 16:15（临场①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.81,4.1,4.8,1.038,1.056,1.063,,,,,,2026-05-02 16:10
2026-05-02 16:15（临场①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.73,3.7,4.4,0.992,0.953,0.974,,,,,,2026-05-02 16:10
2026-05-02 16:15（临场①）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.73,4.05,4.85,0.992,1.043,1.074,,,,,,2026-05-02 16:09
2026-05-02 19:15（临场②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.78,3.92,4.67,1.019,1.019,1.032,,,,,,2026-05-02 19:10
2026-05-02 19:15（临场②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,2.01,1.92,0.889,1.065,2026-05-02 19:10
2026-05-02 19:15（临场②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.8,4.1,4.8,1.031,1.066,1.06,,,,,,2026-05-02 19:09
2026-05-02 19:15（临场②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.73,3.7,4.4,0.991,0.962,0.972,,,,,,2026-05-02 19:10
2026-05-02 19:15（临场②）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.75,3.94,4.85,1.002,1.024,1.072,,,,,,2026-05-02 19:10
2026-05-02 20:45（临场③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.77,3.93,4.68,1.02,1.016,1.024,,,,,,2026-05-02 20:40
2026-05-02 20:45（临场③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,2.01,1.92,0.889,1.063,2026-05-02 20:40
2026-05-02 20:45（临场③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.8,4.1,4.8,1.038,1.059,1.051,,,,,,2026-05-02 20:40
2026-05-02 20:45（临场③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.73,3.7,4.4,0.997,0.956,0.963,,,,,,2026-05-02 20:39
2026-05-02 20:45（临场③）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.74,3.95,4.9,1.003,1.021,1.073,,,,,,2026-05-02 20:39
2026-05-02 21:45（临场④）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.71,4.08,4.93,1.001,1.045,1.041,,,,,,2026-05-02 21:40
2026-05-02 21:45（临场④）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,1.93,2.0,0.877,1.078,2026-05-02 21:40
2026-05-02 21:45（临场④）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.75,4.2,5.1,1.025,1.076,1.077,,,,,,2026-05-02 21:39
2026-05-02 21:45（临场④）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.7,3.75,4.6,0.995,0.961,0.972,,,,,,2026-05-02 21:40
2026-05-02 21:45（临场④）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.69,4.05,5.2,0.989,1.037,1.098,,,,,,2026-05-02 21:40
2026-05-02 22:06（即时）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,欧指,1.72,4.04,4.86,1.004,1.039,1.034,,,,,,2026-05-02 22:06
2026-05-02 22:06（即时）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,1.95,1.97,0.886,1.073,2026-05-02 22:06
2026-05-02 22:06（即时）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Betfair,欧指,1.77,4.1,5.0,1.033,1.054,1.063,,,,,,2026-05-02 22:06
2026-05-02 22:06（即时）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,William Hill,欧指,1.67,3.75,4.8,0.975,0.964,1.021,,,,,,2026-05-02 22:05
2026-05-02 22:06（即时）,西甲 La Liga,2026-05-02 22:15,Valencia,Atlético Madrid,Marathon Bet,欧指,1.71,3.98,5.1,0.998,1.024,1.085,,,,,,2026-05-02 22:06
