快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,欧指,1.97,3.91,3.67,1.022,1.02,1.006,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,亚盘,,,,,,,-0.5,1.98,1.93,0.982,0.979,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Winamax (DE),欧指,1.92,3.9,3.45,0.996,1.017,0.946,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Tipico,欧指,1.9,3.9,3.7,0.986,1.017,1.015,,,,,,2026-04-29 21:25
2026-04-29 21:30（初盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Betfair,欧指,2.02,3.9,3.75,1.048,1.017,1.028,,,,,,2026-04-29 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,欧指,1.97,3.92,3.66,1.021,1.023,1.004,,,,,,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,亚盘,,,,,,,-0.5,1.98,1.93,0.98,0.978,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Winamax (DE),欧指,1.92,3.9,3.45,0.995,1.018,0.946,,,,,,2026-04-30 21:25
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Tipico,欧指,1.9,3.9,3.7,0.984,1.018,1.015,,,,,,2026-04-30 21:22
2026-04-30 21:30（初盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Betfair,欧指,2.02,3.9,3.75,1.047,1.018,1.028,,,,,,2026-04-30 21:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,欧指,1.98,3.9,3.66,1.025,1.017,1.004,,,,,,2026-05-01 09:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,亚盘,,,,,,,-0.5,1.99,1.92,0.983,0.973,2026-05-01 09:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Winamax (DE),欧指,1.92,3.9,3.45,0.994,1.017,0.946,,,,,,2026-05-01 09:25
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Tipico,欧指,1.9,3.9,3.7,0.983,1.017,1.015,,,,,,2026-05-01 09:24
2026-05-01 09:30（中盘①）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Betfair,欧指,2.02,3.95,3.75,1.046,1.03,1.028,,,,,,2026-05-01 09:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,欧指,2.01,3.88,3.59,1.012,1.027,1.022,,,,,,2026-05-01 21:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,亚盘,,,,,,,-0.5,2.02,1.89,0.985,0.967,2026-05-01 21:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Winamax (DE),欧指,1.94,3.9,3.4,0.977,1.032,0.968,,,,,,2026-05-01 21:25
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Tipico,欧指,1.95,3.8,3.6,0.982,1.006,1.025,,,,,,2026-05-01 21:24
2026-05-01 21:30（中盘②）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Betfair,欧指,2.06,3.85,3.75,1.037,1.019,1.067,,,,,,2026-05-01 21:25
2026-05-02 09:30（中盘③）,德甲 Bundesliga,2026-05-02 21:30,Werder Bremen,Augsburg,Pinnacle,欧指,2.01,3.92,3.56,1.015,1.033,1.003,,,,,,2026-05-02 09:25
